Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stauroxiphos communis,Prunopyle hayesi,Spongodiscus craticulatus,Eucyrtidium biconicum,Eucyrtidium cienkowskii,Botryopera deflandrei,Actinomma golownini,Cycladophora humerus,Triceraspyris coronata,Gondwanaria hister,Cyrtocapsella japonica,Prunopyle titan,Desmospyris rhodospyroides,Cycladophora spongothorax,Lychnocanium grande,Velicucullus sp.,Theocorys redondoensis,Spongotrochus glacialis,Stylatractus universus,Cycladophora pliocenica,Stichocorys peregrina,Saccospyris praeantarctica,Eucyrtidium teuscheri group,Botryopera triloba,Amphymenium challengerae,Rhizosphaera antarctica,Phorticium clevei,Helotholus praevema,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,NR9               ,              ,119, 737,B,  2,R,CC,   0.00,    115.4000,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                ,R                        ,                     ,T                      ,T                    ,                   ,                    ,                      ,                  ,                      ,               ,                          ,                         ,C                  ,R               ,R                     ,C                      ,                      ,C                      ,C                    ,                          ,                           ,                  ,R                       ,T                      ,R                ,T                  ,from 119 SR Chapter 28 Table 2 page 517.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NR9               ,              ,119, 737,B,  3,R,CC,   4.00,    128.3600,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                ,C                        ,                     ,                       ,                     ,                   ,                    ,R                     ,                  ,                      ,               ,                          ,                         ,R                  ,T               ,R                     ,T                      ,                      ,R                      ,C                    ,T                         ,T                          ,T                 ,C                       ,                       ,                 ,                   ,from 119 SR Chapter 28 Table 2 page 517.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NR10              ,              ,119, 737,B,  5,R,CC,  11.00,    258.4300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,A               ,                         ,                     ,A                      ,                     ,                   ,                    ,                      ,                  ,                      ,               ,                          ,C                        ,R                  ,R               ,R                     ,                       ,F                     ,C                      ,                     ,                          ,                           ,                  ,                        ,                       ,                 ,                   ,from 119 SR Chapter 28 Table 2 page 517.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NR10              ,              ,119, 737,B,  6,R, 1,  54.00,    263.7400,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                ,R                        ,R                    ,C                      ,R                    ,T                  ,R                   ,R                     ,T                 ,                      ,?              ,R                         ,A                        ,R                  ,C               ,R                     ,T                      ,                      ,                       ,                     ,                          ,                           ,                  ,                        ,                       ,                 ,                   ,from 119 SR Chapter 28 Table 2 page 517.
