Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Vozzhennikovia spp.,Turbiosphaera filosa,Thalassiphora pelagica,Systematophora placacantha,Spiniferites ramosus,Spinidinium macmurdoense,Selenopemphix nephroides,Phthanoperidinium spp.,Operculodinium sp. A,Operculodinium centrocarpum,Octodinium askiniae,Lejeunecysta spp.,Impagidinium sp. a,Impagidinium dispertitum,Hystrichosphaeridium tubiferum,Enneadocysta pectiniformis,Enneadocysta partridgei,Elytrocysta spp.,Deflandrea phosphoritica group,Corrudinium sp.,Areosphaeridium diktyoplokus,Alterbidinium spp.,Alterbidinium distinctum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 31,X,CC,  28.00,    274.4300,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,+                  ,+                   ,+                     ,+                         ,+                   ,+                       ,+                       ,+                     ,+                   ,+                          ,+                  ,+                ,+                 ,+                       ,+                             ,+                         ,+                      ,+               ,+                             ,+              ,+                           ,+                 ,+                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
