Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys peregrina	Porodiscus spp.	Cornutella profunda	Anthocorys(?) akitaensis	Spongodiscus spp.	Lithomitra arachnea	Lychnocanoma sp.	Stichocorys delmontensis	Thecosphaera japonica	Druppatractus acquilonius	Dictyophimus bicornis	Artostrobus annulatus	Saccospyris sp.	Nephrospyris pervia (trellis-type)	Cycladophora davisiana davisiana	Dictyophimus glacilipes	Cycladophora davisiana cornutoides	Sphaeropyle langii	Comment



  SR	                 	                 	                  	              	128	 799	A	  2	H	CC	  18.00	     11.0100	Ling     	Radiolarians                                 	R              	M                 	                     	               	                   	                        	                 	                   	                	                        	                     	                         	R                    	                     	               	R                                 	F                               	                       	R                                 	                  	from ODP Legs 127&128 SR Chapter 13 Table 4 p 233-234

  SR	                 	                 	                  	              	128	 799	A	  3	H	CC	  33.00	     20.6800	Ling     	Radiolarians                                 	R              	M                 	                     	               	                   	                        	                 	                   	                	                        	                     	                         	R                    	                     	R              	                                  	                                	                       	                                  	                  	from ODP Legs 127&128 SR Chapter 13 Table 4 p 233-234

  SR	                 	                 	                  	              	128	 799	A	  4	H	CC	  22.00	     29.6800	Ling     	Radiolarians                                 	R              	M                 	                     	               	                   	                        	                 	                   	                	                        	                     	                         	                     	                     	R              	                                  	F                               	                       	                                  	                  	from ODP Legs 127&128 SR Chapter 13 Table 4 p 233-234

  SR	                 	                 	                  	              	128	 799	A	  5	H	CC	  18.00	     39.7300	Ling     	Radiolarians                                 	F              	M                 	                     	R              	                   	                        	                 	R                  	                	                        	                     	                         	                     	                     	F              	F                                 	C                               	                       	                                  	                  	from ODP Legs 127&128 SR Chapter 13 Table 4 p 233-234

  SR	                 	                 	                  	              	128	 799	A	  7	H	CC	  24.00	     59.1000	Ling     	Radiolarians                                 	R              	M                 	                     	               	                   	                        	                 	                   	                	                        	                     	                         	                     	                     	               	R                                 	R                               	                       	                                  	                  	from ODP Legs 127&128 SR Chapter 13 Table 4 p 233-234

  SR	                 	                 	                  	              	128	 799	A	  8	H	CC	  25.00	     68.7600	Ling     	Radiolarians                                 	R              	M                 	                     	               	                   	                        	                 	                   	                	                        	                     	                         	                     	                     	               	R                                 	                                	                       	                                  	                  	from ODP Legs 127&128 SR Chapter 13 Table 4 p 233-234

  SR	                 	                 	                  	              	128	 799	A	  9	H	CC	  25.00	     78.3100	Ling     	Radiolarians                                 	R              	M                 	                     	               	                   	                        	                 	                   	                	                        	                     	                         	                     	                     	               	R                                 	F                               	                       	                                  	                  	from ODP Legs 127&128 SR Chapter 13 Table 4 p 233-234

  SR	                 	                 	                  	              	128	 799	A	 10	H	CC	  24.00	     87.8400	Ling     	Radiolarians                                 	R              	M                 	                     	               	                   	                        	                 	                   	                	                        	                     	                         	                     	                     	               	R                                 	                                	                       	                                  	                  	from ODP Legs 127&128 SR Chapter 13 Table 4 p 233-234

