Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Placolithus (unidentified taxa)	Coccolithus pelagicus	Reticulofenestra "small"	Dictyococcites productus	Calcidiscus leptoporus	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Gephyrocapsa aperta	Pseudoemiliania lacunosa	Pontosphaera sp.	Helicosphaera carteri	Braarudosphaera bigelowii	Helicosphaera colombiana	Helicosphaera wallichii	Comment



  SR	Pleistocene      	                 	                  	              	128	 799	A	  2	H	 1	  83.00	      2.0300	Muza     	Nannofossils                                 	F              	P                 	F                              	                     	                        	                        	                      	                     	                         	                   	                        	                	                     	                         	                        	                       	from ODP Leg 127&128 SR Chapter 10 Table 2 p 162-163

  SR	Pleistocene      	                 	                  	              	128	 799	A	  2	H	 4	  23.00	      5.9300	Muza     	Nannofossils                                 	A              	M                 	                               	F                    	A                       	                        	                      	C                    	                         	C                  	                        	                	F                    	C                        	                        	F                      	Few reworked Cretaceous taxa; from ODP Leg 127&128 SR Chapter 10 Table 2 p 162-163

  SR	Pleistocene      	                 	                  	              	128	 799	A	  3	H	 2	  22.00	     12.4200	Muza     	Nannofossils                                 	A              	M                 	                               	A                    	                        	                        	C                     	A                    	                         	                   	                        	                	F                    	                         	C                       	                       	from ODP Leg 127&128 SR Chapter 10 Table 2 p 162-163

  SR	Pleistocene      	                 	                  	              	128	 799	A	  3	H	 4	  26.00	     15.4600	Muza     	Nannofossils                                 	R              	P                 	                               	R                    	                        	                        	                      	                     	                         	                   	                        	                	                     	                         	                        	                       	from ODP Leg 127&128 SR Chapter 10 Table 2 p 162-163

  SR	Pleistocene      	                 	                  	              	128	 799	A	  3	H	 5	  21.00	     16.9100	Muza     	Nannofossils                                 	               	P                 	                               	R                    	R                       	                        	                      	                     	                         	                   	                        	                	                     	                         	                        	                       	from ODP Leg 127&128 SR Chapter 10 Table 2 p 162-163

  SR	Pleistocene      	                 	                  	              	128	 799	A	  4	H	 4	  27.00	     25.0700	Muza     	Nannofossils                                 	V              	M                 	                               	A                    	V                       	                        	                      	A                    	A                        	A                  	                        	                	                     	                         	                        	                       	from ODP Leg 127&128 SR Chapter 10 Table 2 p 162-163

  SR	Pleistocene      	                 	                  	              	128	 799	A	  4	H	 5	  23.00	     26.5300	Muza     	Nannofossils                                 	A              	M                 	                               	A                    	A                       	                        	                      	A                    	A                        	A                  	                        	                	                     	                         	                        	                       	from ODP Leg 127&128 SR Chapter 10 Table 2 p 162-163

  SR	Pleistocene      	                 	                  	              	128	 799	A	  5	H	 1	  22.00	     30.1200	Muza     	Nannofossils                                 	C              	M                 	                               	C                    	                        	                        	                      	C                    	                         	                   	                        	                	                     	                         	                        	                       	from ODP Leg 127&128 SR Chapter 10 Table 2 p 162-163

