Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Helicosphaera carteri,Gephyrocapsa spp. (small),Gephyrocapsa spp. (large),Gephyrocapsa sp. medium,Gephyrocapsa omega,Emiliania huxleyi,Coccolithus pelagicus,Ceratolithus telesmus,Ceratolithus cristatus,Calcidiscus leptoporus,Helicosphaera inversa,Gephyrocapsa sp.3 medium,Syracosphaera spp.,Scyphosphaera spp.,Calcidiscus macintyrei,Florisphaera profunda,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1055,D,  1,H,CC,  16.00,      5.7100,Raffi    ,Nannofossils                                 ,A              ,G                 ,                        ,F                    ,A                        ,                         ,C                      ,                  ,A                ,F                    ,                     ,                      ,F                     ,                     ,F                       ,                  ,                  ,                      ,A                    ,< 0.085
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1055,D,  2,H,CC,  16.00,     14.9800,Raffi    ,Nannofossils                                 ,A              ,M                 ,                        ,F                    ,A                        ,                         ,A                      ,                  ,F                ,F                    ,                     ,                      ,                      ,                     ,C                       ,                  ,                  ,                      ,                     ,< 0.085> 0.26 - sandy!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,D,  4,H,CC,  21.00,     34.5500,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                       ,F                    ,A                        ,                         ,A                      ,+                 ,-                ,+                    ,+                    ,+                     ,C                     ,+                    ,+                       ,+                 ,+                 ,-                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,D,  5,H,CC,  16.00,     43.9900,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                       ,                     ,A                        ,                         ,A                      ,                  ,-                ,                     ,+                    ,+                     ,+                     ,                     ,                        ,                  ,                  ,                      ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,D,  6,H,CC,  25.00,     53.7400,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                       ,                     ,A                        ,                         ,                       ,                  ,-                ,+                    ,+                    ,+                     ,+                     ,                     ,                        ,                  ,                  ,                      ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,D,  7,H,CC,  22.00,     63.2000,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                       ,                     ,+                        ,                         ,+                      ,                  ,-                ,+                    ,+                    ,+                     ,+                     ,                     ,                        ,                  ,                  ,                      ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,D,  8,H,CC,  29.00,     72.7700,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                       ,+                    ,A                        ,                         ,A                      ,                  ,-                ,+                    ,+                    ,+                     ,+                     ,+                    ,                        ,                  ,                  ,                      ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,D,  9,H,CC,  28.00,     82.2600,Raffi    ,Nannofossils                                 ,A              ,G                 ,R                       ,                     ,A                        ,                         ,A                      ,                  ,-                ,+                    ,+                    ,+                     ,+                     ,                     ,                        ,                  ,                  ,                      ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,D, 10,H,CC,  28.00,     91.7700,Raffi    ,Nannofossils                                 ,A              ,G                 ,F                       ,+                    ,A                        ,                         ,A                      ,                  ,-                ,+                    ,+                    ,+                     ,+                     ,                     ,                        ,                  ,                  ,                      ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,D, 12,H,CC,  23.00,    110.7200,Raffi    ,Nannofossils                                 ,A              ,G                 ,A                       ,+                    ,A                        ,                         ,C                      ,                  ,-                ,+                    ,+                    ,+                     ,+                     ,+                    ,F                       ,                  ,                  ,                      ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,D, 13,H,CC,  18.00,    120.5700,Raffi    ,Nannofossils                                 ,A              ,G                 ,F                       ,+                    ,A                        ,F                        ,C                      ,+                 ,-                ,+                    ,+                    ,+                     ,+                     ,                     ,                        ,                  ,                  ,                      ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
