Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerina bulloides,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Neogloboquadrina asanoi,Globigerina quinqueloba,Globorotalia scitula,Planktonic spp. indeterminate,Comment
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,B,  3,R,CC,   7.00,    218.1400,Zellers  ,Planktonic Foraminifers                      ,               ,                  ,2                    ,1                                      ,10                                   ,1                      ,                       ,                    ,                             ,from Leg 146 SR; Ch 5; Table 3; p. 96
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,B,  4,R,CC,   0.00,    228.1400,Zellers  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                                       ,1                                    ,2                      ,                       ,                    ,                             ,from Leg 146 SR; Ch 5; Table 3; p. 96
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,B,  5,R,CC,   0.00,    235.1700,Zellers  ,Planktonic Foraminifers                      ,               ,                  ,4                    ,2                                      ,4                                    ,1                      ,                       ,                    ,1                            ,from Leg 146 SR; Ch 5; Table 3; p. 96
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,B,  8,R,CC,  12.00,    269.4300,Zellers  ,Planktonic Foraminifers                      ,               ,                  ,59                   ,4                                      ,53                                   ,12                     ,                       ,3                   ,                             ,from Leg 146 SR; Ch 5; Table 3; p. 96
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,B,  9,R,CC,   0.00,    273.8400,Zellers  ,Planktonic Foraminifers                      ,               ,                  ,4                    ,1                                      ,6                                    ,                       ,                       ,                    ,                             ,from Leg 146 SR; Ch 5; Table 3; p. 96
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,B, 10,R,CC,  11.00,    284.3400,Zellers  ,Planktonic Foraminifers                      ,               ,                  ,3                    ,12                                     ,3                                    ,1                      ,1                      ,                    ,                             ,from Leg 146 SR; Ch 5; Table 3; p. 96
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,B, 19,R, 1,  17.00,    360.0700,Zellers  ,Planktonic Foraminifers                      ,               ,                  ,1                    ,                                       ,                                     ,                       ,                       ,                    ,                             ,from Leg 146 SR; Ch 5; Table 3; p. 96
,,,,,,,,,,,,,,,,,,,,,,,,
