Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globigerinita glutinata	Globigerina bulloides	Globorotalia sp. 1	Neogloboquadrina pachyderma (dex.)	Globorotalia inflata (4 chambered)	Globorotalia inflata (3 chambered)	Globorotalia cf. tosaensis (dex.)	Globigerinita uvula	Globigerina quinqueloba	Globigerina falconensis	Globigerina cryophila (dex.)	Orbulina universa	Neogloboquadrina dutertrei	Globorotalia truncatulinoides (dex.)	Globorotalia scitula	Globigerinoides trilobus	Globigerinoides ruber (white)	Globigerinoides gomitulus	Globigerinella aequilateralis (symmetrical)	Globigerina hermanae (dex.)	Pulleniatina obliquiloculata	Globorotalia menardii	Globigerinoides tenellus	Globigerinoides sacculifer	Globigerinoides conglobatus	Sphaeroidinella dehiscens	Globorotalia tumida	Globorotalia hirsuta	Globigerina calida	Globigerinita iota	Globigerinita humilis          	Comment



  SR	                 	                 	                  	              	126	 790	A	  1	H	 1	   1.00	      0.0100	Herman   	Planktonic Foraminifers                      	               	                  	+                      	                     	                  	+                                 	+                                 	+                                 	                                 	                   	+                      	+                      	                            	                 	+                         	+                                   	                    	+                       	+                            	                         	+                                          	                           	+                           	+                    	                        	+                         	                           	+                        	+                  	+                   	+                 	+                 	+                              	from ODP Leg 126 SR Chapter 18 Table 2 p 274-275

  SR	                 	                 	                  	              	126	 790	A	  1	H	 1	   2.00	      0.0200	Herman   	Planktonic Foraminifers                      	               	                  	+                      	+                    	                  	+                                 	+                                 	+                                 	                                 	                   	+                      	+                      	                            	+                	+                         	+                                   	+                   	+                       	+                            	+                        	+                                          	                           	+                           	+                    	                        	+                         	+                          	+                        	+                  	+                   	+                 	                  	                               	from ODP Leg 126 SR Chapter 18 Table 2 p 274-275

  SR	                 	                 	                  	              	126	 790	A	  1	H	 4	   7.00	      4.5700	Herman   	Planktonic Foraminifers                      	               	                  	+                      	                     	                  	+                                 	+                                 	+                                 	                                 	                   	                       	                       	                            	+                	+                         	+                                   	                    	                        	+                            	                         	+                                          	                           	+                           	+                    	+                       	+                         	+                          	                         	                   	                    	                  	                  	                               	from ODP Leg 126 SR Chapter 18 Table 2 p 274-275

  SR	                 	                 	                  	              	126	 790	A	  1	H	CC	   9.00	      8.7600	Herman   	Planktonic Foraminifers                      	               	                  	+                      	+                    	                  	+                                 	+                                 	+                                 	                                 	                   	+                      	+                      	+                           	+                	+                         	+                                   	+                   	+                       	+                            	+                        	+                                          	+                          	                            	                     	                        	                          	                           	                         	                   	                    	                  	                  	                               	from ODP Leg 126 SR Chapter 18 Table 2 p 274-275

  SR	                 	                 	                  	              	126	 790	A	  2	H	 7	  44.00	     18.2400	Herman   	Planktonic Foraminifers                      	               	                  	                       	                     	+                 	                                  	                                  	                                  	                                 	                   	                       	                       	                            	                 	                          	                                    	                    	                        	                             	                         	                                           	                           	                            	                     	                        	                          	                           	                         	                   	                    	                  	                  	                               	from ODP Leg 126 SR Chapter 18 Table 2 p 274-275

  SR	                 	                 	                  	              	126	 790	A	  2	H	CC	   7.00	     18.4100	Herman   	Planktonic Foraminifers                      	               	                  	                       	+                    	                  	+                                 	+                                 	+                                 	+                                	+                  	+                      	+                      	+                           	                 	                          	                                    	                    	                        	                             	                         	                                           	                           	                            	                     	                        	                          	                           	                         	                   	                    	                  	                  	                               	from ODP Leg 126 SR Chapter 18 Table 2 p 274-275

  SR	                 	                 	                  	              	126	 790	A	  3	H	 5	  70.00	     25.0000	Herman   	Planktonic Foraminifers                      	               	                  	+                      	                     	+                 	                                  	                                  	                                  	                                 	                   	                       	                       	                            	                 	                          	                                    	                    	                        	                             	                         	                                           	                           	                            	                     	                        	                          	                           	                         	                   	                    	                  	                  	                               	from ODP Leg 126 SR Chapter 18 Table 2 p 274-275

  SR	                 	                 	                  	              	126	 790	A	  3	H	CC	  14.00	     27.8700	Herman   	Planktonic Foraminifers                      	               	                  	+                      	+                    	                  	                                  	                                  	                                  	                                 	                   	                       	                       	                            	                 	                          	                                    	                    	                        	                             	                         	                                           	                           	                            	                     	                        	                          	                           	                         	                   	                    	                  	                  	                               	from ODP Leg 126 SR Chapter 18 Table 2 p 274-275

