Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra sp. (small),Calcidiscus leptoporus,Sphenolithus umbrellus,Sphenolithus heteromorphus,Discoaster sp.,Discoaster sanmiguelensis,Discoaster kugleri,Discoaster exilis,Discoaster deflandrei,Discoaster adamanteus,Cyclicargolithus floridanus,Coccolithus miopelagicus,Catinaster mexicanus,Calcidiscus macintyrei,Sphenolithus neoabies,Reticulofenestra pseudoumbilica,Dictyococcites perplexus,Coccolithus pelagicus,Discoaster stellulus,Triquetrorhabdulus rugosus,Pontosphaera multipora,Discoaster variabilis,Discoaster challengeri,Discoaster brouweri,Dictyococcites productus,Sphenolithus moriformis,Sphenolithus abies,Pontosphaera pacifica,Helicosphaera perch-nielseniae,Helicosphaera carteri,Cycolithela rotula,Coccolithus sp.,Pontosphaera distincta,Braarudosphaera bigelowii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,B,  1,R, 4, 106.00,    159.1100,Rahman   ,Nannofossils                                 ,M              ,G                 ,                            ,                      ,                      ,                          ,              ,                         ,                  ,                 ,                     ,                     ,                           ,                        ,                    ,                      ,                     ,R                              ,                        ,F                    ,                    ,                          ,                      ,                     ,                      ,                   ,                        ,                       ,                  ,                     ,                              ,                     ,                  ,               ,                      ,                         ,from ODP Legs 127&128 SR Chapter 11 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN5b              ,              ,127, 794,B,  7,R, 1,   3.00,    356.6300,Rahman   ,Nannofossils                                 ,C              ,G                 ,M                           ,R                     ,                      ,                          ,              ,                         ,                  ,                 ,                     ,                     ,                           ,                        ,                    ,                      ,R                    ,C                              ,F                       ,M                    ,                    ,                          ,                      ,R                    ,                      ,R                  ,F                       ,                       ,R                 ,                     ,                              ,                     ,                  ,               ,                      ,                         ,from ODP Legs 127&128 SR Chapter 11 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN5b              ,              ,127, 794,B,  7,R,CC,  12.00,    357.0700,Rahman   ,Nannofossils                                 ,F              ,M                 ,R                           ,R                     ,                      ,                          ,              ,                         ,                  ,                 ,                     ,                     ,                           ,                        ,                    ,                      ,R                    ,F                              ,                        ,F                    ,                    ,                          ,                      ,                     ,                      ,                   ,                        ,                       ,R                 ,                     ,                              ,R                    ,                  ,               ,                      ,                         ,from ODP Legs 127&128 SR Chapter 11 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN5a              ,              ,127, 794,B,  8,R,CC,   3.00,    366.3300,Rahman   ,Nannofossils                                 ,C              ,P                 ,                            ,                      ,                      ,                          ,              ,                         ,                  ,                 ,                     ,                     ,R                          ,R                       ,                    ,R                     ,                     ,F                              ,M                       ,F                    ,                    ,                          ,                      ,                     ,                      ,                   ,F                       ,                       ,                  ,                     ,                              ,                     ,                  ,               ,                      ,                         ,from ODP Legs 127&128 SR Chapter 11 Table 2 p 175
