Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cibicides lobatulus,Astrononion stelligerum,Comment
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,191,1179,B,  4,H,CC,   0.00,     36.0200,rads     ,Benthic Foraminifers                         ,               ,                  ,+                  ,+                      ,"                               -""-"
,,,,,,,,,,,,,,,,,,,
