Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Otoliths (all taxa),Comment
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 751,A,  3,H, 2, 140.00,     17.1000,Quilty   ,Miscellaneous                                ,B              ,                  ,-                  ,from ODP Leg 120 SR Vol 2 Chapter 59 Table 2 p 1066
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 751,A,  6,H, 5, 145.00,     50.1500,Quilty   ,Miscellaneous                                ,B              ,                  ,-                  ,from ODP Leg 120 SR Vol 2 Chapter 59 Table 2 p 1066
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 751,A,  9,H, 4, 145.00,     77.1500,Quilty   ,Miscellaneous                                ,B              ,                  ,-                  ,from ODP Leg 120 SR Vol 2 Chapter 59 Table 2 p 1066
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 751,A, 12,H, 5, 145.00,    107.1500,Quilty   ,Miscellaneous                                ,B              ,                  ,-                  ,from ODP Leg 120 SR Vol 2 Chapter 59 Table 2 p 1066
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 751,A, 15,H, 5, 145.00,    135.6500,Quilty   ,Miscellaneous                                ,B              ,                  ,-                  ,from ODP Leg 120 SR Vol 2 Chapter 59 Table 2 p 1066
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 751,A, 18,H, 4, 145.00,    162.6500,Quilty   ,Miscellaneous                                ,B              ,                  ,-                  ,from ODP Leg 120 SR Vol 2 Chapter 59 Table 2 p 1066
,,,,,,,,,,,,,,,,,,
