Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spongaster (unspecified taxon or taxa)	Theocorythium trachelium dianae	Lamprocyclas maritalis maritalis	Didymocyrtis tetrathalamus	Axoprunum angelinum	Amphirhopalum ypsilon	Peripyramis circumtexta	Botryostrobus auritus/australis	Stylochlamidium asteriscus	Spongaster tetras tetras	Spongaster tetras irregularis	Lithopera bacca	Carpocanistrum (unspecified taxon or taxa)	Plectopyramis dodecomma	Tetrapyle octacantha	Hexacontium laevigatum	Druppatractus acquilonius	Euchitonia elegans	Spongaster tetras	Comment



  SR	                 	                 	                  	              	126	 790	C	  2	H	CC	  12.00	    104.4600	Aitchison	Radiolarians                                 	R              	M                 	R                                     	                               	                                	                          	                   	                     	                       	                               	                          	                        	                             	               	                                          	                       	                    	                      	                         	                  	                 	from ODP Leg 126 SR Chapter 21 Table 4 p 324

  SR	                 	                 	                  	              	126	 790	C	  3	H	CC	  10.00	    114.0100	Aitchison	Radiolarians                                 	R              	G                 	                                      	                               	                                	F                         	                   	                     	                       	                               	F                         	                        	                             	               	                                          	                       	                    	                      	                         	                  	F                	from ODP Leg 126 SR Chapter 21 Table 4 p 324

  SR	                 	                 	                  	              	126	 790	C	  5	H	CC	   0.00	    132.4500	Aitchison	Radiolarians                                 	R              	G                 	                                      	                               	                                	R                         	                   	                     	                       	                               	R                         	                        	                             	               	                                          	                       	                    	                      	                         	                  	                 	from ODP Leg 126 SR Chapter 21 Table 4 p 324

  SR	                 	                 	                  	              	126	 790	C	  6	H	CC	  23.00	    142.8300	Aitchison	Radiolarians                                 	C              	G                 	                                      	F                              	F                               	R                         	                   	R                    	                       	F                              	F                         	                        	                             	               	                                          	                       	                    	                      	                         	R                 	                 	from ODP Leg 126 SR Chapter 21 Table 4 p 324

  SR	                 	                 	                  	              	126	 790	C	  7	H	CC	   0.00	    145.1900	Aitchison	Radiolarians                                 	R              	G                 	                                      	                               	                                	                          	                   	                     	                       	                               	                          	                        	                             	               	                                          	                       	R                   	                      	                         	                  	                 	from ODP Leg 126 SR Chapter 21 Table 4 p 324

  SR	                 	                 	                  	              	126	 790	C	 10	X	CC	   4.00	    166.5500	Aitchison	Radiolarians                                 	F              	G                 	                                      	F                              	                                	                          	                   	                     	                       	                               	F                         	                        	                             	               	                                          	                       	                    	                      	                         	                  	                 	from ODP Leg 126 SR Chapter 21 Table 4 p 324

  SR	                 	                 	                  	              	126	 790	C	 11	X	CC	  26.00	    181.6000	Aitchison	Radiolarians                                 	C              	G                 	                                      	R                              	                                	                          	                   	F                    	                       	                               	R                         	                        	                             	               	                                          	                       	                    	                      	                         	                  	                 	from ODP Leg 126 SR Chapter 21 Table 4 p 324

  SR	                 	                 	                  	              	126	 790	C	 12	X	CC	  32.00	    185.9200	Aitchison	Radiolarians                                 	C              	G                 	                                      	R                              	F                               	                          	                   	F                    	                       	                               	                          	                        	                             	               	R                                         	                       	                    	                      	R                        	                  	                 	from ODP Leg 126 SR Chapter 21 Table 4 p 324

