Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina hispidocostata	Stilostomella spp.	Sphaeroidina bulloides	Pyrgo murrhina	Pullenia sp.	Pullenia bulloides	Oridorsalis umbonatus	Melonis pompilioides	Melonis barleeanus	Lenticulina sp.	Globocassidulina sp.	Fissurina sp.	Eggerella bradyi	Cibicidoides wuellerstorfi	Cibicidoides spp.	Cassidulina sp.	Bolivina pusilla	Uvigerina hispida	Pleurostomella spp.	Bulimina aculeata	Uvigerina senticosa	Sigmoilopsis schlumbergeri	Martinottiella spp.	Hoeglundina elegans	Epistominella exigua	Bulimina striata	Globobulimina affinis	Bulimina barbata	Comment



  SR	                 	                 	                  	              	126	 790	C	  6	H	CC	  23.00	    142.8300	Kaiho    	Benthic Foraminifers                         	               	                  	C                       	                  	R                     	C             	F           	A                 	                     	                    	                  	R              	                    	             	C               	C                         	                 	F              	F               	                 	                   	A                	                   	R                         	R                  	                   	A                   	R               	                     	                	from ODP Leg 126 SR Chapter 19 Fig 3 p 292

  SR	                 	                 	                  	              	126	 790	C	 10	X	CC	   4.00	    166.5500	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	                  	R                     	A             	C           	C                 	A                    	C                   	F                 	               	F                   	R            	C               	C                         	R                	               	R               	                 	                   	C                	C                  	                          	                   	A                  	                    	R               	C                    	                	from ODP Leg 126 SR Chapter 19 Fig 3 p 292

  SR	                 	                 	                  	              	126	 790	C	 11	X	CC	  26.00	    181.6000	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	                  	C                     	C             	F           	R                 	                     	C                   	C                 	               	R                   	F            	                	R                         	C                	               	                	                 	                   	A                	F                  	                          	                   	A                  	                    	R               	                     	                	from ODP Leg 126 SR Chapter 19 Fig 3 p 292

  SR	                 	                 	                  	              	126	 790	C	 12	X	CC	  32.00	    185.9200	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	                  	A                     	C             	C           	C                 	A                    	F                   	C                 	F              	F                   	C            	R               	C                         	C                	R              	F               	                 	                   	                 	                   	                          	R                  	C                  	R                   	R               	                     	                	from ODP Leg 126 SR Chapter 19 Fig 3 p 292

  SR	                 	                 	                  	              	126	 790	C	 13	X	 3	 104.00	    197.9400	Kaiho    	Benthic Foraminifers                         	               	                  	R                       	                  	                      	              	C           	R                 	C                    	                    	C                 	               	R                   	C            	                	R                         	                 	F              	F               	A                	                   	A                	A                  	                          	F                  	C                  	C                   	A               	R                    	                	from ODP Leg 126 SR Chapter 19 Fig 3 p 292

  SR	                 	                 	                  	              	126	 790	C	 13	X	CC	   0.00	    198.7300	Kaiho    	Benthic Foraminifers                         	               	                  	F                       	                  	                      	C             	F           	R                 	                     	R                   	                  	               	                    	             	                	F                         	                 	               	                	A                	                   	A                	A                  	                          	C                  	                   	F                   	C               	C                    	R               	from ODP Leg 126 SR Chapter 19 Fig 3 p 292

