Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triquetrorhabdulus rugosus/rioensis	Reticulofenestrid taxa	Reticulofenestra pseudoumbilicus	Discoaster variabilis	Discoaster moorei	Discoaster intercalaris	Discoaster calcaris	Discoaster brouweri	Discoaster bollii	Discoaster bellus	Discoaster asymmetricus	Dictyococcites spp.	Coccolithus pelagicus	Catinaster coalitus	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster sp. 1	Discoaster pseudovariabilis	Discoaster hamatus	Catinaster calyculus	Discoaster neohamatus	Discoaster prepentaradiatus	Discoaster musicus	Sphenolith (unspecified taxon or taxa)	Minylitha convallis	Helicosphaera carteri	Discoaster surculus	Discoaster pentaradiatus	Coccolithus radiatus	Discoaster quinqueramus/berggrenii	Coccolithus miopelagicus	Discoaster sp. 2	Discoaster loeblichii	Amaurolithus primus	Amaurolithus delicatus	Amaurolithus amplificus	Discoaster triradiatus	Ceratolithus acutus	Ceratolithus armatus	Scyphosphaera spp.	Ceratolithus rugosus	Amaurolithus tricorniculatus	Geminilithella rotula	Ceratolithus cristatus	Discoaster tristellifer	Discoaster tamalis	Discoaster decorus	Umbilicosphaera spp.	Pseudoemiliania lacunosa	Helicosphaera sellii	Gephyrocapsa oceanica s.l.	Gephyrocapsa (small)	Comment



  SR	                 	                 	CN13              	              	115	 710	B	  3	H	 7	  30.00	     25.5000	Rio      	Nannofossils                                 	A              	G                 	                                   	                      	                                	                     	                 	                       	                   	R                  	                 	                 	                       	                   	                     	                   	R                     	C                     	                	                           	                  	                    	                     	                           	                  	                                      	                   	C                    	                   	                        	                    	                                  	                        	                	                     	                   	                      	                       	                      	                   	                    	                  	                    	                            	                     	F                     	                       	                  	                  	C                   	C                       	F                   	C                         	C                   	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN13              	              	115	 710	B	  3	H	CC	   9.00	     25.8500	Rio      	Nannofossils                                 	A              	G                 	                                   	R                     	                                	                     	                 	                       	                   	R                  	                 	                 	                       	                   	                     	                   	F                     	C                     	                	                           	                  	                    	                     	                           	                  	                                      	                   	C                    	                   	                        	                    	                                  	                        	                	                     	                   	                      	                       	                      	                   	                    	                  	                    	                            	                     	F                     	                       	                  	                  	C                   	C                       	F                   	F                         	C                   	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN12a             	              	115	 710	B	  4	H	 1	  30.00	     26.1000	Rio      	Nannofossils                                 	A              	M                 	                                   	C                     	                                	R                    	                 	                       	                   	C                  	                 	                 	C                      	                   	R                    	                   	                      	C                     	                	                           	                  	                    	                     	                           	                  	                                      	                   	                     	F                  	A                       	                    	                                  	                        	                	                     	                   	                      	                       	R                     	                   	                    	                  	F                   	                            	                     	F                     	                       	R                 	                  	                    	C                       	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN12a             	              	115	 710	B	  4	H	 1	  60.00	     26.4000	Rio      	Nannofossils                                 	A              	M                 	                                   	C                     	                                	R                    	                 	R                      	                   	C                  	                 	                 	R                      	                   	R                    	                   	F                     	C                     	                	                           	                  	                    	                     	                           	                  	                                      	                   	                     	F                  	A                       	                    	                                  	                        	                	                     	                   	                      	                       	R                     	                   	                    	                  	F                   	                            	                     	F                     	                       	R                 	                  	                    	C                       	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.
