Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys peregrina	Stichocorys johnsoni	Solenosphaera omnitubus omnitubus	Siphostichartus corona	Calocycletta caepa	Theocorythium vetulum	Stylatractus universus	Pterocanium prismatium	Phormostichoartus fistula	Phormostichoartus doliolum	Lychnodictyum audax	Didymocyrtis penultima	Anthocyrtidium pliocenica	Anthocyrtidium jenghisi	Spongaster tetras	Amphirhopalum ypsilon	Theocalyptra davisiana	Lamprocyrtis neoheteroporos	Lamprocyrtis heteroporos	Theocorythium trachelium trachelium	Pterocorys minythorax	Anthocyrtidium angulare	Lamprocyrtis nigriniae	Collosphaera tuberosa	Comment



  SR	                 	                 	P12               	              	138	 851	E	  1	H	CC	  22.00	      9.8300	Moore    	Radiolarians                                 	A              	M                 	                     	                    	                                 	                      	                  	                     	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                     	                           	                        	R                                  	R                    	                       	R                     	R                    	Reworked older fauna = Trace; from ODP Leg 138 Ch 11 Figure 8 p 218-219

  SR	                 	                 	A. ypsilon        	              	138	 851	E	  2	H	 5	 110.00	     16.4800	Moore    	Radiolarians                                 	A              	M                 	                     	                    	                                 	                      	                  	                     	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                     	rT                         	                        	R                                  	R                    	                       	R                     	-                    	Reworked older fauna = Trace; from ODP Leg 138 Ch 11 Figure 8 p 218-219

  SR	                 	                 	A. ypsilon        	              	138	 851	E	  2	H	 6	 100.00	     17.8800	Moore    	Radiolarians                                 	A              	G                 	                     	                    	                                 	                      	                  	                     	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                     	-                          	                        	R                                  	R                    	                       	R                     	                     	from ODP Leg 138 Ch 11 Figure 8 p 218-219

  SR	                 	                 	A. ypsilon        	              	138	 851	E	  2	H	CC	  19.00	     19.1600	Moore    	Radiolarians                                 	A              	M                 	                     	                    	                                 	                      	                  	-                    	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                     	R                          	                        	R                                  	R                    	-                      	R                     	                     	Reworked older fauna = Trace; from ODP Leg 138 Ch 11 Figure 8 p 218-219

  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 851	E	  3	H	CC	  22.00	     29.0700	Moore    	Radiolarians                                 	A              	M                 	                     	                    	                                 	                      	                  	F                    	R                     	R                     	                         	                          	                   	                      	                         	                       	R                	R                    	R                     	R                          	R                       	-                                  	-                    	-                      	                      	                     	from ODP Leg 138 Ch 11 Figure 8 p 218-219

  SR	                 	                 	A. jenghisi M95   	              	138	 851	E	  5	H	CC	  25.00	     48.0900	Moore    	Radiolarians                                 	A              	M                 	R                    	                    	                                 	                      	                  	F                    	R                     	R                     	                         	                          	                   	                      	                         	R                      	R                	R                    	-                     	R                          	R                       	                                   	                     	                       	                      	                     	from ODP Leg 138 Ch 11 Figure 8 p 218-219

  SR	                 	                 	A. jenghisi M95   	              	138	 851	E	  6	H	CC	  26.00	     57.5800	Moore    	Radiolarians                                 	A              	M                 	C                    	                    	                                 	                      	                  	F                    	R                     	R                     	-                        	                          	                   	                      	R                        	R                      	R                	R                    	                      	                           	                        	                                   	                     	                       	                      	                     	from ODP Leg 138 Ch 11 Figure 8 p 218-219

  SR	                 	                 	P doliolum(RN10M95	              	138	 851	E	  7	H	CC	  24.00	     67.0700	Moore    	Radiolarians                                 	A              	G                 	C                    	                    	                                 	                      	                  	F                    	R                     	R                     	R                        	R                         	-                  	                      	R                        	R                      	R                	-                    	                      	                           	                        	                                   	                     	                       	                      	                     	from ODP Leg 138 Ch 11 Figure 8 p 218-219

  SR	                 	                 	S peregrina(RN9)M95	              	138	 851	E	 10	H	CC	  29.00	     95.6000	Moore    	Radiolarians                                 	A              	G                 	C                    	                    	-                                	                      	                  	R                    	R                     	-                     	R                        	R                         	R                  	R                     	R                        	R                      	                 	                     	                      	                           	                        	                                   	                     	                       	                      	                     	from ODP Leg 138 Ch 11 Figure 8 p 218-219

  SR	                 	                 	S peregrina(RN9)M95	              	138	 851	E	 14	H	CC	  28.00	    133.6500	Moore    	Radiolarians                                 	A              	G                 	F                    	R                   	R                                	R                     	-                 	                     	                      	                      	                         	                          	                   	                      	                         	                       	                 	                     	                      	                           	                        	                                   	                     	                       	                      	                     	from ODP Leg 138 Ch 11 Figure 8 p 218-219

