Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globorotalia miotumida	Globorotalia mayeri	Globoquadrina dehiscens	Globigerinoides sacculifer	Globigerina praebulloides	Globigerina decoraperta	Globigerina bulloides	Globigerina apertura	Dentoglobigerina altispira	Orbulina universa	Neogloboquadrina mayeri	Globorotalia panda	Globigerinita glutinata	Globigerina quinqueloba	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina continuosa	Globorotalia scitula	Neogloboquadrina humerosa	Globigerina woodi	Sphaeroidinellopsis seminulina	Orbulina bilobata	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina acostaensis	Globorotalia crassula	Globorotalia puncticuloides	Globorotalia crassaformis	Globigerinoides quadrilobatus	Globorotalia puncticulata	Globorotalia menardii	Globigerinoides obliquus	Globigerinita uvula	Globigerina falconensis	Globorotalia pliozea	Globorotalia inflata	Globigerinoides immaturus	Globigerinoides conglobatus	Globigerinella calida	Globorotalia truncatulinoides	Comment



  IR	                 	Quaternary       	                  	              	177	1088	B	  1	H	CC	   7.00	      5.4100	Andersson	Planktonic Foraminifers                      	A              	G                 	                      	                   	                       	                          	                         	                       	D                    	                    	                          	R                	                       	                  	A                      	F                      	F                                      	                           	R                   	F                        	                 	                              	                 	                                     	                            	A                    	                           	A                        	                             	                         	                     	                        	                   	                       	                    	A                   	                         	                           	                     	F                            	       

  IR	                 	Quaternary       	                  	              	177	1088	B	  2	H	CC	  12.00	     14.4400	Andersson	Planktonic Foraminifers                      	A              	M                 	                      	                   	                       	                          	                         	                       	D                    	                    	                          	                 	                       	                  	A                      	A                      	F                                      	                           	                    	                         	                 	                              	                 	                                     	                            	A                    	A                          	A                        	                             	                         	                     	                        	                   	                       	                    	A                   	                         	                           	                     	F                            	       

  IR	                 	Quaternary       	                  	              	177	1088	B	  3	H	CC	  14.00	     23.9700	Andersson	Planktonic Foraminifers                      	A              	M                 	                      	                   	                       	R                         	                         	                       	A                    	                    	                          	R                	                       	                  	A                      	                       	D                                      	                           	                    	                         	                 	                              	                 	                                     	                            	A                    	A                          	A                        	                             	                         	                     	                        	                   	                       	                    	A                   	                         	                           	F                    	                             	       

  IR	                 	Late Pliocene    	                  	              	177	1088	B	  4	H	CC	  13.00	     34.0800	Andersson	Planktonic Foraminifers                      	A              	G                 	                      	                   	                       	                          	                         	                       	D                    	                    	                          	R                	                       	                  	A                      	D                      	A                                      	                           	R                   	                         	                 	                              	                 	A                                    	                            	F                    	A                          	A                        	                             	A                        	R                    	                        	                   	                       	F                   	F                   	R                        	R                          	R                    	                             	       

  IR	                 	Late Pliocene    	                  	              	177	1088	B	  5	H	CC	  12.00	     42.9200	Andersson	Planktonic Foraminifers                      	A              	G                 	                      	                   	                       	R                         	                         	                       	D                    	                    	                          	F                	                       	                  	A                      	A                      	A                                      	                           	F                   	                         	                 	                              	                 	                                     	F                           	F                    	A                          	A                        	                             	A                        	R                    	R                       	F                  	R                      	                    	                    	                         	                           	                     	                             	       

