Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Oridorsalis umbonatus	Pullenia salisburyi	Gyroidinoides laevigatus	Gyroidinoides gr  soldanii*	Stilostomella spp.*	Glomospira charoides	Cibicidoides ungerianus	Oridorsalis stellatus	Karreriella bradyi	Dentalina filiformis	Martinottiella communis	Globocassidulina subglobosa	Quinqueloculina spp.	Cibicidoides pseudoungerianus	Eggerella bradyi	Uvigerina spp.*	Cibicides refulgens	Nonion gr.*	Nodosaria spp.*	Fursenkoina squammosa	Dentalina sp.	Pleurostomella alternans	Marginulina subbullata	Elphidium complanatum	Cibicides lobatulus	Brizalina-Bolivina gr.*	Triloculina sp.	Lagena spp.	Globobulimina saubriguensis	Sigmoilina tenuis	Dimorphina tuberosa	Chrysalogonium lanceolum	Astrononion stelligerum	Quadrimorphina allomorphinoides	Uvigerina pygmaea-peregrina	Globocassidulina oblonga	Ortomorphina cf. tenuicostata	Globulina gibba	Comment



  SR	                 	                 	                  	              	161	 974	B	 21	X	 2	 108.00	    187.0800	Iaccarino	Benthic Foraminifers                         	               	                  	                     	                   	1                       	4                          	                   	                    	1                      	14                   	7                 	                    	                       	14                         	                    	                             	12              	1              	                   	15         	               	                     	             	                        	3                     	                     	2                  	                       	               	1          	2                          	                 	                   	1                       	                       	1                              	5                          	1                       	1                            	1              	total count = 87; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 21	X	 5	  53.00	    191.0300	Iaccarino	Benthic Foraminifers                         	               	                  	                     	                   	3                       	3                          	                   	                    	                       	5                    	                  	                    	                       	19                         	2                   	                             	                	               	                   	           	               	                     	             	1                       	                      	                     	1                  	                       	               	           	                           	                 	                   	                        	                       	                               	6                          	3                       	                             	               	total count = 43;from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 21	X	 6	  99.00	    192.9900	Iaccarino	Benthic Foraminifers                         	               	                  	5                    	                   	4                       	                           	1                  	                    	                       	11                   	9                 	2                   	                       	5                          	                    	                             	                	               	                   	19         	1              	                     	             	                        	                      	                     	                   	                       	               	           	                           	                 	                   	1                       	                       	                               	                           	                        	                             	               	total count = 58; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 21	X	 6	 103.00	    193.0300	Iaccarino	Benthic Foraminifers                         	               	                  	5                    	                   	6                       	2                          	1                  	                    	                       	16                   	8                 	                    	                       	15                         	                    	                             	                	               	                   	11         	               	                     	             	                        	                      	                     	                   	                       	               	           	                           	                 	                   	2                       	                       	                               	                           	                        	                             	               	total count = 67; I indeterminate specimen; from 161SR; Ch. 15; Appendix B

