Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Thalassiosira sp. B,Thalassiosira pacifica,Thalassiosira oestrupii,Thalassiosira lineata,Thalassiosira jouseae,Thalassiosira eccentrica,Thalassionema schraderi,Thalassionema nitzschioides,Stephanopyxis spp.,Rhizosolenia bergonii,Rhaphoneis paralis,Pseudopodosira spp.,Paralia sulcata,Neodelphineis pelagica,Melosira westii,Melosira architecturalis,Koizumia tatsunokuchiensis,Freshwater species,Diploneis spp.,Cymatosira immunis,Coscinodiscus radiatus,Chaetoceros spp. (resting spores),Biddulphia spp.,Actinoptychus senarius,Actinocyclus octonarius,Thalassiosira convexa,Stephanopyxis turris,Rhizosolenia styliformis,Rhizosolenia hebetata,Rhaphoneis spp.,Rhaphoneis amphiceros,Koizumia adaroi,Hyalodiscus sp. A,Hemidiscus ovalis,Goniothecium sp.,Delphineis spp.,Cyclotella striata,Coscinodiscus marginatus,Azpeitia nodulifera,Trachyneis aspera,Thalassiothrix acuta,Thalassionema nitzschioides  var. parva,Grammatophora spp.,Cavitatus jouseanus,Bacteriastrum spp.,Actinocyclus curvatulus,Hemiaulus spp.,Delphineis surirella,Thalassiosira spp.,Thalassionema hirosakiensis,Cyclotella styroleum,Nitzschia cylindrica,Triceratium spp.,Azpeitia vetustissima,Rhizosolenia setigera,Proboscia alata,Melosira spp.,Glyphodesmis acus,Nitzschia fossilis,Thalassiosira nidulus,Trigonium alternans,Thalassiothrix frauenfeldii,Nitzschia marina,Azpeitia tabularis,Asterolampra sp.,Actinoptychus splendens,Planktoniella  sol,Hantzschia amphioxys,Cyclotella sp.,Thalassiosira sp. C,Delphineis angustata,Coscinodiscus obscurus,Rhizosolenia spp.,Nitzschia lorenziana,Nitzschia constricta,Thalassiosira zabellinae,Porosira pseudodenticulata,Thalassionema bacillaris,Nitzschia jouseae,Nitzschia bicapitata,Lyrella hennedyii,Hemidiscus cuneiformis,Synedra indica,Denticulopsis dimorpha,Coscinodiscus nitidus,Coscinodiscus denarius,Thalassiosira symmetrica,Thalassiosira tetraoestrupii,Nitzschia reinholdii,Epithemia spp.,Coscinodiscus perforatus,Thalassiosira leptopus,Thalassiosira ferelineata,Thalassiosira trifulta,Roperia tesselata,Actinocyclus ingens,Thalassiosira plicata,Thalassiosira anguste-lineata,Hyalodiscus sp. B,Thalassiosira manifesta,Tetracyclus emarginatus,Nitzschia granulata,Actinoptychus heliopelta,Rossiella paleacea,Porosira glacialis,Nitzschia rolandii,Nitzschia panduriformis,Actinocyclus elongatus,Thalassiosira symbolophora,Denticulopsis hustedtii,Coscinodiscus aff. C. antimimos,Bacillaria paxillifer,Actinoptychus intermedius,Coscinodiscus plicatus,Plagiogramma sp.,Cyclotella sp. 1,Actinocyclus spp.,Synedra ulna,Coscinodiscus spp.,Thalassiothrix robusta,Stauroneis spp.,Asteromphalus arachne,Nitzschia spp.,Azpeitia africana,Actinoptychus vulgaris,Pleurosigma spp.,Fragilariopsis doliolus,Rossiella spp.,Neodenticula seminae,Coscinodiscus oculus-iridis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,164, 997,A,  1,H, 1,  39.00,      0.3900,Okada    ,Diatoms                                      ,               ,                  ,                         ,                   ,                      ,                       ,                     ,                     ,                        ,                       ,                           ,                  ,1                    ,                  ,5                  ,31             ,                      ,               ,2                       ,                          ,0                 ,              ,                  ,                      ,8                                ,               ,                      ,                       ,                     ,3                   ,                        ,                     ,               ,                     ,               ,                 ,                 ,                ,               ,2                 ,                        ,                   ,                 ,                    ,                                       ,2                 ,                   ,                  ,                       ,              ,                    ,                  ,                           ,                    ,                    ,                ,                     ,                     ,               ,             ,                 ,                  ,                     ,                   ,                           ,                ,                  ,                ,                       ,                  ,                    ,              ,                   ,                    ,                      ,                 ,                    ,                    ,                        ,                          ,                        ,                 ,                    ,                 ,                      ,              ,                      ,1                    ,                      ,                        ,                            ,                    ,              ,                        ,                      ,                         ,                      ,                 ,                   ,                     ,                             ,                 ,                       ,                       ,1                  ,                        ,                  ,                  ,                  ,                       ,                      ,                          ,                       ,                               ,                     ,                         ,                      ,                ,                ,                 ,            ,                  ,                      ,               ,                     ,              ,                 ,                      ,                ,                       ,              ,                    ,                           ,Total Diatom Count 48; Age Est 0.02Ma; Abundance 11.5 10^4/g; from 164SR.Ch 35.Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,164, 997,A,  1,H,CC,   0.00,      2.7500,Okada    ,Diatoms                                      ,               ,                  ,                         ,                   ,                      ,                       ,                     ,                     ,1                       ,                       ,2                          ,                  ,1                    ,                  ,7                  ,30             ,                      ,2              ,                        ,                          ,8                 ,1             ,                  ,1                     ,7                                ,               ,1                     ,                       ,                     ,1                   ,                        ,                     ,               ,                     ,               ,2                ,                 ,                ,               ,1                 ,                        ,                   ,                 ,                    ,                                       ,2                 ,                   ,                  ,                       ,              ,                    ,2                 ,                           ,                    ,                    ,                ,                     ,                     ,               ,1            ,                 ,                  ,                     ,1                  ,                           ,                ,                  ,                ,                       ,                  ,                    ,              ,                   ,                    ,                      ,                 ,                    ,                    ,                        ,                          ,                        ,                 ,                    ,                 ,                      ,              ,                      ,1                    ,                      ,                        ,                            ,                    ,              ,                        ,                      ,                         ,                      ,                 ,                   ,                     ,                             ,                 ,                       ,                       ,1                  ,                        ,                  ,                  ,                  ,                       ,                      ,                          ,                       ,                               ,                     ,                         ,                      ,                ,                ,                 ,            ,                  ,3                     ,               ,                     ,              ,                 ,                      ,                ,2                      ,              ,                    ,                           ,Total Diatom Count 71; Age Est 0.11Ma; Abundance 17.6 10^4/g; from 164SR.Ch 35.Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,164, 997,A,  2,H, 2, 114.00,      5.5400,Okada    ,Diatoms                                      ,               ,                  ,                         ,                   ,                      ,                       ,                     ,                     ,                        ,                       ,                           ,                  ,                     ,                  ,                   ,16             ,                      ,2              ,                        ,                          ,0                 ,              ,                  ,                      ,5                                ,               ,                      ,1                      ,                     ,                    ,                        ,                     ,               ,                     ,               ,                 ,                 ,                ,               ,                  ,                        ,2                  ,                 ,                    ,                                       ,                  ,                   ,                  ,                       ,              ,                    ,                  ,                           ,                    ,                    ,                ,                     ,                     ,               ,             ,                 ,                  ,                     ,                   ,                           ,                ,                  ,                ,                       ,                  ,                    ,              ,                   ,                    ,                      ,                 ,                    ,                    ,                        ,                          ,                        ,                 ,                    ,                 ,                      ,              ,                      ,                     ,                      ,                        ,                            ,                    ,              ,                        ,                      ,                         ,                      ,                 ,                   ,                     ,                             ,                 ,                       ,                       ,                   ,                        ,                  ,                  ,                  ,                       ,                      ,                          ,                       ,                               ,                     ,                         ,                      ,                ,                ,                 ,            ,                  ,                      ,               ,                     ,              ,                 ,                      ,                ,                       ,              ,                    ,                           ,Total Diatom Count 21; Age Est 0.22Ma; Abundance 5.12 10^4/g; from 164SR.Ch 35.Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,164, 997,A,  2,H, 4,  39.00,      7.7900,Okada    ,Diatoms                                      ,               ,                  ,                         ,                   ,                      ,3                      ,                     ,                     ,2                       ,                       ,1                          ,                  ,                     ,                  ,20                 ,47             ,                      ,               ,                        ,                          ,0                 ,              ,                  ,                      ,2                                ,               ,1                     ,1                      ,                     ,2                   ,                        ,                     ,               ,                     ,               ,                 ,                 ,                ,               ,                  ,                        ,                   ,                 ,                    ,                                       ,                  ,                   ,                  ,                       ,              ,                    ,                  ,                           ,                    ,                    ,                ,                     ,                     ,               ,             ,                 ,1                 ,                     ,                   ,                           ,                ,                  ,                ,                       ,                  ,                    ,              ,                   ,                    ,                      ,                 ,                    ,                    ,                        ,                          ,                        ,                 ,                    ,                 ,                      ,              ,                      ,                     ,                      ,                        ,                            ,                    ,              ,                        ,                      ,                         ,                      ,                 ,                   ,                     ,                             ,                 ,                       ,                       ,1                  ,                        ,                  ,                  ,                  ,                       ,                      ,                          ,                       ,                               ,                     ,                         ,                      ,                ,                ,                 ,            ,                  ,                      ,               ,                     ,              ,                 ,                      ,                ,                       ,              ,                    ,                           ,Total Diatom Count 78; Age Est 0.29Ma; Abundance 18.9 10^4/g; from 164SR.Ch 35.Table 1.
