Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina spp.,Unilocular species,Tosaia hanzawai,Siphotextularia catenata,Pullenia zaandamae,Pullenia sp.,Pullenia quinqueloba,Pullenia osloensis,Pleurostomella sp.,Oridorsalis umbonatus,Oridorsalis tenera,Nuttallides umbonifera,Nonionella sp.,Miliolid taxa,Melonis barleeanus,Ioanella tumidula,Gyroidinoides lamarckianus,Gyroidina umbonata,Gyroidina spp.,Gyroidina regularis,Globocassidulina subglobosa,Epistominella sp. A,Epistominella exigua,Cibicidoides mundulus,Cassidulina spp.,Bolivina spp.,Alabaminella weddellensis,Abditodentrix pseudothalmanni,Schackoinella sp.,Gyroidinoides neosoldanii,Gyroidina orbicularis,Cibicidoides wuellerstorfi,Cibicidoides kullenbergi,Cibicides  bradyi,Astrononion echolsi,Anomalinoides globulosus,Pyrgo sp.,Pyrgo murrhina,Cibicidoides robertsonianus,Laticarinina pauperata,Discorbinella bertheloti,Sphaeroidina bulloides,Melonis pompilioides,Uvigerina peregrina,Bulimina alazanensis,Stainforthia fusiformis,Bulimina sp. A,Pullenia bulloides,Uvigerina hispida,Bolivina pacifica,Uvigerina proboscidea,Miliolid taxa (thin-walled),Pseudoparrella sp.,Ehrenbergina sp.,Oridorsalis sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  1,H, 1,  80.00,      0.8000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,19                ,3              ,4                       ,                  ,9           ,                    ,3                 ,                  ,11                   ,4                 ,                      ,              ,2            ,                  ,                 ,                          ,                  ,              ,                   ,58                         ,                   ,8                   ,1                    ,1               ,             ,68                       ,                             ,                 ,                         ,                     ,6                         ,                        ,                 ,                   ,                        ,         ,1             ,                           ,                      ,                        ,                      ,                    ,                   ,                    ,2                      ,13            ,                  ,                 ,                 ,                     ,6                          ,1                 ,                ,3              ,other taxa = 9; total count = 234; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  1,H, 2,  80.00,      2.3000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,14                ,               ,2                       ,                  ,15          ,6                   ,14                ,                  ,15                   ,5                 ,3                     ,              ,3            ,                  ,6                ,1                         ,1                 ,              ,                   ,41                         ,                   ,10                  ,4                    ,5               ,             ,47                       ,                             ,                 ,                         ,2                    ,7                         ,                        ,1                ,                   ,                        ,2        ,1             ,                           ,                      ,                        ,                      ,1                   ,                   ,                    ,2                      ,8             ,                  ,                 ,                 ,                     ,1                          ,2                 ,                ,               ,other taxa = 6; total count = 225; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  1,H, 3,  29.00,      3.2900,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,34                ,1              ,                        ,                  ,6           ,9                   ,6                 ,                  ,3                    ,6                 ,                      ,              ,4            ,1                 ,                 ,                          ,                  ,              ,                   ,48                         ,                   ,12                  ,9                    ,5               ,2            ,35                       ,1                            ,                 ,1                        ,6                    ,2                         ,                        ,                 ,                   ,                        ,         ,              ,                           ,                      ,                        ,                      ,                    ,                   ,                    ,                       ,7             ,                  ,                 ,1                ,                     ,10                         ,                  ,                ,3              ,other taxa = 2; total count = 230; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  2,H, 1,  80.00,      4.8000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,14                ,1              ,                        ,                  ,3           ,6                   ,2                 ,                  ,17                   ,6                 ,9                     ,              ,2            ,                  ,7                ,                          ,3                 ,              ,                   ,49                         ,16                 ,29                  ,6                    ,1               ,             ,80                       ,                             ,2                ,                         ,                     ,                          ,                        ,                 ,                   ,                        ,2        ,3             ,1                          ,                      ,                        ,                      ,1                   ,2                  ,                    ,2                      ,7             ,                  ,                 ,                 ,                     ,1                          ,                  ,                ,               ,other taxa = 14; total count = 286; from Leg 154SR Ch 27 Table 1
