Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Globorotalia crassaformis,Globigerina bulloides,Neogloboquadrina pachyderma (dextral),Globorotalia inflata,Globigerina cf. bulloides,Globorotalia scitula,Truncorotalia truncatulinoides,Orbulina universa,Neogloboquadrina dutertrei,Globorotalia hexagonus,Globigerina apertura,Beella digitata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. truncatulinoides,              ,141, 862,A,  1,H, 1,  14.00,      0.1400,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,                                       ,                         ,C                    ,R                                    ,R                   ,                         ,R                   ,F                             ,R                ,R                         ,R                     ,R                   ,R              ,from ODP Leg 141 SR; Chapter 14; Table 9; p. 207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. truncatulinoides,              ,141, 862,A,  1,H, 1,  18.00,      0.1800,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,R                                      ,                         ,A                    ,                                     ,R                   ,R                        ,R                   ,R                             ,R                ,R                         ,R                     ,F                   ,R              ,from ODP Leg 141 SR; Chapter 14; Table 9; p. 207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. truncatulinoides,              ,141, 862,A,  1,H, 1,  62.00,      0.6200,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                                      ,                         ,                     ,R                                    ,                    ,R                        ,R                   ,                              ,                 ,                          ,                      ,                    ,               ,from ODP Leg 141 SR; Chapter 14; Table 9; p. 207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. truncatulinoides,              ,141, 862,A,  1,H, 1,  88.00,      0.8800,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,R                                      ,                         ,                     ,                                     ,                    ,                         ,                    ,                              ,                 ,                          ,                      ,                    ,               ,from ODP Leg 141 SR; Chapter 14; Table 9; p. 207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. truncatulinoides,              ,141, 862,A,  1,H, 1, 101.00,      1.0100,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                                      ,                         ,R                    ,R                                    ,R                   ,R                        ,                    ,R                             ,                 ,                          ,                      ,                    ,               ,from ODP Leg 141 SR; Chapter 14; Table 9; p. 207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 862,A,  1,H, 2,  73.00,      2.2300,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,F                                      ,                         ,                     ,F                                    ,                    ,R                        ,                    ,                              ,                 ,                          ,                      ,                    ,               ,from ODP Leg 141 SR; Chapter 14; Table 9; p. 207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
