Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ventilabrella multicamerata,Rugotruncana subcircumnodifer,Pseudotextularia nuttalli,Pseudoguembelina excolata,Pseudoguembelina costulata,Heterohelix rajagopalani,Globotruncanita stuartiformis,Globotruncanita stuarti,Globotruncanella havanensis,Globotruncana orientalis,Globotruncana mariei,Globotruncana linneiana,Globotruncana bulloides,Globotruncana arca,Globigerinelloides messinae,Gansserina wiedenmayeri,Gansserina gansseri,Contusotruncana walfischensis,Contusotruncana fornicata,Contusotruncana contusa,Rugoglobigerina rugosa,Rugoglobigerina hexacamerata,Heterohelix dentata,Globigerinelloides subcarinatus,Contusotruncana patelliformis,Heterohelix punctulata,Globotruncanita conica,Pseudotextularia elegans,Abathomphalus intermedius,Pseudoguembelina hariaensis,Globotruncanella petaloidea,Abathomphalus mayaroensis,Racemiguembelina fructicosa,Schackoina cenomana,Hedbergella monmouthensis,Hedbergella holmdelensis,Guembelitria cretacea,Woodringina hornerstownensis,Woodringina claytonensis,Praemurica pseudoinconstans,Parasubbotina pseudobulloides,Globanomalina planocompressa,Eoglobigerina eobulloides,Chiloguembelina morsei,Subbotina cancellata,Praemurica uncinata,Praemurica inconstans,Parasubbotina varianta,Morozovella conicotruncata,Morozovella acuta,Igorina pusilla,Morozovella velascoensis,Morozovella praeangulata,Morozovella pasionensis,Morozovella occlusa,Morozovella formosa,Morozovella angulata,Morozovella aequa,Igorina albeari,Acarinina soldadoensis,Acarinina mckannai,Acarinina nitida,Subbotina velascoensis,Morozovella subbotinae,Morozovella aragonensis,Morozovella caucasica,Globigerinatheka senni,Acarinina quetra,Acarinina pentacamerata,Igorina broedermanni,Globigerinatheka subconglobata,Catapsydrax dissimilis,Hantkenina sp.,Guembelitrioides higginsi,Globigerinatheka index,Acarinina bullbrooki,Turborotalia pomeroli,Subbotina gortanii,Globigerinatheka mexicana,Hantkenina alabamensis,Globigerina euapertura,Paragloborotalia pseudokugleri,Globorotaloides suteri,Globigerina angustiumbilicata,Catapsydrax unicavus,Sphaeroidinellopsis disjuncta,Praeorbulina sicana,Globorotalia zealandica,Globoquadrina venezuelana,Globoquadrina dehiscens,Globoquadrina binaiensis,Globigerinoides mitra,Sphaeroidinellopsis seminulina,Paragloborotalia mayeri,Orbulina universa,Globoturborotalita woodi,Globoturborotalita nepenthes,Globorotalia praemenardii,Globorotalia panda,Globorotalia miozea,Globorotalia menardii,Globorotalia lenguaensis,Globigerinoides trilobus,Globigerinoides sacculifer,Globigerinoides ruber,Globorotalia conoidea,Globigerinoides obliquus,Globigerinoides conglobatus,Globigerina bulloides,Dentoglobigerina altispira,Sphaeroidinella dehiscens s.l.,Globorotalia plesiotumida,Globorotalia merotumida,Globoconella conomiozea,Globorotalia tumida,Globorotalia conomiozea,Globigerinoides extremus,Globorotalia margaritae,Globigerinella aequilateralis,Truncorotalia crassaformis,Neogloboquadrina dutertrei,Globorotalia inflata,Globorotalia crassula,Truncorotalia truncatulinoides,Truncorotalia tosaensis,Pulleniatina obliquiloculata,Neogloboquadrina pachyderma (dextral),Globorotalia scitula,Pulleniatina primalis,Neogloboquadrina humerosa,Globorotalia hirsuta,Candeina nitida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,198,1209,B,  1,H,CC,  23.00,      5.1100,planks   ,Planktonic Foraminifers                      ,A              ,VG                ,                           ,                             ,                         ,                         ,                          ,                        ,                             ,                       ,                           ,                        ,                    ,                       ,                       ,                  ,                           ,                       ,                   ,                             ,                         ,                       ,                      ,                            ,                   ,                               ,                             ,                      ,                      ,                        ,                         ,                           ,                           ,                         ,                           ,                   ,                         ,                        ,                     ,                            ,                        ,                           ,                             ,                            ,                         ,                      ,                    ,                   ,                     ,                      ,                          ,                 ,               ,                        ,                        ,                       ,                   ,                   ,                    ,                 ,               ,                      ,                  ,                ,                      ,                      ,                       ,                     ,                      ,                ,                       ,                    ,                              ,                      ,              ,                         ,                      ,                    ,                     ,                  ,                         ,                      ,                      ,                              ,                      ,                             ,                    ,                             ,                   ,                       ,                         ,                       ,                        ,                     ,                              ,                       ,A                ,                        ,                            ,                         ,                  ,                   ,F                    ,                        ,F                       ,F                         ,F                    ,                     ,                        ,F                          ,F                    ,                          ,F                             ,                         ,                       ,                       ,F                  ,                       ,                        ,+                      ,F                            ,F                         ,F                         ,A                   ,                     ,                              ,                       ,F                           ,                                     ,                    ,F                    ,F                        ,F                   ,R              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,198,1209,B,  2,H,CC,  15.00,     14.8500,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                             ,                         ,                         ,                          ,                        ,                             ,                       ,                           ,                        ,                    ,                       ,                       ,                  ,                           ,                       ,                   ,                             ,                         ,                       ,                      ,                            ,                   ,                               ,                             ,                      ,                      ,                        ,                         ,                           ,                           ,                         ,                           ,                   ,                         ,                        ,                     ,                            ,                        ,                           ,                             ,                            ,                         ,                      ,                    ,                   ,                     ,                      ,                          ,                 ,               ,                        ,                        ,                       ,                   ,                   ,                    ,                 ,               ,                      ,                  ,                ,                      ,                      ,                       ,                     ,                      ,                ,                       ,                    ,                              ,                      ,              ,                         ,                      ,                    ,                     ,                  ,                         ,                      ,                      ,                              ,                      ,                             ,                    ,                             ,                   ,                       ,                         ,                       ,                        ,                     ,                              ,                       ,A                ,                        ,                            ,                         ,                  ,                   ,F                    ,                        ,F                       ,F                         ,F                    ,                     ,                        ,R                          ,F                    ,                          ,R                             ,                         ,                       ,                       ,F                  ,                       ,                        ,                       ,F                            ,F                         ,F                         ,F                   ,                     ,                              ,R                      ,F                           ,                                     ,                    ,F                    ,R                        ,                    ,               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,198,1209,B,  3,H,CC,  22.00,     24.5700,planks   ,Planktonic Foraminifers                      ,A              ,M                 ,                           ,                             ,                         ,                         ,                          ,                        ,                             ,                       ,                           ,                        ,                    ,                       ,                       ,                  ,                           ,                       ,                   ,                             ,                         ,                       ,                      ,                            ,                   ,                               ,                             ,                      ,                      ,                        ,                         ,                           ,                           ,                         ,                           ,                   ,                         ,                        ,                     ,                            ,                        ,                           ,                             ,                            ,                         ,                      ,                    ,                   ,                     ,                      ,                          ,                 ,               ,                        ,                        ,                       ,                   ,                   ,                    ,                 ,               ,                      ,                  ,                ,                      ,                      ,                       ,                     ,                      ,                ,                       ,                    ,                              ,                      ,              ,                         ,                      ,                    ,                     ,                  ,                         ,                      ,                      ,                              ,                      ,                             ,                    ,                             ,                   ,                       ,                         ,                       ,                        ,                     ,                              ,                       ,F                ,                        ,                            ,                         ,                  ,                   ,F                    ,                        ,F                       ,R                         ,F                    ,                     ,+                       ,F                          ,F                    ,                          ,F                             ,                         ,                       ,                       ,F                  ,                       ,                        ,                       ,+                            ,F                         ,F                         ,A                   ,                     ,F                             ,R                      ,F                           ,                                     ,R                   ,F                    ,R                        ,                    ,               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,N21               ,N21           ,198,1209,B,  4,H,CC,  19.00,     34.1200,planks   ,Planktonic Foraminifers                      ,A              ,M                 ,                           ,                             ,                         ,                         ,                          ,                        ,                             ,                       ,                           ,                        ,                    ,                       ,                       ,                  ,                           ,                       ,                   ,                             ,                         ,                       ,                      ,                            ,                   ,                               ,                             ,                      ,                      ,                        ,                         ,                           ,                           ,                         ,                           ,                   ,                         ,                        ,                     ,                            ,                        ,                           ,                             ,                            ,                         ,                      ,                    ,                   ,                     ,                      ,                          ,                 ,               ,                        ,                        ,                       ,                   ,                   ,                    ,                 ,               ,                      ,                  ,                ,                      ,                      ,                       ,                     ,                      ,                ,                       ,                    ,                              ,                      ,              ,                         ,                      ,                    ,                     ,                  ,                         ,                      ,                      ,                              ,                      ,                             ,                    ,                             ,                   ,                       ,                         ,                       ,                        ,                     ,                              ,                       ,F                ,                        ,                            ,                         ,                  ,                   ,R                    ,                        ,+                       ,F                         ,F                    ,                     ,R                       ,                           ,A                    ,                          ,F                             ,                         ,                       ,                       ,                   ,                       ,                        ,                       ,                             ,F                         ,F                         ,F                   ,F                    ,+                             ,R                      ,F                           ,F                                    ,R                   ,                     ,                         ,                    ,               ,       
