Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globigerina officinalis	Globigerina labiacrassata	Catapsydrax unicavus	Catapsydrax dissimilis	Tenuitellinata angustiumbilicata	Subbotina angiporoides	Chiloguembelina cubensis	Globorotaloides suteri	Globigerina praebulloides	Paragloborotalia nana	Globigerinita glutinata	Globigerina eamesi	Tenuitella gemma	Tenuitella munda	Globoturborotalita brazieri	Globigerinella obesa	Dentoglobigerina praedehiscens	Globoquadrina dehiscens	Globigerina quinqueloba	Globigerina ciperoensis	Turborotalia euapertura	Globoturborotalita woodi	Globoturborotalita connecta	Globigerina bulloides	Tenuitella minutissima	Globorotalia zealandica	Globorotalia praescitula	Globorotalia miozea	Globigerinoides trilobus	Praeorbulina curva	Paragloborotalia mayeri	Orbulina universa	Globorotalia scitula	Globorotalia peripheroronda	Globorotalia panda	Globigerina falconensis	Dentoglobigerina venezuelana	Paragloborotalia nympha	Paragloborotalia continuosa	Globoturborotalita decoraperta	Globorotalia conoidea	Globoturborotalita apertura	Globorotalia miotumida	Globorotalia juanai	Globigerinita uvula	Globorotalia inflata	Globorotalia explicationis	Globoturborotalita nepenthes	Globorotalia challengeri	Neogloboquadrina pachyderma (sinistral)	Globorotalia sphericomiozea	Neogloboquadrina pachyderma	Globorotalia pliozea	Globorotalia conomiozea	Globorotalia puncticuloides	Globorotalia puncticulata	Globorotalia crassaformis	Globorotalia triangula	Globigerinella aequilateralis	Neogloboquadrina humerosa	Globorotalia crassaconica	Globorotalia crassacarina	Globorotalia truncatulinoides	Globorotalia tosaensis	Globorotalia hirsuta	Globigerina umbilicata	Comment



  IR	                 	                 	                  	SN14          	189	1170	A	  1	H	CC	  18.00	      1.6400	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	                   	                        	                  	                       	                 	+                   	                           	                  	+                      	                            	                       	                           	                              	                     	                           	                      	                   	                   	+                   	                          	                            	                        	+                                      	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	+                            	                      	                    	+                     	       

  IR	                 	                 	                  	SN14          	189	1170	A	  2	H	CC	  11.00	     11.6700	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	                   	                        	                  	                       	+                	+                   	                           	                  	+                      	                            	                       	                           	                              	                     	                           	                      	                   	                   	+                   	                          	                            	                        	                                       	                           	+                          	                    	                       	                           	                         	+                        	                      	+                            	                         	+                        	                         	+                            	+                     	                    	+                     	Gr tosaensis present indicates lower part of zone

  IR	                 	                 	                  	SN14          	189	1170	A	  3	H	CC	  12.00	     20.7500	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	                   	                        	                  	                       	+                	+                   	                           	                  	+                      	                            	                       	                           	                              	                     	                           	                      	                   	+                  	+                   	                          	                            	                        	+                                      	                           	                           	                    	                       	+                          	                         	+                        	+                     	                             	+                        	+                        	                         	+                            	+                     	+                   	+                     	Gr tosaensis present indicates lower part of zone

  IR	                 	                 	                  	SN13          	189	1170	A	  4	H	CC	  18.00	     29.0700	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	                   	                        	                  	                       	+                	+                   	                           	                  	+                      	                            	                       	                           	                              	                     	                           	                      	                   	+                  	+                   	                          	                            	                        	+                                      	                           	                           	                    	                       	+                          	+                        	+                        	+                     	+                            	+                        	+                        	+                        	                             	                      	                    	                      	       
