Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Orbulina suturalis,Neogloboquadrina pachyderma,Neogloboquadrina incompta,Globorotaloides hexagona,Globorotalia pumilio,Globorotalia obesa,Globoquadrina altispira altispira,Globigerinoides sacculifer,Globigerinoides immaturus,Globigerinoides bollii,Globigerinita iota,Globigerinita glutinata,Globigerinella aequilateralis,Globigerina woodi,Globigerina quinqueloba,Globigerina falconensis,Globigerina decoraperta,Globigerina calida calida,Globigerina bulloides,Globoquadrina dehiscens,Globoquadrina altispira globosa,Globigerinoides obliquus obliquus,Globigerinita uvula,Neogloboquadrina dutertrei,Neogloboquadrina acostaensis,Globorotalia crassaformis oceanica,Globigerinoides ruber,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 684,C,  1,H,CC,   8.00,      7.9200,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                 ,                  ,A                          ,C                        ,F                       ,R                   ,F                 ,                                 ,                          ,                         ,                      ,C                 ,C                      ,                             ,                 ,                       ,A                      ,                       ,R                        ,A                    ,                       ,                               ,                                 ,                   ,F                         ,                            ,T                                 ,T                    ,from ODP Leg 112 SR Chapter 15 Table 6 p 249
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 684,C,  2,H,CC,  10.00,     17.8400,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                 ,                  ,A                          ,T                        ,                        ,                    ,                  ,                                 ,                          ,                         ,                      ,                  ,T                      ,                             ,                 ,                       ,T                      ,                       ,                         ,A                    ,                       ,                               ,                                 ,                   ,T                         ,T                           ,                                  ,                     ,from ODP Leg 112 SR Chapter 15 Table 6 p 249
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 684,C,  8,X,CC,  21.00,     60.6800,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                 ,T                 ,                           ,T                        ,                        ,A                   ,                  ,T                                ,                          ,T                        ,                      ,                  ,C                      ,                             ,                 ,                       ,T                      ,                       ,                         ,T                    ,T                      ,                               ,                                 ,                   ,                          ,                            ,                                  ,                     ,from ODP Leg 112 SR Chapter 15 Table 6 p 249
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 684,C,  9,X,CC,  22.00,     68.5700,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,T                ,T                 ,C                          ,C                        ,                        ,F                   ,                  ,                                 ,                          ,                         ,                      ,A                 ,A                      ,                             ,T                ,                       ,A                      ,A                      ,F                        ,A                    ,                       ,                               ,                                 ,T                  ,                          ,                            ,                                  ,                     ,from ODP Leg 112 SR Chapter 15 Table 6 p 249
