Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tenuitella gemma	Subbotina linaperta	Subbotina angiporoides	Globigerinatheka index	Chiloguembelina cubensis	Catapsydrax unicavus	Globigerina euapertura	Zeaglobigerina brazieri	Globigerina praebulloides	Globorotalia incognita	Globorotaloides suteri	Globoconella nana	Catapsydrax dissimilis	Globorotalia praescitula	Globoconella incognita	Globoconella zealandica	Globoconella praescitula	Globoconella miozea	Globigerinoides trilobus	Globigerina falconensis	Globigerina bulloides	Neogloboquadrina pachyderma	Neogloboquadrina pachyderma (sinistral)	Comment



  IR	Early Pliocene   	Pleistocene      	                  	NK7           	183	1139	A	  1	R	CC	  12.00	      7.7200	Coxall   	Planktonic Foraminifers                      	A              	VG                	                	                   	                      	                      	                        	                    	                      	                       	                         	                      	                      	                 	                      	                        	                      	                       	                        	                   	                        	                       	                     	                           	A                                      	Low diversity fauna but not dominated by any one taxon

  IR	Early Pliocene   	Pleistocene      	                  	NK7           	183	1139	A	  2	R	CC	  14.00	     15.8800	Coxall   	Planktonic Foraminifers                      	C              	VG                	                	                   	                      	                      	                        	                    	                      	                       	                         	                      	                      	                 	                      	                        	                      	                       	                        	                   	                        	                       	                     	                           	D                                      	Abundant radiolarians

  IR	                 	Middle Miocene   	NK5               	NK4           	183	1139	A	  3	R	CC	  14.00	     24.3800	Coxall   	Planktonic Foraminifers                      	C              	G                 	                	                   	                      	                      	                        	                    	                      	                       	                         	                      	                      	                 	                      	                        	                      	                       	+                       	+                  	                        	                       	+                    	-                          	                                       	       

  IR	                 	Middle Miocene   	                  	NK4           	183	1139	A	  4	R	CC	  27.00	     34.7700	Coxall   	Planktonic Foraminifers                      	A              	M                 	                	                   	                      	                      	                        	                    	                      	                       	                         	                      	                      	                 	                      	                        	                      	                       	F                       	F                  	+                       	+                      	+                    	                           	                                       	       

  IR	Middle Miocene   	Early Miocene    	NK4               	NK3           	183	1139	A	  5	R	CC	  20.00	     40.1600	Coxall   	Planktonic Foraminifers                      	R              	M                 	                	                   	                      	                      	                        	                    	                      	                       	                         	                      	                      	                 	                      	                        	                      	+                      	+                       	                   	                        	                       	                     	                           	                                       	This and subsequent CC samples contain only rare microfossils due to dilution by clay material.

  IR	                 	Early Miocene    	NK2               	NK2           	183	1139	A	  6	R	CC	  21.00	     49.1400	Coxall   	Planktonic Foraminifers                      	R              	M                 	                	                   	                      	                      	                        	+                   	-                     	                       	                         	                      	                      	                 	                      	                        	+                     	                       	                        	                   	                        	                       	                     	                           	                                       	       

  IR	                 	Early Miocene    	                  	NK2           	183	1139	A	  7	R	CC	  22.00	     61.5500	Coxall   	Planktonic Foraminifers                      	F              	M                 	                	                   	                      	                      	                        	                    	                      	+                      	                         	+                     	+                     	                 	                      	-                       	                      	                       	                        	                   	                        	                       	                     	                           	                                       	       

  IR	                 	Early Miocene    	                  	NK1           	183	1139	A	  9	R	CC	  38.00	     81.5300	Coxall   	Planktonic Foraminifers                      	F              	M                 	                	                   	                      	                      	                        	                    	                      	+                      	                         	                      	+                     	+                	+                     	                        	                      	                       	                        	                   	                        	                       	                     	                           	                                       	       

  IR	                 	Early Miocene    	                  	NK1           	183	1139	A	 10	R	CC	  14.00	     87.7800	Coxall   	Planktonic Foraminifers                      	R              	G                 	                	                   	                      	                      	                        	                    	                      	+                      	                         	-A                    	                      	                 	                      	                        	                      	                       	                        	                   	                        	                       	                     	                           	                                       	       

  IR	                 	Late Oligocene   	                  	              	183	1139	A	 19	R	CC	   0.00	    179.7500	Coxall   	Planktonic Foraminifers                      	R              	M                 	                	                   	                      	                      	                        	                    	                      	+                      	+                        	                      	                      	                 	                      	                        	                      	                       	                        	                   	                        	                       	                     	                           	                                       	Lacking age diagnostic fossils.

  IR	                 	Early Oligocene  	                  	              	183	1139	A	 34	R	CC	   0.00	    325.8400	Coxall   	Planktonic Foraminifers                      	R              	M                 	                	                   	+                     	-                     	+                       	                    	+                     	                       	                         	                      	                      	                 	                      	                        	                      	                       	                        	                   	                        	                       	                     	                           	                                       	       

  IR	                 	Early Oligocene  	                  	              	183	1139	A	 40	R	CC	  15.00	    382.3700	Coxall   	Planktonic Foraminifers                      	A              	G                 	+               	F                  	A                     	-                     	A                       	+                   	                      	                       	                         	                      	                      	                 	                      	                        	                      	                       	                        	                   	                        	                       	                     	                           	                                       	Pink stained sediment. Carbonate content high. Zone AP13

