Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Coccolithus pelagicus,Gephyrocapsa Group 1,Braarudosphaera bigelowii,Gephyrocapsa Group 3,Gephyrocapsa oceanica,Helicosphaera wallichii,Syracosphaera pulchra,Gephyrocapsa caribbeanica,Emiliania pujosae,Emiliania huxleyi,Reticulofenestra sp.,Gephyrocapsa Group 2,Crenalithus doronicoides,Syracosphaera sp.,Umbellosphaera tenuis,Gephyrocapsa Group 4,Calcidiscus leptoporus,Pontosphaera japonica,Coccolithus crassipons,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 856,A,  1,H, 1,   0.00,      0.0000,Brunner  ,Nannofossils                                 ,C              ,M                 ,R                    ,                    ,                         ,                    ,R                    ,                       ,                     ,C                        ,                 ,F                ,                    ,                    ,                        ,                 ,                     ,                    ,F                     ,                     ,                      ,from ODP Leg 139 IR; Ch 6; Tables 4 & 7; pp. 181 & 188
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,NN21B             ,              ,139, 856,A,  1,H, 1, 137.00,      1.3700,Mao      ,Nannofossils                                 ,A              ,M                 ,C                    ,C                   ,                         ,                    ,                     ,                       ,                     ,                         ,F                ,C                ,                    ,F                   ,                        ,                 ,                     ,                    ,                      ,                     ,R                     ,from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,NN21B             ,              ,139, 856,A,  1,H, 2,  69.00,      2.1900,Mao      ,Nannofossils                                 ,C              ,M                 ,C                    ,C                   ,R                        ,                    ,                     ,                       ,                     ,                         ,F                ,C                ,                    ,R                   ,                        ,                 ,                     ,                    ,                      ,R                    ,R                     ,from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 856,A,  1,H,CC,  16.00,      2.4800,Brunner  ,Nannofossils                                 ,C              ,P                 ,C                    ,                    ,R                        ,                    ,                     ,                       ,                     ,C                        ,R                ,F                ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,R                    ,                      ,from ODP Leg 139 IR; Ch 6; Tables 4 & 7; pp. 181 & 188
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21B             ,              ,139, 856,A,  2,H, 1,  52.00,      3.2200,Mao      ,Nannofossils                                 ,A              ,P                 ,F                    ,A                   ,R                        ,                    ,                     ,                       ,                     ,                         ,                 ,F                ,                    ,R                   ,F                       ,                 ,                     ,                    ,R                     ,                     ,                      ,from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
