Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra pseudoumbilicus	Discoaster exilis	Discoaster bollii	Sphenolithus spp.	Minylitha convallis	Coccolithus pelagicus	Calcidiscus leptoporus	Calcidiscus macintyrei (>11 um)	Amaurolithus spp.	Helicosphaera carteri	Discoaster pentaradiatus	Discoaster brouweri	Discoaster surculus	Pseudoemiliania lacunosa	Discoaster tamalis	Discoaster asymmetricus	Helicosphaera sellii	Gephyrocapsa (small)	Gephyrocapsa oceanica s.l.	Comment



  IR	                 	                 	CN14a             	              	167	1021	B	  2	H	 7	  23.00	     17.2300	Fornaciari	Nannofossils                                 	A              	G                 	                                	                 	                 	                 	                   	                     	+                     	                               	                 	                     	                        	                   	                   	C                       	                  	                       	                    	A                   	C                         	from IR. Ch 15. Table 4.

  IR	                 	                 	CN14a             	              	167	1021	B	  2	H	CC	  16.00	     17.8600	Fornaciari	Nannofossils                                 	A              	G                 	                                	                 	                 	                 	                   	F                    	                      	                               	                 	R                    	                        	                   	                   	F/C                     	                  	                       	                    	A                   	R/F                       	from IR. Ch 15. Table 4.

  IR	                 	                 	CN14a             	              	167	1021	B	  3	H	 1	  22.00	     17.7200	Fornaciari	Nannofossils                                 	C/A            	G                 	                                	                 	                 	                 	                   	F                    	R                     	                               	                 	                     	                        	                   	                   	R                       	                  	                       	                    	A                   	C                         	from IR. Ch 15. Table 4.

  IR	                 	                 	CN13b             	CN14a         	167	1021	B	  3	H	CC	  13.00	     27.3100	Fornaciari	Nannofossils                                 	F              	P/M               	                                	                 	                 	                 	                   	                     	C                     	                               	                 	                     	                        	                   	                   	C                       	                  	                       	                    	+                   	                          	from IR. Ch 15. Table 4.

  IR	                 	                 	CN13b             	              	167	1021	B	  4	H	CC	  34.00	     36.8300	Fornaciari	Nannofossils                                 	RR             	P                 	                                	                 	                 	                 	                   	                     	                      	                               	                 	                     	                        	                   	                   	                        	                  	                       	                    	R                   	                          	questionable zonal assignment. from IR. Ch 15. Table 4.

  IR	                 	                 	CN12              	CN13a         	167	1021	B	  6	H	CC	  38.00	     55.9400	Fornaciari	Nannofossils                                 	C/A            	P/M               	                                	                 	                 	                 	                   	                     	C                     	R                              	                 	R                    	                        	                   	                   	+                       	                  	                       	R                   	                    	                          	from IR. Ch 15. Table 4.

  IR	                 	                 	CN12              	CN13a         	167	1021	B	  7	H	CC	  21.00	     65.5300	Fornaciari	Nannofossils                                 	A              	M                 	                                	                 	                 	                 	                   	F                    	F/C                   	                               	                 	                     	                        	                   	                   	C                       	                  	                       	                    	                    	                          	from IR. Ch 15. Table 4.

  IR	                 	                 	CN12              	CN13a         	167	1021	B	  8	H	CC	  20.00	     75.0600	Fornaciari	Nannofossils                                 	F/C            	P/M               	                                	                 	                 	                 	                   	R                    	C                     	                               	                 	                     	                        	                   	                   	+                       	                  	                       	                    	                    	                          	from IR. Ch 15. Table 4.

