Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Paranesidea sp.,Legitimocythere acanthoderma,Henryhowella melobesioides,Buntonia cf. rosenfeldi,Argillocea? sp.,gen. 1 sp.,Parakrithe sp.,Bradleya dictyon,Poseidonamicus major,Krithe sp.,Buntonia mackenziei,Agrenocythere hazelae,Xestoleberis abyssoris,Agrenocythere? sp.,Pseudobosquetina mucronalatum,Cytherella serratula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14              ,              ,159, 960,C,  1,H, 3,  68.00,      3.6800,Guernet  ,Ostracodes                                   ,               ,                  ,               ,                            ,+                         ,                       ,               ,          ,              ,                ,                    ,+         ,+                  ,                     ,                      ,                  ,                             ,+                   ,Identified valves = 4. Total valves = 4. From Leg 159SR Ch 38 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14              ,              ,159, 960,C,  2,H, 3,  64.00,      9.8400,Guernet  ,Ostracodes                                   ,               ,                  ,               ,                            ,                          ,                       ,               ,          ,              ,                ,                    ,+         ,                   ,                     ,                      ,                  ,?                            ,+                   ,Identified valves = 3. Total valves = 4. From Leg 159SR Ch 38 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN12              ,              ,159, 960,C,  3,H, 3,  70.00,     19.4000,Guernet  ,Ostracodes                                   ,               ,                  ,               ,+                           ,                          ,                       ,               ,          ,              ,                ,                    ,+         ,                   ,                     ,                      ,                  ,                             ,                    ,Identified valves = 3. Total valves = 3. From Leg 159SR Ch 38 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN12              ,              ,159, 960,C,  4,H, 3,  69.00,     28.8900,Guernet  ,Ostracodes                                   ,               ,                  ,+              ,+                           ,                          ,                       ,               ,          ,              ,                ,                    ,+         ,                   ,                     ,                      ,                  ,                             ,                    ,Identified valves = 4. Total valves = 4. From Leg 159SR Ch 38 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN11              ,              ,159, 960,C,  5,H, 3,  70.00,     38.4000,Guernet  ,Ostracodes                                   ,               ,                  ,               ,                            ,                          ,                       ,               ,          ,+             ,+               ,                    ,+         ,+                  ,                     ,+                     ,                  ,                             ,                    ,Identified valves = 11. Total valves = 11. From Leg 159SR Ch 38 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN11              ,              ,159, 960,C,  6,H, 3,  70.00,     47.9000,Guernet  ,Ostracodes                                   ,               ,                  ,+              ,                            ,                          ,                       ,               ,          ,+             ,                ,                    ,+         ,                   ,                     ,+                     ,+                 ,                             ,                    ,Identified valves = 7. Total valves = 7. From Leg 159SR Ch 38 Table 3
