Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeaglobigerina woodi,Sphaeroidinellopsis subdehiscens,Sphaeroidinellopsis seminulina,Paragloborotalia siakensis,Paragloborotalia mayeri,Orbulina universa,Globorotaloides hexagonus,Globorotalia scitula,Globorotalia praescitula,Globorotalia praemenardii,Globorotalia birnageae,Globorotalia archeomenardii,Globoquadrina dehiscens,Globigerinoides trilobus,Globigerinoides ruber,Globigerinoides obliquus,Globigerinella obesa,Globigerina venezuelana,Globigerina falconensis,Fohsella praefohsi,Fohsella peripheroacuta,Fohsella fohsi,Dentoglobigerina larmeui,Dentoglobigerina baroemoenensis,Dentoglobigerina altispira,Globigerinoides sacculifer,Globorotalia lenguaensis,G. bulbosa,Fohsella fohsi lobata,Globigerina bulloides,Fohsella fohsi robusta,Sphaeroidinellopsis kochi,Cassigerinella chipolensis,Neogloboquadrina pachyderma,Zeaglobigerina nepenthes,Zeaglobigerina decoraperta,Streptochilus spp.,Globorotalia menardii,Pulleniatina primalis,Polyperibola  christiani,Globorotalia sphericomiozea,Neogloboquadrina acostaensis (sinistral),Globigerinella siphonifera,Neogloboquadrina humerosa,Neogloboquadrina acostaensis (dextral),Globorotalia merotumida,Triserial heterohelicids,Globorotalia plesiotumida,Globigerinoides extremus,Globorotalia mediterranea,Globorotalia suterae,Candeina nitida,Globorotalia cibaoensis,Globorotalia juanai,Globorotalia conomiozea,Globorotalia margaritae,Zeaglobigerina microstoma,Globigerinoides conglobatus,Neogloboquadrina humerosa/N. dutertrei,Globigerinoides seigliei,Sphaeroidinellopsis subdehiscens/S. dehiscens,Globorotalia plesiotumida/G. tumida,Globorotalia tumida,Globorotalia aemiliana,Globorotalia pseudopima,Globigerina sp. A,Globorotalia crassaformis,Neogloboquadrina dutertrei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 36,X, 1,  81.00,    322.3100,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,-                               ,+                             ,-                         ,-                      ,+                ,-                        ,-                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,VR                   ,+                       ,-                   ,-                      ,+                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,-                       ,-         ,-                    ,-                    ,-                     ,-                        ,-                         ,+                          ,+                       ,+                         ,-                 ,+                    ,-                    ,-                       ,-                          ,-                                       ,+                         ,+                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,-                   ,-              ,-                      ,-                  ,-                      ,+                      ,-                        ,+                          ,+                                     ,-                       ,-                                            ,-                                  ,cf                 ,-                     ,+                      ,-                ,-                        ,-                         ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 36,X, 2,  81.00,    323.8100,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,+                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,-                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,VR                   ,+                       ,-                   ,+                      ,+                      ,-                 ,-                      ,-             ,-                       ,-                              ,-                         ,+                         ,-                       ,-         ,-                    ,-                    ,-                     ,-                        ,-                         ,-                          ,+                       ,+                         ,-                 ,+                    ,-                    ,-                       ,-                          ,+                                       ,-                         ,-                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,-                   ,-              ,-                      ,-                  ,-                      ,+                      ,-                        ,-                          ,-                                     ,-                       ,-                                            ,-                                  ,cf                 ,-                     ,-                      ,-                ,-                        ,+                         ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 36,X, 3,  81.00,    325.3100,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,+                   ,-                               ,+                             ,-                         ,-                      ,+                ,-                        ,-                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,-                    ,-                       ,-                   ,-                      ,-                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,-                       ,-         ,-                    ,-                    ,-                     ,-                        ,-                         ,-                          ,-                       ,+                         ,R                 ,-                    ,-                    ,-                       ,-                          ,-                                       ,+                         ,-                        ,+                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,-                   ,+              ,-                      ,-                  ,-                      ,+                      ,-                        ,+                          ,-                                     ,-                       ,-                                            ,-                                  ,cf                 ,-                     ,-                      ,-                ,-                        ,+                         ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 36,X, 4,  81.00,    326.8100,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,+                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,-                    ,+                       ,-                   ,-                      ,-                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,-                       ,-         ,-                    ,-                    ,-                     ,+                        ,-                         ,+                          ,+                       ,+                         ,-                 ,+                    ,+                    ,-                       ,-                          ,-                                       ,-                         ,-                        ,+                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,-                   ,-              ,-                      ,-                  ,-                      ,C                      ,-                        ,-                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,-                     ,-                      ,-                ,-                        ,+                         ,Rare reworked specimens. from 166SR.Ch 15.Table 1
