Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (sinistral)	Turborotalita quinqueloba	Globigerinita uvula uvula	Globigerinita uvula minuta	Globigerina bulloides umbilicata	Globigerina bulloides	Neogloboquadrina pachyderma (dextral)	Globorotalia scitula	Globigerinita glutinata	Globigerina clarkei	Orbulina universa	Comment



  IR	                 	Holocene         	                  	CD1           	169	1035	E	  1	H	 1	   0.00	      0.0000	Brunner  	Planktonic Foraminifers                      	F              	                  	R                                      	R                        	                         	                          	                                	R                    	R                                    	                    	                       	                   	R                	Assemblage of agglutinated benthonic foraminifers with abundant radiolarians, sponge spicules, diatoms, mineral grains, and orange stain.

  IR	                 	Holocene         	                  	CD1           	169	1035	E	  1	H	 1	  11.00	      0.1100	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                                      	C                        	R                        	F                         	                                	C                    	F                                    	R                   	F                      	                   	                 	Dominated by planktonic foraminifers,  few benthonic foraminifers, trace of radiolarians and siliceous urchin spines.

  IR	                 	Holocene         	                  	CD1           	169	1035	E	  1	H	 1	  39.00	      0.3900	Brunner  	Planktonic Foraminifers                      	A              	M                 	C                                      	F                        	R                        	F                         	F                               	C                    	F                                    	F                   	F                      	F                  	                 	Dominated by planktonic foraminifers with few benthonic foraminifers (shelf) and mineral grains, trace of radiolarians, framboidal pyrite,

  IR	                 	Holocene         	                  	CD1           	169	1035	E	  1	H	 1	  69.00	      0.6900	Brunner  	Planktonic Foraminifers                      	F              	P                 	C                                      	C                        	R                        	R                         	                                	C                    	R                                    	                    	R                      	                   	                 	Few planktonic and benthonic foraminifers, a few agglutinated fragments, 1 right coiling N. pachyderma, rare diatoms, radiolarians and mineral grains which are mostly mica.

  IR	                 	Pleistocene      	                  	CD2           	169	1035	E	  1	H	 2	   0.00	      1.5000	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                                      	C                        	F                        	C                         	F                               	C                    	                                     	R                   	R                      	                   	                 	Dominated by planktonic foraminifers

  IR	                 	Pleistocene      	                  	CD2           	169	1035	E	  1	H	 3	   0.00	      3.0000	Brunner  	Planktonic Foraminifers                      	F              	M                 	C                                      	                         	F                        	C                         	                                	C                    	                                     	                    	R                      	                   	                 	Mineral grains dominate (quartz, mica, framboidal pyrite) with few planktonic foraminifers and rare benthonic foraminifers, which are comprised of Nonionella stella from the shelf

  IR	                 	Pleistocene      	                  	CD2           	169	1035	E	  1	H	 4	   0.00	      4.5000	Brunner  	Planktonic Foraminifers                      	F              	M                 	C                                      	R                        	                         	R                         	                                	C                    	                                     	R                   	                       	                   	                 	Sulfides such as pyrrhotite dominate with few planktonic foraminifers

  IR	                 	Pleistocene      	                  	CD2           	169	1035	E	  1	H	 5	   0.00	      6.0000	Brunner  	Planktonic Foraminifers                      	C              	M                 	C                                      	F                        	R                        	F                         	                                	C                    	                                     	                    	R                      	                   	                 	Dominated by planktonic foraminifers with minor sulfides and a trace of radiolarians

  IR	                 	Pleistocene      	                  	CD2           	169	1035	E	  1	H	CC	  18.00	      7.4400	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                                      	C                        	R                        	R                         	F                               	C                    	                                     	                    	F                      	                   	                 	Planktonic foraminifers dominate the sample. Minor mineral grains and sulfides, including a few pieces of pyrrhotite.

  IR	                 	Holocene         	                  	CD1           	169	1035	E	  2	H	 1	   6.00	      7.5600	Brunner  	Planktonic Foraminifers                      	A              	M                 	C                                      	C                        	F                        	C                         	F                               	C                    	R                                    	F                   	R                      	F                  	                 	Planktonic foraminifers dominate, benthonic foraminifers, radiolarians, diatoms, brown organic bits

  IR	                 	Pleistocene      	                  	CD2           	169	1035	E	  2	H	CC	  25.00	     17.5600	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                                      	R                        	F                        	C                         	R                               	C                    	                                     	                    	                       	                   	                 	Dominated by planktonic foraminifers with minor benthonic foraminifers

  IR	                 	                 	                  	              	169	1035	E	  3	H	CC	  36.00	     26.8800	Brunner  	Planktonic Foraminifers                      	R              	P                 	R                                      	                         	                         	                          	                                	                     	                                     	                    	                       	                   	                 	Agglutinated benthonic foraminifers, one planktonic foraminifer, funny white crystalline blobs, mineral grains

