Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Heterohelix planata	Heterohelix globulosa	Hedbergella aff. monmouthensis	Globigerinelloides sp. 1	Globigerinelloides multispinus	Rugoglobigerina reicheli	Hedbergella sliteri	Archaeoglobigerina australis	Hastigerinoides digitata	Guembelitria cretacea	Gublerina sp.	Globotruncanella citae	Globigerinelloides subcarinatus	Archaeoglobigerina aff. blowi	Rugotruncana circumnodifer	Marginotruncana stephensoni	Heterohelix semicostata	Biglobigerinella sp.	Racemiguembelina fructicosa	Abathomphalus intermedius	Rugotruncana subpennyi	Marginotruncana globigerinoides	Rugotruncana aff. subpennyi	Globotruncanid (indeterminant taxon or taxa)	Globigerinelloides impensus	Archaeoglobigerina bosquensis	Rugoglobigerina aff. rugosa	Abathomphalus mayaroensis	Globigerinelloides prairiehillensis	Heterohelix reussi	Contusotruncana fornicata	Heterohelix dentata	Hedbergella holmdelensis	Schackoina sp.	Hedbergella sp. 1	Rugoglobigerina sp. 1	Globotruncanella petaloidea	Pseudotextularia deformis	Rugogolobigerina pustulata	Rugoglobigerina rugosa	Rugoglobigerina macrocephala	Praeglobotruncana havanensis	Heterohelix sp. 2	Heterohelix sp. 1	Hedbergella monmouthensis	Globigerinelloides messinae	Subbotina trivialis	Globanomalina archeocompressa	Eoglobigerina eobulloides	Chiloguembelina morsei	Guembelitria trifolia	Paragloborotalia taurica	Paragloborotalia pseudobulloides	Globoconusa daubjergensis	Globanomalina planocompressa	Guembelitria sp.	Eoglobigerina edita	Woodringina hornerstownensis	Woodringina claytonensis	Comment



  SR	Early Paleocene  	                 	P1a               	              	120	 750	A	 15	R	 2	  88.00	    348.4800	Zachos   	Planktonic Foraminifers                      	               	                  	                   	                     	                              	                        	                              	                        	                   	                            	                        	                     	             	                      	                               	                             	                          	                           	                       	                    	                           	                         	                      	                               	                           	                                            	                           	                             	                           	                         	                                   	                  	                         	                   	                        	              	                 	                     	                           	                         	                          	                      	                            	                            	                 	                 	                         	                           	+                  	                             	                         	+                     	                     	+                       	+                               	+                        	+                           	                	+                  	                            	                        	from ODP Leg 120 SR Vol 2 Chapter 54 Fig 6 p 969

  SR	Early Paleocene  	                 	P1a               	              	120	 750	A	 15	R	 2	 108.00	    348.6800	Zachos   	Planktonic Foraminifers                      	               	                  	                   	                     	                              	                        	                              	                        	                   	                            	                        	                     	             	                      	                               	                             	                          	                           	                       	                    	                           	                         	                      	                               	                           	                                            	                           	                             	                           	                         	                                   	                  	                         	                   	                        	              	                 	                     	                           	                         	                          	                      	                            	                            	                 	                 	                         	                           	+                  	                             	                         	                      	                     	+                       	+                               	+                        	+                           	                	+                  	                            	                        	from ODP Leg 120 SR Vol 2 Chapter 54 Fig 6 p 969

  SR	Early Paleocene  	                 	P1a               	              	120	 750	A	 15	R	 2	 128.00	    348.8800	Zachos   	Planktonic Foraminifers                      	               	                  	                   	                     	                              	                        	                              	                        	                   	                            	                        	                     	             	                      	                               	                             	                          	                           	                       	                    	                           	                         	                      	                               	                           	                                            	                           	                             	                           	                         	                                   	                  	                         	                   	                        	              	                 	                     	                           	                         	                          	                      	                            	                            	                 	                 	                         	                           	+                  	                             	                         	                      	                     	+                       	+                               	+                        	+                           	                	+                  	                            	                        	from ODP Leg 120 SR Vol 2 Chapter 54 Fig 6 p 969

  SR	Early Paleocene  	                 	P1a               	              	120	 750	A	 15	R	 3	   2.00	    349.1200	Zachos   	Planktonic Foraminifers                      	               	                  	                   	                     	                              	                        	                              	                        	                   	                            	                        	                     	             	                      	                               	                             	                          	                           	                       	                    	                           	                         	                      	                               	                           	                                            	                           	                             	                           	                         	                                   	                  	                         	                   	                        	              	                 	                     	                           	                         	                          	                      	                            	                            	                 	                 	                         	                           	+                  	                             	                         	+                     	                     	+                       	+                               	+                        	+                           	                	+                  	+                           	+                       	from ODP Leg 120 SR Vol 2 Chapter 54 Fig 6 p 969
