Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Toweius sp.	Toweius pertusus	Sphenolithus moriformis	Prinsius martinii	Prinsius bisulcus	Placozygus sigmoides	Neochiastozygus perfectus	Ericsonia subpertusa	Ericsonia cava	Cruciplacolithus tenuis	Cruciplacolithus sp.	Coccolithus pelagicus	Chiasmolithus danicus	Chiasmolithus bidens	Prinsius dimorphosus	Micula sp.	Fasciculithus stonehengei	Fasciculithus pileatus	Neochiastozygus primitivus	Neochiastozygus modestus	Sphenolithus anarrhopus	Neococcolithes protenus	Neochiastozygus saepes	Fasciculithus ulii	Fasciculithus tympaniformis	Coronocyclus nitescens	Chiasmolithus consuetus	Fasciculithus involutus	Ericsonia robusta	Ellipsolithus bollii	Cruciplacolithus frequens	Heliolithus kleinpellii	Heliolithus cantabriae	Cruciplacolithus asymmetricus	Toweius eminens	Neocrepidolithus sp.	Neocrepidolithus bukryi	Fasciculithus billii	Ellipsolithus distichus	Cruciplacolithus latipons	Chiasmolithus californicus	Neochiastozygus distentus	Neochiastozygus chiastus	Ellipsolithus macellus	Markalius inversus	Discoaster mohleri	Neocrepidolithus biskayae	Campylosphaera eodela	Thoracosphaera operculata	Zygodiscus bramlettei	Zygodiscus adamas	Neochiastozygus concinnus	Discoaster sp.	Discoaster nobilis	Neochiastozygus cearae	Ericsonia cf. E. robusta	Discoaster multiradiatus	Chiasmolithus solitus	Fasciculithus lillianae	Discoaster okadai	Fasciculithus tonii	Neochiastozygus junctus	Discoaster lenticularis	Heliolithus riedelii	Fasciculithus bobii	Campylosphaera dela	Lophodolithus nascens	Fasciculithus alanii	Fasciculithus schaubii	Fasciculithus aubertae	Fasciculithus richardii	Pontosphaera sp.	Pedinocyclus "prelarvalis"	Pontosphaera scissura	Ellipsolithus sp. 	Fasciculithus thomasii	Chiasmolithus eograndis	Toweius occultatus	Zygrhablithus bijugatus	Tribrachiatus brammlettei	Discoaster salisburgensis	Pedinocyclus larvalis	Tribrachiatus contortus?	Toweius callosus	Discoaster barbadiensis	Sphenolithus editus	Discoaster binodosus	Tribrachiatus orthostylus	Sphenolithus conspicuus	Discoaster boulangeri	Chiasmolithus titus	Sphenolithus radians	Calcidiscus protoannulus	Ericsonia formosa	Discoaster lodoensis	Discoaster kuepperi	Discoaster falcatus	Striatococcolithus pacificanus	Reticulofenestra dictyoda	Chiasmolithus mutatus	Neococcolithes dubius	Cruciplacolithus cribellum	Ellipsolithus lajollaensis	Lophodolithus mochlophorus	Helicosphaera seminulum	Coccolithus crassus	Discoaster deflandrei	Chiasmolithus nitidus	Braarudosphaera bigelowii	Toweius gammation	Birkelundia staurion	Nannotetrina sp. 	Helicosphaera lophota	Discoaster sublodoensis	Chiasmolithus grandis	Discoaster "presaipanensis"	Discoaster strictus	Triquetrorhabdulus inversus	Ericsonia insolita	Helicosphaera papillata	Cyclicargolithus spp.	Chiasmolithus expansus	Rhabdosphaera inflata	Discoaster saipanensis	Sphenolithus stellatus	Sphenolithus spiniger	Sphenolithus orphanknollensis	Nannotetrina fulgens	Sphenolithus "spinatus"	Lophodolithus rotundus	Discoaster "prenodifer"	Cruciplacolithus vanheckae	Chiasmolithus gigas	Sphenolithus furcatolithoides	Reticulofenestra "grandis"	Chiasmolithus medius	Discoaster "pretanii"	Bramletteius serraculoides	Helicosphaera dinesenii	Ericsonia obruta	Reticulofenestra umbilica	Sphenolithus pseudoradians	Helicosphaera heezenii	Sphenolithus obtusus	Dictyococcites scrippsae	Dictyococcites bisectus	Reticulofenestra reticulata	Reticulofenestra hillae	Discoaster tanii	Discoaster nodifer	Chiasmolithus oamaruensis	Sphenolithus predistentus	Helicosphaera reticulata	Ericsonia subdisticha	Comment



  SR	Early Oligocene  	                 	CP16              	              	143	 865	B	  2	H	 5	 115.00	     15.6500	Bralower 	Nannofossils                                 	               	                  	           	                	C                      	                 	                 	                    	                         	R                   	R             	                       	                    	F                    	                     	                    	                    	          	                         	                      	                          	                        	                       	                       	                      	                  	                           	                      	                       	                       	                 	                    	                         	                       	                      	                             	               	                    	                       	                    	                       	                         	                          	                         	                        	                      	                  	                  	                         	                     	                         	                     	                 	                         	              	                  	                      	                        	                        	                     	                       	                 	                   	                       	                       	                    	                   	                   	                     	                    	                      	                      	                       	                	                          	                     	                  	                      	                       	                  	R                      	                         	                         	                     	                        	                	                       	                   	                    	                         	                       	                     	                   	                    	                        	R                	                    	                   	                   	                              	R                        	                     	                     	                          	                          	                          	                       	                   	R                    	                     	                         	                 	                    	                 	                     	                       	                     	                           	                   	                           	                  	                       	C                    	                      	                     	                      	                      	                     	                             	                    	                       	                      	R                      	                          	                   	                             	                          	                    	                     	R                         	                       	                	R                        	                          	                      	                    	F                       	F                      	                           	                       	                	R                 	                         	R                        	                        	R                    	from 143 SR; Chapter 3; Table 1

  SR	Early Oligocene  	                 	CP16              	              	143	 865	B	  2	H	 6	  40.00	     16.4000	Bralower 	Nannofossils                                 	               	                  	           	                	A                      	                 	                 	                    	                         	F                   	R             	                       	                    	F                    	                     	                    	                    	          	                         	                      	                          	                        	                       	                       	                      	                  	                           	                      	                       	                       	                 	                    	                         	                       	                      	                             	               	                    	                       	                    	                       	                         	                          	                         	                        	                      	                  	                  	                         	                     	                         	                     	                 	                         	R             	                  	                      	                        	                        	                     	                       	                 	                   	                       	                       	                    	                   	                   	                     	                    	                      	                      	                       	                	                          	                     	                  	                      	                       	                  	F                      	                         	                         	                     	                        	                	                       	                   	                    	                         	                       	                     	                   	                    	                        	C                	                    	                   	                   	                              	R                        	                     	                     	                          	                          	                          	                       	                   	R                    	                     	                         	                 	                    	                 	                     	                       	                     	                           	                   	                           	                  	                       	C                    	                      	                     	                      	                      	                     	                             	                    	                       	                      	R                      	                          	                   	                             	                          	                    	R                    	F                         	                       	                	R                        	                          	                      	                    	C                       	A                      	                           	R                      	F               	R                 	                         	C                        	                        	R                    	from 143 SR; Chapter 3; Table 1

  SR	Early Oligocene  	                 	CP16              	              	143	 865	B	  2	H	CC	  18.00	     16.9000	Bralower 	Nannofossils                                 	               	                  	           	                	F                      	                 	                 	                    	                         	R                   	R             	                       	                    	R                    	                     	                    	                    	          	                         	                      	                          	                        	                       	                       	                      	                  	                           	                      	                       	                       	                 	                    	                         	                       	                      	                             	               	                    	                       	                    	                       	                         	                          	                         	                        	                      	                  	                  	                         	                     	                         	                     	                 	                         	R             	                  	                      	                        	                        	                     	                       	                 	                   	                       	                       	                    	                   	                   	                     	                    	                      	                      	                       	                	                          	                     	                  	                      	                       	                  	R                      	                         	                         	R                    	                        	                	                       	                   	                    	                         	                       	                     	                   	                    	                        	C                	                    	                   	                   	                              	R                        	                     	                     	                          	                          	                          	                       	                   	R                    	                     	                         	                 	                    	                 	                     	                       	                     	                           	                   	                           	R                 	                       	C                    	                      	                     	                      	                      	                     	                             	                    	                       	                      	R                      	                          	                   	                             	                          	                    	R                    	F                         	                       	                	R                        	F                         	                      	                    	C                       	C                      	R                          	                       	R               	R                 	                         	F                        	                        	R                    	from 143 SR; Chapter 3; Table 1

  SR	Early Oligocene  	                 	CP16              	              	143	 865	B	  3	H	 1	  20.00	     18.2000	Bralower 	Nannofossils                                 	               	                  	           	                	F                      	                 	                 	                    	                         	R                   	R             	                       	                    	R                    	                     	                    	                    	          	                         	                      	                          	                        	                       	                       	                      	                  	                           	                      	                       	                       	                 	                    	                         	                       	                      	                             	               	                    	                       	                    	                       	                         	                          	                         	                        	                      	R                 	                  	                         	                     	                         	                     	                 	                         	F             	                  	                      	                        	                        	                     	                       	                 	                   	                       	                       	                    	                   	                   	                     	                    	                      	                      	                       	                	                          	                     	                  	                      	                       	                  	R                      	                         	                         	R                    	                        	                	                       	                   	                    	                         	                       	                     	R                  	                    	                        	R                	                    	                   	                   	                              	F                        	                     	                     	                          	                          	                          	                       	                   	R                    	                     	                         	                 	                    	                 	                     	                       	                     	                           	                   	                           	                  	                       	A                    	                      	                     	                      	                      	R                    	                             	                    	                       	                      	F                      	                          	                   	                             	                          	                    	F                    	F                         	                       	                	R                        	R                         	                      	                    	F                       	C                      	R                          	                       	R               	R                 	                         	                         	R                       	                     	from 143 SR; Chapter 3; Table 1
