Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylatractus universus var. transparum,Stylatractus universus,Stylatractus santaeannae,Siphonosphaera magnisphaera,Rhopalastrum spp.,Prunopyle hayesi,Lampromitra coronata,Eucyrtidium pseudoinflatum,Eucyrtidium cienkowskii,Eucyrtidium calvertense,Desmospyris rhodospyroides,Antarctissa deflandrei,Acrosphaera murrayana,Acrosphaera mercurius,Prunopyle titan,Lychnocanium grande,Lithomelissa stigi,Cycladophora spongothorax,Actinomma golownini,Spongotrochus glacialis,Antarctissa strelkovi,Antarctissa cylindrica,Triceraspyris coronata,Cycladophora pliocenica,Antarctissa denticulata,Helotholus vema,Desmospyris spongiosa,Cycladophora davisiana,Triceraspyris antarctica,Pterocanium korotnevi,Pterocanium charybdeum trilobum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,Psi               ,              ,120, 748,A,  1,H, 1,  45.00,      0.4500,Lazarus  ,Radiolarians                                 ,A              ,G                 ,                                      ,+                     ,                        ,                           ,                 ,                ,                    ,                          ,                       ,                       ,                          ,                      ,                     ,                     ,               ,                   ,                  ,                         ,                   ,F                      ,A                    ,A                     ,                      ,                       ,VA                     ,               ,                     ,C                     ,C                       ,                     ,                               ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 5 microfiche back pocket & Fig 6 p 791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,Psi               ,              ,120, 748,A,  1,H, 2,  45.00,      1.9500,Lazarus  ,Radiolarians                                 ,A              ,G                 ,+                                     ,R                     ,                        ,                           ,                 ,                ,                    ,                          ,                       ,                       ,                          ,                      ,                     ,                     ,               ,                   ,                  ,                         ,                   ,R                      ,C                    ,A                     ,                      ,                       ,A                      ,               ,                     ,R                     ,R                       ,                     ,+                              ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 5 microfiche back pocket & Fig 6 p 791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,Phi               ,              ,120, 748,A,  1,H, 3,  45.00,      3.4500,Lazarus  ,Radiolarians                                 ,C              ,G                 ,                                      ,+                     ,                        ,                           ,                 ,                ,                    ,                          ,                       ,R                      ,                          ,                      ,                     ,                     ,               ,                   ,                  ,                         ,+                  ,                       ,C                    ,A                     ,                      ,R                      ,A                      ,               ,R                    ,F                     ,F                       ,R                    ,R                              ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 5 microfiche back pocket & Fig 6 p 791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,mid. Upsilon      ,              ,120, 748,A,  1,H, 4,  45.00,      4.9500,Lazarus  ,Radiolarians                                 ,C              ,G                 ,                                      ,                      ,                        ,                           ,                 ,                ,                    ,                          ,                       ,R                      ,                          ,                      ,                     ,                     ,               ,                   ,                  ,                         ,                   ,R                      ,C                    ,                      ,                      ,F                      ,A                      ,F              ,F                    ,                      ,                        ,                     ,                               ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 5 microfiche back pocket & Fig 6 p 791
