Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera sp. A	Syracosphaera spp.	Sphenolithus neoabies	Sphenolithus abies	Reticulofenestra umbilica	Reticulofenestra pseudoumbilica	Reticulofenestra producta	Reticulofenestra perplexa	Reticulofenestra minutula	Reticulofenestra minuta	Reticulofenestra gelida	Pontosphaera spp.	Pontosphaera discopora	Neosphaera coccolithomorpha	Florisphaera profunda	Discoaster surculus	Discoaster pentaradiatus	Discoaster intercalaris	Discoaster brouweri	Cyclicargolithus floridanus	Cruciplacolithus neohelis	Coccolithus streckerii	Coccolithus pelagicus	Ceratolithus armatus	Calcidiscus leptoporus	Amaurolithus tricorniculatus	Amaurolithus delicatus	Schyphosphaera sp.	Rhabdosphaera clavigera	Pontosphaera multipora	Pontosphaera japonica	Discoaster variabilis	Ceratolithus acutus	Calcidiscus macintyrei	Helicosphaera carteri	Ceratolithus rugosus	Braarudosphaera bigelowii	Ceratolithus spp.	Helicosphaera euphratis	Tetralithoides quadrilaminata	Placozygus sigmoides	Chiasmolithus solitus	Umbilicosphaera sibogae var. foliosa	Reticulofenestra bisecta	Discoaster triradiatus	Ceratolithus separatus	Lithostromation perdurum	Helicosphaera sellii	Gephyrocapsa spp. (small)	Sphenolithus heteromorphus	Pseudoemiliania cf. P. lacunosa	Discoaster tamalis	Umbilicosphaera sibogae var. sibogae	Pseudoemiliania lacunosa	Discoaster asymmetricus	Zygrhablithus bijugatus	Oolithotus fragilis	Calciosolenia murrayi	Sphenolithus moriformis	Discoaster blackstockae	Watznaueria barnesae	Ceratolithus cristatus	Ericsonia formosa	Gephyrocapsa spp. medium	Gephyrocapsa caribbeanica	Eiffellithus turriseiffelii	Umbellosphaera tenuis	Gephyrocapsa spp. (large)	Reticulofenestra asanoi	Gephyrocapsa oceanica ss	Gephyrocapsa margerelii/muellerae	Umbellosphaera irregularis	Helicosphaera pavimentum	Helicosphaera inversa	Emiliania huxleyi	Umbilicosphaera hulburtiana	Comment



  IR	Late Pleistocene 	                 	CN15              	              	164	 997	A	  1	H	 1	  39.00	      0.3900	Okada    	Nannofossils                                 	A              	G                 	                     	C                 	                     	                  	                         	                               	                         	                         	                         	                       	                       	                 	                      	R                          	A                    	                   	                        	                       	                   	                           	R                        	                      	F                    	                    	F                     	                            	                      	                  	R                      	                      	R                    	                     	                   	                      	F                    	                    	                         	                 	                       	                             	                    	                     	F                                   	                        	                      	                      	                        	                    	                         	                          	                               	                  	F                                   	                        	                       	                       	R                  	F                    	                       	                       	                    	                      	                 	F                       	                         	                           	R                    	                         	                       	C                       	                                 	F                         	                        	                     	D                	R                          	from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997A

  IR	Late Pleistocene 	                 	CN15              	              	164	 997	A	  1	H	CC	   0.00	      2.7500	Okada    	Nannofossils                                 	A              	G                 	                     	F                 	                     	                  	                         	                               	R                        	                         	                         	                       	                       	                 	R                     	R                          	A                    	                   	                        	                       	                   	                           	R                        	                      	F                    	                    	F                     	                            	                      	                  	R                      	                      	R                    	                     	                   	                      	F                    	                    	                         	                 	                       	                             	                    	                     	F                                   	                        	                      	                      	                        	                    	                         	                          	                               	                  	C                                   	                        	                       	                       	                   	F                    	                       	                       	                    	                      	                 	F                       	                         	                           	R                    	                         	                       	A                       	                                 	F                         	R                       	                     	D                	                           	from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997A

  IR	Late Pleistocene 	                 	CN15              	              	164	 997	A	  2	H	 1	  39.00	      3.2900	Okada    	Nannofossils                                 	A              	G                 	                     	F                 	                     	                  	                         	                               	R                        	                         	                         	                       	                       	                 	R                     	R                          	A                    	                   	                        	                       	                   	                           	                         	                      	                     	                    	C                     	                            	                      	                  	F                      	                      	R                    	                     	                   	                      	C                    	                    	                         	                 	                       	                             	                    	                     	C                                   	                        	                      	                      	                        	                    	D                        	                          	                               	                  	F                                   	                        	                       	                       	R                  	F                    	                       	                       	                    	R                     	                 	C                       	                         	                           	                     	                         	                       	A                       	F                                	                          	                        	                     	C                	                           	from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997A

  IR	Late Pleistocene 	                 	CN14b             	              	164	 997	A	  2	H	 2	  39.00	      4.7900	Okada    	Nannofossils                                 	A              	G                 	                     	C                 	                     	                  	                         	                               	A                        	                         	                         	A                      	                       	                 	                      	                           	A                    	                   	                        	                       	                   	                           	R                        	                      	F                    	                    	F                     	                            	                      	                  	F                      	                      	                     	                     	                   	                      	F                    	                    	R                        	                 	                       	                             	                    	                     	F                                   	                        	                      	                      	                        	                    	A                        	                          	                               	                  	F                                   	                        	                       	                       	R                  	R                    	                       	                       	                    	                      	                 	A                       	C                        	                           	                     	                         	                       	C                       	C                                	R                         	R                       	R                    	                 	                           	from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997A
