Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera sibogae var. sibogae	Umbilicosphaera sibogae var. foliosa	Syracosphaera spp.	Rhabdosphaera clavigera	Reticulofenestra producta	Reticulofenestra minutula	Reticulofenestra minuta	Reticulofenestra asanoi	Pseudoemiliania lacunosa	Pontosphaera japonica	Helicosphaera carteri	Gephyrocapsa spp. medium	Gephyrocapsa spp. (small)	Gephyrocapsa oceanica ss	Florisphaera profunda	Discoaster brouweri	Ceratolithus cristatus	Calciosolenia murrayi	Calcidiscus leptoporus	Pontosphaera discopora	Helicosphaera pavimentum	Gephyrocapsa caribbeanica	Coccolithus pelagicus	Eiffellithus turriseiffelii	Prediscosphaera cretacea	Oolithotus fragilis	Neosphaera coccolithomorpha	Gephyrocapsa margerelii/muellerae	Cyclicargolithus floridanus	Watznaueria barnesae	Schyphosphaera sp.	Umbellosphaera tenuis	Helicosphaera inversa	Emiliania huxleyi	Pontosphaera multipora	Comment



  IR	Late Pleistocene 	                 	CN15              	              	164	 996	E	  1	H	 1	   9.00	      0.0900	Okada    	Nannofossils                                 	A              	G                 	C                                   	F                                   	C                 	R                      	                         	                         	                       	                       	                        	                     	C                    	C                       	                         	C                       	A                    	                   	R                     	F                    	F                     	                      	                        	                         	R                    	                           	                        	                   	                           	                                 	                           	                    	                  	R                    	                     	D                	R                     	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996E

  IR	Late Pleistocene 	                 	CN15              	              	164	 996	E	  1	H	 2	  39.00	      1.8900	Okada    	Nannofossils                                 	A              	G                 	F                                   	F                                   	C                 	F                      	F                        	                         	C                      	                       	                        	                     	C                    	C                       	C                        	A                       	A                    	                   	R                     	R                    	F                     	                      	                        	                         	F                    	                           	                        	R                  	                           	F                                	                           	                    	                  	R                    	                     	D                	                      	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996E

  IR	Late Pleistocene 	                 	CN15              	              	164	 996	E	  1	H	CC	  21.00	      4.0800	Okada    	Nannofossils                                 	A              	G                 	F                                   	C                                   	C                 	R                      	F                        	                         	A                      	                       	                        	R                    	F                    	A                       	A                        	C                       	A                    	                   	R                     	F                    	C                     	                      	R                       	                         	F                    	                           	                        	R                  	R                          	A                                	                           	                    	                  	R                    	                     	A                	                      	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996E

  IR	Late Pleistocene 	                 	CN15              	              	164	 996	E	  2	H	 1	  39.00	      4.4900	Okada    	Nannofossils                                 	A              	G                 	F                                   	F                                   	C                 	R                      	F                        	                         	C                      	                       	                        	                     	F                    	A                       	A                        	A                       	A                    	                   	                      	R                    	F                     	                      	                        	F                        	R                    	                           	                        	R                  	R                          	C                                	                           	                    	                  	                     	                     	C                	                      	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996E

