Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Trachyneis aspera	Thalassiothrix longissima	Thalassiothrix frauenfeldii	Thalassiosira lineata	Thalassiosira leptopus	Thalassionema nitzschioides	Stephanopyxis turris	Rhaphoneis amphiceros	Pseudopodosira spp.	Paralia sulcata	Melosira westii	Melosira spp.	Freshwater species	Diploneis spp.	Delphineis angustata	Cyclotella sp.	Coscinodiscus obscurus	Coscinodiscus marginatus	Chaetoceros spp. (resting spores)	Biddulphia spp.	Azpeitia nodulifera	Actinoptychus senarius	Actinocyclus octonarius	Neodelphineis pelagica	Denticulopsis hustedtii	Coscinodiscus radiatus	Hemidiscus cuneiformis	Thalassiosira eccentrica	Cymatosira immunis	Triceratium spp.	Rhaphoneis paralis	Grammatophora spp.	Stephanopyxis spp.	Melosira architecturalis	Thalassiosira zabellinae	Goniothecium sp.	Thalassiosira spp.	Thalassionema nitzschioides  var. parva	Neodenticula kamtschatica	Thalassiosira tetraoestrupii	Thalassiosira sp. A	Rhaphoneis spp.	Plagiogramma sp.	Lyrella hennedyii	Koizumia adaroi	Thalassiosira manifesta	Thalassiosira cf. T. deicipiens	Delphineis surirella	Thalassiothrix robusta	Thalassionema schraderi	Thalassiosira nidulus	Thalassiosira plicata	Thalassionema bacillaris	Nitzschia fossilis	Cyclotella striata	Coscinodiscus perforatus	Coscinodiscus oculus-iridis	Cavitatus jouseanus	Bacteriastrum spp.	Thalassiosira symbolophora	Actinocyclus curvatulus	Thalassiosira sp. B	Thalassionema hirosakiensis	Nitzschia cylindrica	Coscinodiscus nitidus	Synedra ulna	Nitzschia reinholdii	Nitzschia miocenica	Nitzschia bicapitata	Hyalodiscus sp. A	Synedra indica	Nitzschia marina	Thalassiothrix acuta	Actinoptychus splendens	Thalassiosira pacifica	Thalassiosira ferelineata	Thalassiosira anguste-lineata	Proboscia alata	Planktoniella  sol	Koizumia tatsunokuchiensis	Denticulopsis dimorpha	Thalassiosira trifulta	Hemidiscus ovalis	Thalassiosira convexa	Actinocyclus ingens	Thalassiosira miocenica	Thalassionema sp.	Roperia tesselata	Rhizosolenia hebetata	Nitzschia spp.	Glyphodesmis acus	Coscinodiscus spp.	Thalassiosira praeoestrupii	Pseudotriceratium wallichii	Cymatosira sp.	Thalassiosira symmetrica	Thalassiosira oestrupii	Thalassiosira jouseae	Porosira pseudodenticulata	Coscinodiscus denarius	Rhizosolenia styliformis	Stictodiscus spp.	Odontella sp.	Rhizosolenia setigera	Trigonium alternans	Actinoptychus vulgaris	Pleurosigma spp.	Comment



  SR	                 	                 	                  	              	164	 997	B	  4	X	 1	   0.00	    414.2000	Okada    	Diatoms                                      	               	                  	1                	2                        	2                          	3                    	1                     	27                         	2                   	3                    	2                  	62             	26             	1            	4                 	1             	                    	1             	                      	4                       	88                               	1              	3                  	3                     	10                     	2                     	                       	1                     	                      	5                       	1                 	                	13                	1                 	2                 	1                       	                        	                	                  	2                                      	                         	                            	                   	1              	                	2                	2              	                       	                               	                    	                      	                       	1                    	                     	                        	                  	                  	                        	                           	                   	                  	                          	2                      	                   	                           	                    	                     	            	                    	                   	                    	4                	              	                	                    	                       	                      	                         	                             	               	                  	1                         	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	2                      	1                    	                          	                      	                        	                 	             	1                    	                   	                      	                	Total Diatom Count 202; Age Est 4.97Ma; Abundance 155 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	  5	X	 1	  31.00	    424.1100	Okada    	Diatoms                                      	               	                  	                 	3                        	                           	3                    	                      	25                         	3                   	1                    	3                  	94             	16             	             	5                 	4             	                    	              	                      	2                       	41                               	               	                   	10                    	7                      	                      	                       	                      	                      	6                       	1                 	                	3                 	1                 	                  	1                       	                        	                	                  	1                                      	                         	                            	                   	               	                	                 	               	                       	                               	                    	                      	                       	                     	                     	                        	1                 	                  	                        	                           	                   	1                 	                          	1                      	1                  	                           	                    	                     	            	                    	                   	                    	3                	              	                	                    	                       	1                     	                         	                             	               	1                 	2                         	                      	                      	1                	                     	1                  	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	6                      	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 205; Age Est 5.02Ma; Abundance 194 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	  5	X	 3	  29.00	    426.8500	Okada    	Diatoms                                      	               	                  	                 	2                        	                           	1                    	                      	17                         	4                   	1                    	3                  	92             	27             	             	0                 	              	                    	2             	                      	1                       	78                               	               	                   	11                    	2                      	                      	                       	2                     	                      	12                      	2                 	                	31                	                  	                  	1                       	2                       	                	                  	                                       	                         	                            	                   	               	                	                 	               	                       	                               	                    	                      	                       	                     	                     	1                       	                  	                  	                        	                           	                   	                  	                          	3                      	1                  	                           	                    	                     	            	                    	                   	                    	                 	1             	                	                    	                       	                      	                         	                             	               	1                 	1                         	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	8                      	2                    	                          	                      	                        	                 	             	                     	3                  	                      	                	Total Diatom Count 232; Age Est 5.03Ma; Abundance 297 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	  8	X	 1	  29.00	    443.2900	Okada    	Diatoms                                      	               	                  	2                	2                        	                           	8                    	                      	13                         	11                  	3                    	                   	84             	20             	             	2                 	              	                    	1             	                      	3                       	36                               	2              	1                  	7                     	6                      	1                     	                       	                      	                      	6                       	1                 	                	15                	                  	                  	1                       	                        	                	                  	                                       	                         	                            	                   	               	                	                 	               	                       	1                              	                    	                      	                       	                     	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	1                	              	                	                    	                       	1                     	                         	                             	               	                  	1                         	                      	                      	1                	                     	1                  	                       	                 	                 	1                    	              	                 	                  	                           	                           	              	1                       	7                      	                     	                          	1                     	                        	1                	             	                     	                   	                      	1               	Total Diatom Count 205; Age Est 5.11Ma; Abundance 272 10^4/g; from 164SR.Ch 35.Table 1.
