Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Ticinella roberti	Ticinella praeticinensis	Schackoina cenomana	Rotalipora ticinensis	Rotalipora subticinensis	Hedbergella simplex	Hedbergella delrioensis	Biticinella breggiensis	Guembelitria cenomana	Praeglobotruncana delrioensis	Ticinella raynaudi	Rotalipora appenninica	Costellagerina libyca	Rotalipora greenhornensis	Rotalipora gandolfii	Rotalipora brotzeni	Praeglobotruncana stephani	Praeglobotruncana gibba	Whiteinella baltica	Rotalipora turonica	Rotalipora deeckei	Rotalipora cushmani	Heterohelix moremani	Whiteinella paradubia	Heterohelix reussi	Helvetoglobotruncana praehelvetica	Helvetoglobotruncana helvetica	Dicarinella imbricata	Dicarinella algeriana	Marginotruncana marianosi	Heterohelix globulosa	Globotruncanita stuartiformis	Globotruncanita atlantica	Globotruncana orientalis	Globotruncana linneiana	Globotruncana arca	Contusotruncana patelliformis	Contusotruncana fornicata	Pseudotextularia nuttalli	Planoglobulina multicamerata	Planoglobulina acervulinoides	Globotruncanella petaloidea	Globotruncanella havanensis	Globotruncana falsostuarti	Favusella washitensis	Racemiguembelina fructicosa	Heterohelix navarroensis	Globotruncanita stuarti	Contusotruncana walfischensis	Pseudotextularia elegans	Pseudoguembelina palpebra	Globotruncana dupeublei	Contusotruncana contusa	Abathomphalus mayaroensis	Trinitella scotti	Rugoglobigerina rugosa	Rugoglobigerina rotundata	Rugoglobigerina hexacamerata	Globotruncana rosetta	Globotruncana esnehensis	Globotruncana aegyptiaca	Abathomphalus intermedius	Parvularugoglobigerina eugubina	Parvularugoglobigerina alabamensis	Hedbergella monmouthensis	Globigerinelloides prairiehillensis	Globanomalina archeocompressa	Woodringina hornerstownensis	Woodringina claytonensis	Praemurica taurica	Guembelitria cretacea	Chiloguembelina midwayensis	Subbotina triloculinoides	Parvularogoglobigerina fringa	Parasubbotina pseudobulloides	Praemurica inconstans	Morozovella trinidadensis	Morozovella praecursoria	Globanomalina compressa	Parasubbotina variospira	Parasubbotina varianta	Morozovella conicotruncata	Morozovella angulata	Igorina pusilla	Chiloguembelina subtriangularis	Comment



  IR	                 	Late Paleocene   	                  	P3a           	171	1050	C	  2	R	CC	  20.00	    336.9700	Bellier  	Planktonic Foraminifers                      	C              	M                 	                 	                        	                   	                     	                        	                   	                       	                       	                     	                             	                  	                      	                     	                         	                    	                   	                          	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	R                          	                         	                             	                             	                     	                         	                        	                       	                        	F                     	R                         	R                   	R              	P                              	       

  IR	                 	Late Paleocene   	                  	P3a           	171	1050	C	  3	R	CC	   0.00	    343.4600	Bellier  	Planktonic Foraminifers                      	F              	P                 	                 	                        	                   	                     	                        	                   	                       	                       	                     	                             	                  	                      	                     	                         	                    	                   	                          	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	F                          	                         	                             	                             	                     	                         	                        	                       	F                       	R                     	R                         	R                   	               	                               	       

  IR	Early Paleocene  	Late Paleocene   	P1c               	P3a           	171	1050	C	  4	R	 6	  61.00	    354.4100	Bellier  	Planktonic Foraminifers                      	R              	P                 	                 	                        	                   	                     	                        	                   	                       	                       	                     	                             	                  	                      	                     	                         	                    	                   	                          	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	R                            	                     	                         	                        	R                      	                        	                      	                          	                    	               	                               	       

  IR	Early Paleocene  	Late Paleocene   	P1c               	P3a           	171	1050	C	  5	R	CC	  25.00	    364.1000	Bellier  	Planktonic Foraminifers                      	R              	P                 	                 	                        	                   	                     	                        	                   	                       	                       	                     	                             	                  	                      	                     	                         	                    	                   	                          	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	P                        	                             	R                            	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	       
