Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globotruncanella petaloidea	Globigerinelloides subcarinatus	Globigerinatheka index	Subbotina angiporoides	Chiloguembelina cubensis	Globigerina euapertura	Catapsydrax unicavus	Zeaglobigerina brazieri	Globoconella incognita	Neogloboquadrina pachyderma (sinistral)	Globorotalia scitula	Globigerina bulloides	Comment



  IR	Early Pliocene   	Pleistocene      	                  	NK7           	183	1138	A	  1	R	CC	  16.00	      8.5300	Coxall   	Planktonic Foraminifers                      	F              	G                 	                           	                               	                      	                      	                        	                      	                    	                       	                      	D                                      	                    	                     	       

  IR	Early Pliocene   	Pleistocene      	                  	NK7           	183	1138	A	  7	R	CC	  13.00	     62.3100	Coxall   	Planktonic Foraminifers                      	F              	G                 	                           	                               	                      	                      	                        	                      	                    	                       	                      	D                                      	                    	                     	       

  IR	Early Pliocene   	Pleistocene      	                  	NK7           	183	1138	A	 11	R	CC	   9.00	    102.3900	Coxall   	Planktonic Foraminifers                      	F              	G                 	                           	                               	                      	                      	                        	                      	                    	                       	                      	A                                      	                    	A                    	       

  IR	Early Pliocene   	Pleistocene      	                  	NK7           	183	1138	A	 12	R	CC	  23.00	    107.0300	Coxall   	Planktonic Foraminifers                      	R              	M                 	                           	                               	                      	                      	                        	                      	                    	                       	                      	D                                      	                    	                     	       

  IR	                 	Late Miocene     	                  	AN6           	183	1138	A	 14	R	CC	  15.00	    126.2300	Coxall   	Planktonic Foraminifers                      	F              	M                 	                           	                               	                      	                      	                        	                      	                    	                       	                      	-                                      	+                   	                     	       

  IR	                 	Early Miocene    	                  	NK1           	183	1138	A	 27	R	CC	   0.00	    248.7100	Coxall   	Planktonic Foraminifers                      	C              	M                 	                           	                               	                      	                      	                        	                      	                    	+                      	-                     	                                       	                    	                     	       

  IR	                 	Late Oligocene   	                  	              	183	1138	A	 29	R	CC	   8.00	    269.4100	Coxall   	Planktonic Foraminifers                      	C              	G                 	                           	                               	                      	                      	                        	+                     	+                   	                       	                      	                                       	                    	                     	Zone AP16

  IR	                 	Early Oligocene  	                  	              	183	1138	A	 35	R	CC	  12.00	    330.7800	Coxall   	Planktonic Foraminifers                      	C              	M                 	                           	                               	                      	+                     	F                       	                      	                    	                       	                      	                                       	                    	                     	Zone AP13

  IR	                 	Middle Eocene    	                  	              	183	1138	A	 37	R	CC	  13.00	    351.9800	Coxall   	Planktonic Foraminifers                      	C              	G                 	                           	                               	F                     	                      	                        	                      	                    	                       	                      	                                       	                    	                     	Zone AP10

  IR	                 	Maestrichtian    	                  	              	183	1138	A	 54	R	CC	  12.00	    509.1700	Coxall   	Planktonic Foraminifers                      	C              	M                 	-                          	+                              	                      	                      	                        	                      	                    	                       	                      	                                       	                    	                     	Globotruncanella petaloidea Zone

