Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Heterohelix planata	Heterohelix globulosa	Hedbergella monmouthensis	Globigerinelloides multispinus	Archaeoglobigerina australis	Hedbergella sliteri	Heterohelix dentata	Globotruncanella? sp.	Archaeoglobigerina mateola	Abathomphalus mayaroensis	Rugotruncana circumnodifer	Rugoglobigerina rugosa	Globigerinelloides subcarinatus	Globigerinelloides impensus	Zeauvigerina teuria	Pseudotextularia elegans	Hedbergella sp.	Guembelitria cretacea	Gublerina robusta	Globotruncanella petaloidea	Globotruncanella citae	Abathomphalus intermedius	Chiloguembelina sp.	Schackoina multispinata	Eoglobigerina fringa	Eoglobigerina eobulloides	Chiloguembelina crinita	Eoglobigerina? sp.	Bifarina alabamensis	Chiloguembelina waiparensis	Globoconusa daubjergensis	Eoglobigerina simplicissima	Subbotina pseudobulloides	Subbotina trivialis	Subbotina triloculinoides	Chiloguembelina morsei	Planorotalites compressus	Eoglobigerina quadrilocula	Morozovella inconstans	Subbotina triangularis	Guembelitrioides sp.	Planorotalites cf. P. appressus	Subbotina varianta	Planorotalites imitatus	Chiloguembelina wilcoxensis	Igorina spiralis	Acarinina? sp.	Acarinina praeangulata	Acarinina mckannai	Acarinina esnaensis	Acarinina praepentacamerata	Acarinina praecursoria	Acarinina apanthesma	Acarinina soldadoensis	Acarinina acarinata	Acarinina chascanona	Planorotalites reissi	Igorina pusilla	Acarinina cf. A. mckannai	Planorotalites planoconicus	Subbotina velascoensis	Planorotalites australiformis	Acarinina pseudotopilensis	Acarinina intermedia	Planorotalites chapmani	Acarinina triplex	Pseudohastigerina wilcoxensis	Morozovella subbotinae	Morozovella gracilis	Subbotina cf. S. hornibrooki	Planorotalites sp. 2	Acarinina wilcoxensis	Acarinina strabocella	Acarinina coalingensis	Acarinina nitida	Subbotina patagonica	Muricoglobigerina senni	Acarinina pentacamerata	Subbotina hardingae	Acarinina interposita	Subbotina pseudoeocaena	Acarinina primitiva	Acarinina broedermanni	Acarinina cuneicamerata	Cassigerinelloita amekiensis	Acarinina cf. A. collactea	Comment



  SR	Middle Eocene    	                 	AP7               	              	119	 738	C	  2	R	 1	 124.00	    197.8400	Huber    	Planktonic Foraminifers                      	A              	G                 	                   	                     	                         	                              	                            	                   	                   	                     	                          	                         	                          	                      	                               	                           	                   	                        	               	                     	                 	                           	                      	                         	                   	                       	                    	                         	                       	                  	                    	                           	                         	                           	                         	                   	                         	                      	                         	                          	                      	                      	                    	                               	                  	                       	                           	                	              	                      	                  	                   	                           	                      	                    	                      	                   	                    	F                    	               	                         	                           	F                     	R                            	                          	                    	                       	                 	                             	                      	                    	F                           	                    	C                    	                     	                      	R               	C                   	                       	C                      	F                  	                     	                       	R                  	                      	R                      	C                           	A                         	from 119 SR.Chapter 24.Table 2.page 430.

  SR	Middle Eocene    	                 	AP7               	              	119	 738	C	  2	R	CC	   6.00	    198.4800	Huber    	Planktonic Foraminifers                      	C              	M                 	                   	                     	                         	                              	                            	                   	                   	                     	                          	                         	                          	                      	                               	                           	                   	                        	               	                     	                 	                           	                      	                         	                   	                       	                    	                         	                       	                  	                    	                           	                         	                           	                         	                   	                         	F                     	                         	                          	                      	                      	                    	                               	                  	                       	                           	                	              	                      	                  	                   	                           	                      	                    	                      	                   	                    	                     	               	                         	                           	F                     	R                            	                          	                    	R                      	                 	                             	                      	                    	C                           	                    	F                    	                     	                      	                	C                   	F                      	                       	F                  	                     	                       	R                  	                      	                       	F                           	A                         	from 119 SR.Chapter 24.Table 2.page 430.

  SR	Middle Eocene    	                 	AP7               	              	119	 738	C	  3	R	 1	  59.00	    206.7900	Huber    	Planktonic Foraminifers                      	A              	G                 	                   	                     	                         	                              	                            	                   	                   	                     	                          	                         	                          	                      	                               	                           	                   	                        	               	                     	                 	                           	                      	                         	                   	                       	                    	                         	                       	                  	                    	                           	                         	                           	                         	                   	                         	                      	                         	                          	                      	                      	                    	                               	F                 	                       	                           	                	              	                      	                  	                   	                           	                      	                    	                      	                   	R                   	                     	               	                         	                           	C                     	C                            	                          	                    	R                      	                 	                             	                      	                    	F                           	                    	                     	                     	                      	                	                    	F                      	C                      	C                  	                     	C                      	R                  	F                     	F                      	R                           	R                         	from 119 SR.Chapter 24.Table 2.page 430.

  SR	Middle Eocene    	                 	AP7               	              	119	 738	C	  3	R	CC	   0.00	    206.9000	Huber    	Planktonic Foraminifers                      	C              	M                 	                   	                     	                         	                              	                            	                   	                   	                     	                          	                         	                          	                      	                               	                           	                   	                        	               	                     	                 	                           	                      	                         	                   	                       	                    	                         	                       	                  	                    	                           	                         	                           	                         	                   	                         	                      	                         	                          	                      	                      	                    	                               	F                 	                       	                           	                	              	                      	                  	                   	                           	                      	                    	                      	                   	                    	                     	               	                         	                           	                      	C                            	                          	                    	R                      	                 	                             	                      	                    	R                           	                    	F                    	                     	                      	                	F                   	R                      	C                      	C                  	                     	F                      	R                  	                      	R                      	                            	F                         	from 119 SR.Chapter 24.Table 2.page 430.
