Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis seminulina	Orbulina suturalis	Globorotaloides hexagona	Globigerinoides quadrilobatus	Globigerina bulloides	Orbulina universa	Neogloboquadrina altispira altispira	Globorotaloides trema	Globoquadrina baroemoenensis	Globigerinoides immaturus	Globigerina woodi	Globigerina quadrilatera	Globigerina pseudociperoensis	Catapsydrax parvulus	Sphaeroidinellopsis paenedehiscens	Neogloboquadrina acostaensis	Globigerinoides conglobatus	Globorotalia continuosa	Sphaeroidinella dehiscens	Neogloboquadrina humerosa	Globorotalia tumida	Globorotalia tosaensis	Globorotalia puncticulata	Globorotalia crassaformis	Neogloboquadrina asanoi	Globorotalia inflata	Neogloboquadrina pachyderma (dextral)	Globorotalia truncatulinoides	Globorotalia menardii	Globorotalia hirsuta	Globigerinoides ruber	Comment



  IR	                 	                 	                  	              	167	1010	C	  2	H	CC	   9.00	     15.3000	Kennett  	Planktonic Foraminifers                      	F              	P                 	                              	                  	                        	                             	C                    	R                	                                    	                     	                            	                         	                 	                        	                             	                    	                                  	                            	                           	                       	                         	                         	                   	                      	                         	                         	                       	C                   	R                                    	R                            	R                    	C                   	R                    	from IR.Ch 4.Table 8.

  IR	                 	                 	                  	              	167	1010	C	  3	H	CC	  16.00	     24.7600	Kennett  	Planktonic Foraminifers                      	A              	P/M               	                              	                  	                        	                             	                     	                 	                                    	                     	                            	                         	                 	                        	                             	                    	                                  	                            	                           	                       	                         	C                        	                   	                      	                         	                         	C                      	C                   	                                     	                             	                     	                    	                     	from IR.Ch 4.Table 8.

  IR	                 	                 	                  	              	167	1010	C	  4	H	CC	  30.00	     34.5600	Kennett  	Planktonic Foraminifers                      	C              	P                 	                              	                  	                        	                             	                     	                 	                                    	                     	                            	                         	                 	                        	                             	                    	                                  	                            	R                          	                       	C                        	C                        	C                  	R                     	R                        	R                        	                       	                    	                                     	                             	                     	                    	                     	from IR.Ch 4.Table 8.

  IR	                 	                 	                  	              	167	1010	C	  6	H	CC	  26.00	     53.4600	Kennett  	Planktonic Foraminifers                      	R              	P                 	                              	                  	                        	                             	R                    	R                	                                    	                     	                            	                         	                 	                        	                             	                    	                                  	R                           	                           	R                      	                         	                         	                   	                      	                         	                         	                       	                    	                                     	                             	                     	                    	                     	from IR.Ch 4.Table 8.

  IR	                 	                 	                  	              	167	1010	C	  7	H	CC	  13.00	     62.7600	Kennett  	Planktonic Foraminifers                      	R              	M                 	                              	                  	                        	                             	C                    	C                	                                    	                     	                            	                         	                 	                        	                             	                    	R                                 	R                           	R                          	                       	                         	                         	                   	                      	                         	                         	                       	                    	                                     	                             	                     	                    	                     	from IR.Ch 4.Table 8.

  IR	                 	                 	                  	              	167	1010	C	 16	H	CC	  12.00	    148.2900	Kennett  	Planktonic Foraminifers                      	R              	G                 	                              	R                 	R                       	                             	R                    	                 	                                    	                     	                            	                         	                 	                        	                             	                    	                                  	                            	                           	                       	                         	                         	                   	                      	                         	                         	                       	                    	                                     	                             	                     	                    	                     	from IR.Ch 4.Table 8.

  IR	                 	                 	                  	              	167	1010	C	 17	H	CC	  19.00	    157.8700	Kennett  	Planktonic Foraminifers                      	R              	G                 	                              	                  	R                       	                             	C                    	R                	R                                   	R                    	R                           	R                        	                 	R                       	R                            	R                   	                                  	                            	                           	                       	                         	                         	                   	                      	                         	                         	                       	                    	                                     	                             	                     	                    	                     	from IR.Ch 4.Table 8.

  IR	                 	                 	                  	              	167	1010	C	 18	X	CC	  26.00	    166.8900	Kennett  	Planktonic Foraminifers                      	R              	G                 	                              	                  	                        	                             	C                    	R                	R                                   	R                    	R                           	R                        	R                	R                       	R                            	R                   	                                  	                            	                           	                       	                         	                         	                   	                      	                         	                         	                       	                    	                                     	                             	                     	                    	                     	from IR.Ch 4.Table 8.

  IR	                 	                 	                  	              	167	1010	C	 19	X	CC	  23.00	    174.8500	Kennett  	Planktonic Foraminifers                      	R              	G                 	                              	                  	                        	                             	C                    	                 	                                    	                     	                            	                         	                 	                        	                             	                    	                                  	                            	                           	                       	                         	                         	                   	                      	                         	                         	                       	                    	                                     	                             	                     	                    	                     	from IR.Ch 4.Table 8.

  IR	                 	                 	                  	              	167	1010	C	 20	X	CC	  28.00	    180.9100	Kennett  	Planktonic Foraminifers                      	               	                  	R                             	R                 	R                       	R                            	A                    	                 	                                    	                     	                            	                         	                 	                        	                             	                    	                                  	                            	                           	                       	                         	                         	                   	                      	                         	                         	                       	                    	                                     	                             	                     	                    	                     	from IR.Ch 4.Table 8.

