Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus heteromorphus	Helicosphaera carteri	Coccolithus miopelagicus	Cyclicargolithus floridanus	Reticulofenestra pseudoumbilicus	Sphenolithus spp.	Discoaster kugleri	Discoaster bollii	Discoaster hamatus	Catinaster calyculus	Discoaster bellus	Reticulofenestra spp.	Minylitha convallis	Discoaster triradiatus	Discoaster brouweri	Discoaster quinqueramus/berggrenii	Amaurolithus spp.	Triquetrorhabdulus rugosus	Discoaster pentaradiatus	Discoaster tamalis	Discoaster surculus	Coccolithus pelagicus	Calcidiscus leptoporus	Amaurolithus delicatus/tricorniculatus	Pseudoemiliania lacunosa	Calcidiscus macintyrei (>11 um)	Gephyrocapsa oceanica s.l.	Gephyrocapsa large	Gephyrocapsa (small)	Comment



  IR	                 	                 	                  	              	167	1010	C	  1	H	CC	   7.00	      5.4600	Fornaciari	Nannofossils                                 	R              	P                 	                          	                     	                        	                           	                                	                 	                  	                 	                  	                    	                 	                     	                   	                      	                   	                                  	                 	                          	                        	                  	                   	                     	                      	                                      	                        	                               	R                         	                  	F                   	from IR. Ch.4 Table 3.

  IR	                 	                 	CN13              	              	167	1010	C	  2	H	CC	   9.00	     15.3000	Fornaciari	Nannofossils                                 	F              	M                 	                          	                     	                        	                           	                                	                 	                  	                 	                  	                    	                 	                     	                   	                      	                   	                                  	                 	                          	                        	                  	                   	                     	                      	                                      	C                       	                               	+                         	+                 	                    	from IR. Ch.4 Table 3.

  IR	                 	                 	CN12d             	              	167	1010	C	  3	H	CC	  16.00	     24.7600	Fornaciari	Nannofossils                                 	A              	M                 	                          	+                    	                        	                           	                                	                 	                  	                 	                  	                    	                 	                     	                   	C                     	A                  	                                  	                 	                          	                        	                  	                   	+                    	C                     	                                      	C                       	+                              	                          	                  	                    	from IR. Ch.4 Table 3.

  IR	                 	                 	CN12a             	CN12c         	167	1010	C	  4	H	CC	  30.00	     34.5600	Fornaciari	Nannofossils                                 	A              	G                 	                          	R                    	                        	                           	                                	                 	                  	                 	                  	                    	                 	C                    	                   	F                     	F                  	                                  	                 	                          	R                       	R                 	R                  	R                    	C                     	R                                     	                        	                               	                          	                  	                    	from IR. Ch.4 Table 3.

  IR	                 	                 	                  	              	167	1010	C	  6	H	CC	  26.00	     53.4600	Fornaciari	Nannofossils                                 	F              	P                 	                          	                     	                        	                           	                                	R                	                  	                 	                  	                    	                 	C                    	                   	                      	                   	                                  	                 	                          	                        	                  	                   	                     	                      	                                      	                        	                               	                          	                  	                    	from IR. Ch.4 Table 3.

  IR	                 	                 	CN10              	CN11          	167	1010	C	  7	H	CC	  13.00	     62.7600	Fornaciari	Nannofossils                                 	A              	M                 	                          	                     	                        	                           	C                               	                 	                  	                 	                  	                    	                 	                     	                   	                      	R                  	                                  	                 	                          	RR                      	                  	                   	                     	                      	                                      	                        	                               	                          	                  	                    	from IR. Ch.4 Table 3.

