Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Biscutum constans,Watznaueria barnesae,Parhabdolithus embergeri,Manivitella pemmatoidea,Eiffellithus turriseiffelii,Zygodiscus spiralis,Zygodiscus erectus,Zygodiscus elegans,Zygodiscus diplogrammus,Vagalapilla stradneri,Tranolithus spp.,Rucinolithus terebrodentarius,Rucinolithus irregularis,Prediscosphaera sp.,Parhabdolithus asper,Parhabdolithus angustus,Parhabdolithus achylostaurion,Nannoconus spp.,Lithraphidites carniolensis,Lithastrinus floralis,Flabellites oblongus,Eiffellithus (small taxa),Discorhabdus rotatorius,Cyclagelosphaera margerelii,Cruciellipsis chiastia,Cribrosphaerella ehrenbergii,Cretarhabdus surirellus,Cretarhabdus spp.,Chiastozygus litterarius,Axopodorhabdus albianus,Watznaueria supracretacea,Vekshinella sp.,Prediscosphaera columnata,Parhabdolithus pseudoangustus,Diazomatolithus lehmanii,Biscutum blackii,Tegumentum stradneri,Prediscosphaera cretacea,Cretarhabdus striatus,Zygodiscus (small taxa),Tranolithus orionatus,Markalius circumradiatus,Lithraphidites alatus,Cretarhabdus conicus,Watznaueria britannica,Tranolithus gabalus,Stoverius achylosus,Eiffellithus sp.,Prediscosphaera spinosa,Parhabdolithus swinnertonii,Cretarhabdus angustiforatus,Reinhardtites fenestratus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Cenomanian       ,CC9               ,              ,129, 801,A, 14,R, 1,  62.00,    126.8200,Covington,Nannofossils                                 ,F              ,P                 ,                 ,A                   ,                        ,F                      ,R                          ,R                  ,                  ,R                 ,                       ,                     ,                ,                             ,                        ,                   ,                    ,                       ,                             ,               ,R                          ,                     ,                    ,R                        ,                       ,                           ,R                     ,                            ,R                      ,                 ,                        ,                       ,                         ,               ,R                        ,                             ,                        ,                ,                    ,R                       ,R                    ,                       ,                     ,                        ,                     ,                    ,                      ,                   ,                   ,                ,                       ,                           ,                           ,                         ,from ODP Leg 129 SR Chapter 8 Table 3 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Cenomanian       ,CC9               ,              ,129, 801,A, 14,R,CC,   0.00,    126.8700,Covington,Nannofossils                                 ,               ,                  ,6.3%             ,41.0%               ,.8%                     ,5.0%                   ,1.7%                       ,.8%                ,8.4%              ,3.5%              ,9.5%                   ,.0%                  ,.0%             ,.0%                          ,.0%                     ,1.5%               ,1.5%                ,.0%                    ,.0%                          ,.0%            ,.3%                        ,.8%                  ,.5%                 ,.3%                      ,.3%                    ,.0%                        ,.5%                   ,.0%                         ,A                      ,16.2%            ,.0%                     ,                       ,                         ,               ,F                        ,                             ,R                       ,R               ,R                   ,                        ,                     ,                       ,                     ,                        ,R                    ,                    ,                      ,                   ,                   ,                ,                       ,                           ,                           ,R                        ,from ODP Leg 129 SR Chapter 9 Table 2 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Cenomanian       ,CC9               ,              ,129, 801,A, 15,R, 1,   1.00,    135.9100,Covington,Nannofossils                                 ,F/C            ,P                 ,R                ,A                   ,                        ,R                      ,F                          ,R                  ,R                 ,R                 ,R                      ,                     ,                ,                             ,                        ,                   ,R                   ,R                      ,R                            ,               ,                           ,                     ,                    ,F                        ,R                      ,                           ,R                     ,                            ,C                      ,                 ,R                       ,                       ,                         ,               ,R                        ,R                            ,                        ,R               ,                    ,                        ,                     ,                       ,                     ,                        ,                     ,                    ,                      ,                   ,                   ,                ,                       ,R                          ,                           ,                         ,from ODP Leg 129 SR Chapter 8 Table 3 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Cenomanian       ,CC9               ,              ,129, 801,A, 15,R,CC,   0.00,    136.3500,Covington,Nannofossils                                 ,               ,                  ,19.5%            ,40.0%               ,.3%                     ,.5%                    ,4.2%                       ,.0%                ,13.4%             ,.3%               ,1.9%                   ,.0%                  ,.0%             ,.0%                          ,.0%                     ,.5%                ,.5%                 ,.0%                    ,1.0%                         ,.0%            ,.0%                        ,.0%                  ,.0%                 ,3.6%                     ,3.9%                   ,1.0%                       ,.3%                   ,.0%                         ,C                      ,7.7%             ,.0%                     ,                       ,                         ,               ,                         ,                             ,                        ,                ,                    ,                        ,                     ,                       ,R                    ,                        ,                     ,                    ,                      ,                   ,                   ,                ,R                      ,                           ,R                          ,                         ,from ODP Leg 129 SR Chapter 9 Table 2 p 192
