file,top,bottom,top depth,bottom depth,depth,interval,7,8,9,,
LIMS/Micropal_CSV_4/320_U1334_benthic_forams.csv,Top [cm],Bottom [cm],Depth (csf),,,"Core, section, interval (cm)",,,,,
LIMS/Micropal_CSV_4/361_U1479B_nannofossils.csv,Top (cm),Bottom (cm),,,,,,,,,
LIMS/Micropal_CSV_4/372_U1517C_planktic_forams.csv,Top [cm],Bottom [cm],Top depth CSF-B (m):,Bottom depth CSF-B (m):,,"Expedition, site, hole, core, section, interval (cm):",,,,,
LIMS/Micropal_CSV_4/317_U1352_planktic_forams.csv,,,Top Depth (CSF m),,,,,,,,
LIMS/Micropal_CSV_4/323_U1339_palynology.csv,,,Depth top CSF-A (m),Depth bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1344BC_planktic_forams.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/323_U1344D_benthic_forams.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/323_U1344BCD_nannofossils.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/317_U1353_planktic_forams.csv,,,Top Depth [CSF m],,,,,,,,
LIMS/Micropal_CSV_4/317_U1351_nannofossils.csv,Top [cm],Bottom [cm],Top depth [CSF m],,,,,,,,
LIMS/Micropal_CSV_4/323_U1345D_benthic_forams.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/321_U1337B_109_T07_rads.csv,,,top depth,bottom depth,,,,,,,
LIMS/Micropal_CSV_4/323_U1345CD_nannofossils.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/323_U1345A_silicoflagellates.csv,,,Top CSF-A (m),Bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1344D_planktic_forams.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/323_U1345D_ostracods.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/318_U1359D_nannofossils.csv,Interval Top (cm) on SHLF,Interval Bot (cm) on SHLF,Top Depth (m),Bottom Depth (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1339D_diatoms.csv,,,depth CSF-A (m),,,,,,,,
LIMS/Micropal_CSV_4/323_U1344E_planktic_forams.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/372_U1517C_other.csv,Top [cm],Bottom [cm],Top depth CSF-B (m):,Bottom depth CSF-B (m):,,"Expedition, site, hole, core, section, interval (cm):",,,,,
LIMS/Micropal_CSV_4/317_U1351_planktic_forams.csv,,,Top Depth [CSF m],,,,,,,,
LIMS/Micropal_CSV_4/323_U1339C_nannofossils.csv,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,,,,,,
LIMS/Micropal_CSV_4/317-U1352_benthic_forams.csv,,,Top Depth [CFS m],,,,,,,,
LIMS/Micropal_CSV_4/323_U1339A_diatoms.csv,Top [cm],Bottom [cm],Depth CSF-A (m),,,"Core, Section, Interval",,,,,
LIMS/Micropal_CSV_4/323_U1339_radiolarians.csv,,,Depth top CSF-A (m),Depth bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/320_U1334B_106_T09_planktic forams.csv,,,Depth CSF (m),,,,,,,,
LIMS/Micropal_CSV_4/323_U1340D_benthic_forams.csv,,,Depth top CSF-A (m),Depth bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1343_radiolarians.csv,,,Depth top CSF-A (m),Depth bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1341A_silicoflagellates.csv,,,depth Top (m),depth Bottom (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1344A_planktic_forams.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/323_U1342B_diatoms.csv,,,depth Top (m CSF-A),depth Bottom (m CSF-A),,,,,,,
LIMS/Micropal_CSV_4/323_U1341_palynology.csv,,,Top Depth CSF-A (m),Bottom Depth CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/317_U1354_planktic_forams.csv,,,Top Depth [CSF m],,,,,,,,
LIMS/Micropal_CSV_4/317_U1354_benthic_forams.csv,,,Top Depth [CFS m],,,,,,,,
LIMS/Micropal_CSV_4/323_U1342_silicoflagellates.csv,,,depth CSF-A Top (m),depth CSF-A Bottom (m),,,,,,,
LIMS/Micropal_CSV_4/320_U1336A_benthic_forams.csv,Top [cm],Bottom [cm],Depth (csf),,,"Core, section, interval (cm)",,,,,
LIMS/Micropal_CSV_4/323_U1345_dinoflagellates.csv,Top interval (cm),Bottom interval (cm),Top Depth (m) CSF-A,Bottom Depth (m) CSF-A,,,,,,,
LIMS/Micropal_CSV_4/323_U1343_palynology.csv,,,Depth top CSF-A (m),Depth bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1339C_benthic_forams.csv,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,,,,,,
LIMS/Micropal_CSV_4/323_U1344_silicoflagellates.csv,,,depth Top CSF-A (m),depth Bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/320_U1336B_108_T10_planktic forams.csv,Top [cm],Bottom [cm],,,,"Core, section, interval (cm)",,,,,
LIMS/Micropal_CSV_4/323_U1342A_diatoms.csv,,,depth Top (m CSF-A),depth Bottom (m CSF-A),,,,,,,
LIMS/Micropal_CSV_4/323_U1344A_benthic_forams.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/323_U1340A_silicoflagellates.csv,,,depth CSF-A Top (m),depth CSF-A Bottom (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1344_dinoflagellates.csv,,,Top Depth (m) CSF-A,Bottom Depth (m) CSF-A,,,,,,,
LIMS/Micropal_CSV_4/323_U1345A_diatoms.csv,,,Top CSF-A (m),Bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/320_U1331_benthic_forams.csv,Top [cm],Bottom [cm],Depth (csf),,,"Core, section, interval (cm)",,,,,
LIMS/Micropal_CSV_4/323_U1344_ostracods.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/321-U1337D_109_T09_rads.csv,,,top depth,bottom depth,,,,,,,
LIMS/Micropal_CSV_4/323_U1339B_nannofossils.csv,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,,,,,,
LIMS/Micropal_CSV_4/323_U1344_palynology.csv,,,Top Depth (m) CSF-A,Bottom Depth (m) CSF-A,,,,,,,
LIMS/Micropal_CSV_4/320_U1335_planktic_forams.csv,Top [cm],Bottom [cm],Depth CSF (m),,,interval (cm),,,,,
LIMS/Micropal_CSV_4/317_U1353_diatoms.csv,,,Top Depth CFS (m),,,,,,,,
LIMS/Micropal_CSV_4/323_U1341B_benthic_forams.csv,top interval (cm),bottom interval (cm),Depth top CSF-A (m),Depth bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1341A_ebridians.csv,,,depth Top (m),depth Bottom (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1345AB_benthic_forams.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/323_U1344D_diatoms.csv,,,depth Top CSF-A (m),depth Bottom CSF-A (m),,,,,,,
