expedition,taxon_group,original_abundance,normalized_abundance,definition,notes,type
323,diatoms,20.8,,,Depth/age in wrong spot,groups
323,diatoms,30.48,,,Depth/age in wrong spot,groups
382,benthic_forams,B,B,barren,,groups
383,benthic_forams,B,B,barren,,groups
327,benthic_forams,F,,,I think there's something wrong w/ the Exp numbers here,groups
328,benthic_forams,A,,,I think there's something wrong w/ the Exp numbers here,groups
329,benthic_forams,F,,,I think there's something wrong w/ the Exp numbers here,groups
331,benthic_forams,A,,,I think there's something wrong w/ the Exp numbers here,groups
332,benthic_forams,A,,,I think there's something wrong w/ the Exp numbers here,groups
333,benthic_forams,A,,,I think there's something wrong w/ the Exp numbers here,groups
334,benthic_forams,R,,,I think there's something wrong w/ the Exp numbers here,groups
335,benthic_forams,R,,,I think there's something wrong w/ the Exp numbers here,groups
336,benthic_forams,A,,,I think there's something wrong w/ the Exp numbers here,groups
337,benthic_forams,F,,,I think there's something wrong w/ the Exp numbers here,groups
338,benthic_forams,F,,,I think there's something wrong w/ the Exp numbers here,groups
345,benthic_forams,A,,,I think there's something wrong w/ the Exp numbers here,groups
360,benthic_forams,P,,,I think there's something wrong w/ the Exp numbers here,groups
380,benthic_forams,F,,,I think there's something wrong w/ the Exp numbers here,groups
381,benthic_forams,R,,,I think there's something wrong w/ the Exp numbers here,groups
384,benthic_forams,R,,,I think there's something wrong w/ the Exp numbers here,groups
385,benthic_forams,F,,,I think there's something wrong w/ the Exp numbers here,groups
386,benthic_forams,F,,,I think there's something wrong w/ the Exp numbers here,groups
387,benthic_forams,P,,,I think there's something wrong w/ the Exp numbers here,groups
388,benthic_forams,P,,,I think there's something wrong w/ the Exp numbers here,groups
389,benthic_forams,P,,,I think there's something wrong w/ the Exp numbers here,groups
390,benthic_forams,R,,,I think there's something wrong w/ the Exp numbers here,groups
326,benthic_forams,F,,,I think there's something wrong w/ the Exp numbers here. ,groups
317,benthic_forams,G,,,Likely preservation not abundance,groups
317,benthic_forams,M,,,Likely preservation not abundance,groups
317,nannofossils,M,,,Likely preservation not abundance,groups
320,radiolarians,G,,,Likely preservation not abundance,groups
320,radiolarians,M,,,Likely preservation not abundance,groups
323,benthic_forams,G,,,Likely preservation not abundance,groups
323,benthic_forams,M,,,Likely preservation not abundance,groups
323,diatoms,M-G,,,Likely preservation not abundance,groups
323,diatoms,P,,,Likely preservation not abundance,groups
323,diatoms,P-M,,,Likely preservation not abundance,groups
341,benthic_forams,G,,,Likely preservation not abundance,groups
342,planktic_forams,G,,,Likely preservation not abundance,groups
349,nannofossils,G,,,Likely preservation not abundance,groups
369,nannofossils,E,,,Likely preservation not abundance,groups
369,nannofossils,G,,,Likely preservation not abundance,groups
369,nannofossils,M,,,Likely preservation not abundance,groups
369,nannofossils,P,,,Likely preservation not abundance,groups
371,benthic_forams,E,,,Likely preservation not abundance,groups
371,benthic_forams,M,,,Likely preservation not abundance,groups
371,benthic_forams,VG,,,Likely preservation not abundance,groups
