Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Vozzhennikovia spp.,Thalassiphora pelagica,Spiniferites ramosus,Pyxidinopsis waipawaensis,Phthanoperidinium spp.,Operculodinium sp. B,Operculodinium sp. A,Operculodinium centrocarpum,Octodinium askiniae,Lejeunecysta spp.,Enneadocysta partridgei,Enneadocysta harrisii,Deflandrea phosphoritica group,Cordosphaeridium fibrospinosum,Areosphaeridium diktyoplokus,Arachnodinium antarcticum,Alterbidinium spp.,Impagidinium sp. a,Tectatodinium pellitum,Selenopemphix nephroides,Achilleodinium biformoides,Wilsonidinium ornatum,Spinidinium macmurdoense,Odontochitina operculata,Impagidinium sp.,Elytrocysta spp.,Circulodinium distinctum,Wetzeliella spp. (pars.),Pyxidinopsis sp.,Cassiculosphaeridium sp.,Cordosphaeridium minimum,Pentadinium goniferum,Hystrichosphaeridium tubiferum,Cerebrocysta bartonensis,Impagidinium victorianum,Impagidinium dispertitum,Hystrichostrogylon spp.,Spiniferites membranaceus,Corrudinium sp.,Hemiplacophora semilunifera,Glaphyrocysta exuberans,Fibrocysta axialis,Alterbidinium distinctum,Dapsilidinium pseudocolligerum,Turbiosphaera filosa,Systematophora placacantha,Samlandia chlamydophora,Enneadocysta pectiniformis,Stoveracysta kakanuiensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D,  6,R,CC,  21.00,    472.7200,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,C              ,G                 ,5                  ,1                     ,4                   ,                         ,                      ,4                   ,2                   ,1                          ,3                  ,10               ,3                      ,                     ,33                            ,                              ,1                           ,                         ,1                 ,3                 ,2                     ,1                       ,                          ,                     ,4                       ,                        ,3               ,5               ,1                       ,                        ,1               ,                        ,                        ,                     ,                              ,                        ,1                       ,                        ,                       ,                         ,1              ,                           ,                       ,                  ,1                       ,                              ,7                   ,1                         ,1                      ,1                         ,3                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D,  7,R,CC,  17.00,    479.8500,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,40                 ,2                     ,1                   ,                         ,                      ,5                   ,4                   ,1                          ,4                  ,15               ,6                      ,                     ,47                            ,                              ,1                           ,                         ,5                 ,3                 ,2                     ,4                       ,                          ,                     ,53                      ,                        ,3               ,15              ,                        ,                        ,                ,                        ,                        ,                     ,                              ,                        ,1                       ,1                       ,                       ,                         ,1              ,                           ,                       ,+                 ,7                       ,                              ,13                  ,2                         ,1                      ,1                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D,  8,R,CC,   0.00,    488.3500,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,72                 ,1                     ,                    ,                         ,8                     ,                    ,9                   ,                           ,7                  ,10               ,3                      ,                     ,30                            ,                              ,                            ,                         ,14                ,2                 ,                      ,3                       ,                          ,                     ,37                      ,                        ,                ,10              ,1                       ,                        ,                ,                        ,                        ,                     ,1                             ,                        ,                        ,                        ,                       ,                         ,1              ,                           ,                       ,                  ,7                       ,                              ,2                   ,1                         ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D,  9,R,CC,  10.00,    497.6600,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,C              ,G                 ,91                 ,                      ,2                   ,                         ,5                     ,                    ,6                   ,                           ,1                  ,6                ,4                      ,                     ,12                            ,                              ,                            ,                         ,15                ,2                 ,                      ,3                       ,                          ,                     ,17                      ,                        ,                ,5               ,                        ,                        ,                ,                        ,                        ,                     ,                              ,                        ,                        ,                        ,                       ,                         ,               ,                           ,                       ,                  ,1                       ,                              ,                    ,                          ,                       ,                          ,                         ,       
