Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Subbotina linaperta,Subbotina eocaena,Catapsydrax unicavus,Subbotina angiporoides,Paragloborotalia nana,Globigerina officinalis,Acarinina aculeata,Globorotaloides suteri,Globigerina labiacrassata,Tenuitellinata angustiumbilicata,Tenuitella munda,Tenuitella gemma,Chiloguembelina cubensis,Catapsydrax dissimilis,Globigerinita glutinata,Globigerina praebulloides,Comment
  IR,                 ,Late Eocene      ,                  ,SP10          ,189,1170,D, 17,R,CC,  17.00,    577.7700,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,+                  ,                 ,                    ,+                     ,                     ,+                      ,                  ,                      ,                         ,                                ,                ,                ,                        ,                      ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,SP10              ,SP9           ,189,1170,D, 18,R,CC,   0.00,    585.1000,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,+                  ,                 ,+                   ,+                     ,+                    ,+                      ,+                 ,                      ,                         ,                                ,                ,                ,                        ,                      ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 19,R,CC,  15.00,    596.9700,forams   ,Planktonic Foraminifers                      ,B              ,                  ,                   ,                 ,+                   ,                      ,                     ,                       ,                  ,                      ,                         ,                                ,                ,                ,                        ,                      ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,              ,189,1170,D, 26,R,CC,   8.00,    664.3200,forams   ,Planktonic Foraminifers                      ,T              ,M                 ,+                  ,                 ,                    ,                      ,                     ,                       ,                  ,                      ,                         ,                                ,                ,                ,                        ,                      ,                       ,                         ,only 1 specimen found
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,              ,189,1170,D, 28,R,CC,   9.00,    681.9600,forams   ,Planktonic Foraminifers                      ,T              ,P                 ,+                  ,                 ,                    ,                      ,                     ,                       ,                  ,                      ,                         ,                                ,                ,                ,                        ,                      ,                       ,                         ,only 1 specimen found
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,              ,189,1170,D, 33,R,CC,  13.00,    731.7400,forams   ,Planktonic Foraminifers                      ,R              ,G                 ,+                  ,+                ,                    ,                      ,                     ,                       ,                  ,                      ,                         ,                                ,                ,                ,                        ,                      ,                       ,                         ,a number of specimens
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,              ,189,1170,D, 34,R,CC,  21.00,    741.4800,forams   ,Planktonic Foraminifers                      ,               ,                  ,+                  ,                 ,                    ,                      ,                     ,                       ,                  ,                      ,                         ,                                ,                ,                ,                        ,                      ,                       ,                         ,a number of specimens
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,              ,189,1170,D, 35,R,CC,   0.00,    749.5500,forams   ,Planktonic Foraminifers                      ,R              ,G                 ,+                  ,                 ,                    ,                      ,                     ,                       ,                  ,                      ,                         ,                                ,                ,                ,                        ,                      ,                       ,                         ,only 1 specimen found
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,              ,189,1170,D, 36,R,CC,  19.00,    760.5600,forams   ,Planktonic Foraminifers                      ,R              ,G                 ,+                  ,                 ,                    ,                      ,                     ,                       ,                  ,                      ,                         ,                                ,                ,                ,                        ,                      ,                       ,                         ,a number of specimens
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,              ,189,1170,D, 37,R,CC,   0.00,    768.7300,forams   ,Planktonic Foraminifers                      ,R              ,G                 ,+                  ,                 ,                    ,                      ,                     ,                       ,                  ,                      ,                         ,                                ,                ,                ,                        ,                      ,                       ,                         ,Small specimens of ?Tu pomeroli?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,              ,189,1170,D, 38,R,CC,  25.00,    779.6900,forams   ,Planktonic Foraminifers                      ,R              ,G                 ,+                  ,                 ,                    ,                      ,                     ,                       ,                  ,                      ,                         ,                                ,                ,                ,                        ,                      ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
