Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sibogae,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus grandis,Hayaster perplexus,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Coronocyclus nitescens,Coccolithus pelagicus,Ceratolithus rugosus,Calcidiscus macintyrei,Braarudosphaera bigelowii,Discosphaera tubifera,Syracosphaera pulchra,Sphenolithus neoabies,Sphenolithus abies,Helicosphaera kamptneri,Calcidiscus leptoporus,Discoaster variabilis,Discoaster brouweri,Discoaster braarudii,Chiasmolithus altus,Rhabdosphaera clavigera,Reticulofenestra pseudoumbilicus,Gephyrocapsa aperta,Dictyococcites antarcticus,Reticulofenestra minutula,Helicosphaera sellii,Gephyrocapsa caribbeanica,Small Gephyrocapsa spp.,Scyphosphaera spp.,Reticulofenestra umbilica,Pseudoemiliania lacunosa,Pontosphaera japonica,Helicosphaera carteri,Reticulofenestra minuta,Dictyococcites productus,Reticulofenestra haqii,Reticulofenestra asanoi,Medium Gephyrocapsa spp.,Helicosphaera hyalina,Gephyrocapsa parallela,Oolithotus fragilis,Gephyrocapsa margerelii,Gephyrocapsa oceanica,Pontosphaera plana,Pontosphaera millepuncta,Helicosphaera inversa,Emiliania huxleyi,Coccolithus formosus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,NN21              ,NN20          ,182,1127,B,  1,H,CC,  26.00,      5.8300,Shafik   ,Nannofossils                                 ,C              ,G                 ,                       ,                       ,                          ,                    ,                  ,R                          ,                          ,                      ,                     ,                    ,                      ,F                        ,                     ,                     ,                     ,                  ,                       ,C                     ,                     ,                   ,                    ,                   ,                       ,                                ,F                  ,                          ,                         ,                    ,C                        ,                       ,                  ,                         ,                        ,                     ,F                    ,                       ,                        ,                      ,                       ,                        ,C                    ,                      ,                   ,                       ,A                    ,                  ,                        ,                     ,F                ,R                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1127,B,  2,H,CC,  12.00,     15.3400,Shafik   ,Nannofossils                                 ,C              ,G                 ,                       ,                       ,                          ,                    ,                  ,                           ,                          ,                      ,C                    ,                    ,                      ,                         ,                     ,                     ,                     ,                  ,                       ,C                     ,                     ,                   ,                    ,                   ,                       ,                                ,A                  ,                          ,                         ,                    ,                         ,A                      ,                  ,                         ,                        ,                     ,F                    ,                       ,                        ,                      ,                       ,                        ,F                    ,                      ,                   ,                       ,                     ,                  ,                        ,                     ,F                ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1127,B,  3,H,CC,  17.00,     23.3200,Shafik   ,Nannofossils                                 ,C              ,G                 ,                       ,                       ,                          ,                    ,                  ,                           ,                          ,                      ,F                    ,                    ,                      ,F                        ,                     ,                     ,                     ,                  ,                       ,C                     ,                     ,                   ,                    ,                   ,                       ,                                ,                   ,                          ,                         ,                    ,A                        ,A                      ,                  ,                         ,                        ,                     ,F                    ,                       ,                        ,                      ,                       ,                        ,C                    ,                      ,                   ,                       ,F                    ,                  ,                        ,                     ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1127,B,  4,H,CC,  16.00,     34.6300,Shafik   ,Nannofossils                                 ,C              ,G                 ,R                      ,                       ,                          ,                    ,                  ,                           ,                          ,                      ,C                    ,                    ,                      ,F                        ,                     ,                     ,                     ,                  ,                       ,C                     ,                     ,                   ,                    ,                   ,R                      ,                                ,                   ,                          ,                         ,                    ,C                        ,R                      ,                  ,                         ,                        ,                     ,F                    ,                       ,                        ,                      ,                       ,                        ,C                    ,                      ,                   ,                       ,F                    ,                  ,C                       ,F                    ,                 ,                    ,       
