Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pullenia bulloides,Uvigerina peregrina,Melonis pompilioides,Globobulimina affinis,Epistominella exigua,Bulimina marginata,Pyrgo spp.,Nuttallides umbonifera,Globocassidulina subglobosa,Fontbotia wuellerstorfi,Eggerella bradyi,Bolivina pseudopunctata,Melonis sp.,Melonis barleeanus,Lagena spp.,Gyroidinoides spp.,Valvulineria laevigata,Nonionella atlantica,Oridorsalis umbonatus,Nodosaria spp.,Chilostomella oolina,Stilostomella spp.,Cibicidoides kullenbergi,Cassidulina carinata,Uvigerina auberiana,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,C,  1,H,CC,   0.00,      5.6800,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,F                 ,T                  ,                    ,T                    ,                    ,T                 ,          ,                      ,                           ,                       ,                ,                       ,           ,                  ,R          ,                  ,F                     ,                    ,                     ,              ,                    ,                  ,                        ,R                   ,T                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,C,  2,H,CC,  12.00,     15.3100,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,                  ,F                  ,R                   ,F                    ,                    ,                  ,          ,                      ,                           ,                       ,                ,                       ,           ,                  ,           ,                  ,T                     ,                    ,                     ,              ,C                   ,                  ,T                       ,R                   ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,C,  3,H,CC,   0.00,     24.8100,Poli     ,Benthic Foraminifers                         ,T              ,M                 ,+                 ,                   ,+                   ,+                    ,                    ,+                 ,          ,                      ,                           ,                       ,                ,                       ,           ,                  ,           ,                  ,                      ,                    ,                     ,              ,+                   ,+                 ,                        ,                    ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,C,  4,H,CC,   0.00,     34.5100,Poli     ,Benthic Foraminifers                         ,R              ,G                 ,                  ,+                  ,+                   ,+                    ,                    ,+                 ,          ,+                     ,                           ,                       ,                ,                       ,           ,                  ,           ,+                 ,                      ,                    ,                     ,              ,                    ,                  ,                        ,                    ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,C,  5,H,CC,  17.00,     44.1200,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,F                 ,C                  ,F                   ,                     ,                    ,                  ,          ,C                     ,                           ,                       ,                ,T                      ,           ,                  ,T          ,                  ,                      ,                    ,                     ,              ,                    ,                  ,                        ,                    ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
