Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Toweius pertusus,Toweius eminens,Sphenolithus primus,Sphenolithus anarrhopus,Neochiastozygus digitosus,Markalius inversus,Fasciculithus involutus,Ellipsolithus macellus,Ellipsolithus distichus,Cruciplacolithus tenuis,Chiasmolithus danicus,Chiasmolithus consuetus,Fasciculithus tympaniformis,Fasciculithus lillianae,Discoaster multiradiatus,Coccolithus pelagicus,Campylosphaera eodela,Lophodolithus nascens,Heliolithus kleinpellii,Discoaster diastypus,Neochiastozygus junctus,Tribrachiatus bramlettei,Discoaster salisburgensis,Discoaster barbadiensis,Cruciplacolithus frequens,Tribrachiatus orthostylus,Toweius crassus,Sphenolithus radians,Chiasmolithus expansus,Campylosphaera dela,Coccolithus eopelagicus,Discoaster lodoensis,Chiasmolithus solitus,Ericsonia formosa,Discoaster sublodoensis,Discoaster kuepperi,Chiasmolithus grandis,Rhabdosphaera inflata,Discoaster saipanensis,Nannotetrina fulgens,Sphenolithus stellatus,Chiasmolithus gigas,Nannotetrina cristata,Discoaster strictus,Zygrhablithus bijugatus,Nannotetrina pappii,Sphenolithus furcatolithoides,Reticulofenestra umbilica,Bramletteius serraculoides,Pseudotriquetrorhabdulus inversus,Discoaster tanii,Sphenolithus orphanknollensis,Rhabdosphaera morionum,Cyclicargolithus gammation,Reticulofenestra dictyoda,Pemma papillatum,Neococcolithes minutus,Cribrocentrum reticulatum,Sphenolithus predistentus,Chiasmolithus titus,Dictyococcites bisectus,Sphenolithus obtusus,Discoaster nodifer,Chiasmolithus oamaruensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15a         ,171,1051,B,  2,H, 1,   2.00,      4.8200,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,                     ,                 ,                       ,                   ,                     ,                     ,+                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,+                        ,+                         ,                                 ,                ,                             ,                      ,                          ,                         ,                ,+                     ,+                        ,                         ,                   ,+                      ,                    ,                  ,                         ,"C. grandis very rare, probably reworked. C. oamurensis in underlying 2H-CC indicates CP15a"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15a         ,171,1051,B,  2,H,CC,  25.00,     14.8100,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,                       ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,                     ,                 ,                       ,                   ,                     ,                     ,+                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,+                        ,+                         ,                                 ,+               ,                             ,                      ,                          ,                         ,+               ,                      ,+                        ,                         ,                   ,+                      ,                    ,+                 ,+                        ,rare C. grandis reworked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14b         ,171,1051,B,  3,H,CC,  21.00,     23.9400,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,+                      ,                    ,                     ,                 ,                       ,                   ,+                    ,                     ,+                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,+                        ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,+                      ,                    ,+                 ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14b         ,171,1051,B,  4,H,CC,  38.00,     33.7000,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,                       ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,                     ,+                ,                       ,                   ,+                    ,                     ,                      ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,+                        ,+                         ,                                 ,+               ,                             ,                      ,                          ,                         ,                ,                      ,+                        ,                         ,                   ,+                      ,+                   ,                  ,                         ,       
