Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	siphocampid taxa	Eucyrtidium (?) sp.	Botryostrobus joides group	Lophocyrtis norvegiensis	Calocyclas talwanii	Siphocampe minuta	Spongurus spp. C	Prunopyle(?) sp.	Lithelid gen. et sp. indet	Botryocampe sp.	Tetrapyle(?) sp. A	Spongurus(?) spp. A  group	Siphocampe sp. cf. S. minuta	Periryramis magnifica	Lophophaena macrencephala	Heterosestrum sexispinatum rotundum	Corythospyris palmipodiscus	Sphaerostylus cristatus group	Lophophaena clevei	Lophocyrtis litos group	Cornutella sp. aff. californica	Cornutella sp.	Stylatractus sp. A	Siphocampe stathmeporoides	Siphocampe acephala	Stylodictya targaeformis	Artostrobus quadriporus	Actinomma sp. A	Siphocampe sp. B	Siphocampe sp. A	Siphocampe imbricata group	Peripyramis sp. aff. P. magnifica	Actinomma (?) spp. B group	Artostrobus (?) sp.	Lophocyrtis semipolita group	Porodiscus sp.	Cornutella profunda	Ceratocyrtis sp. cf. cucullaris	Stylatractus sp. B	Botryopera (?) pseudoantarctissa	Lophocyrtis sp.	Siphocampe elizabethae	Lophocyrtis andriashevi	Hexacontium hexactis (?) 	Botryostrobus sp. aff. kerguelensis	Siphocampe septata	Siphocampe sp. aff. stathmeporoides	Pseudodictyophimus sp. A	Actinomma sp. cf. A.holtedahli	Pseudodictyophimus platycephalus	Nassellaria gen. et sp. indet.	Actinomma sp. D	Spongocore sp.	Stylodictya aculeata	Stylodictya validispina	Siphocampe arachnea	Cornutella clathrata	Antarctissa robusta	Comment



  SR	Middle Miocene   	                 	                  	              	151	 913	B	 19	W	 4	 139.00	    381.0900	Hull     	Radiolarians                                 	               	G                 	A               	                   	                          	                        	                   	                 	                	                	                          	               	                  	                          	                            	                     	                         	                                   	                           	                             	                  	                       	                               	              	                  	                          	                   	                        	                       	               	                	                	                          	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	F                      	A                  	C                   	A                  	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Miocene   	                 	                  	              	151	 913	B	 19	W	 5	  70.00	    381.9000	Hull     	Radiolarians                                 	               	G                 	C               	                   	                          	                        	                   	                 	                	                	                          	               	                  	                          	                            	                     	                         	                                   	                           	                             	                  	                       	                               	              	                  	                          	                   	                        	                       	               	                	                	                          	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	F                      	A                  	C                   	A                  	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Late Eocene      	Early Oligocene  	                  	              	151	 913	B	 23	R	 1	  73.00	    453.1300	Hull     	Radiolarians                                 	               	M                 	A               	                   	                          	                        	                   	                 	                	                	C                         	               	                  	                          	                            	                     	                         	                                   	R                          	                             	                  	                       	                               	              	                  	R                         	F                  	                        	                       	               	                	                	                          	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	F                 	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Late Eocene      	Early Oligocene  	                  	              	151	 913	B	 24	R	 1	 140.00	    463.4000	Hull     	Radiolarians                                 	               	P                 	A               	                   	T                         	                        	                   	                 	                	                	F                         	               	                  	                          	                            	                     	                         	                                   	                           	                             	                  	                       	                               	              	                  	F                         	                   	                        	                       	               	                	T               	T                         	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	A                                  	                        	                              	                                	                              	               	R             	T                   	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128
