Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Xanthiopyxis panduraeformis	Trinacria excavata	Trinacria cornuta	Triceratium spp.	Triceratium inconspicuum var. trilobata	Triceratium inconspicuum	Stephanopyxis turris	Stellarima spp.	Solium exculptum	Pseudotriceratium chenevieri	Pseudopyxilla spp.	Paralia sulcata	Hemiaulus spp.	Coscinodiscus spp.	Brightwellia sp.	Amphitetras subcoronata	Alaucodiscus spp.	Xanthiopyxis spp.	Tubaformis cf. unicornis	Trochosira coronata	Thalassiosira dubiosa	Spores other resting	Sceptroneis mayenica	Sceptroneis grunowii	Riedelia spp.	Pterotheca spp.	Pterotheca aculeifera	Pteriptera spp.	Pseudopodosira spp.	Paralia crenulata	Naviculata udintsevii	Monobrachia spp.	Hemiaulus polymorphus	Hemiaulus polycystinorum	Hemiaulus hostilis	Distephanosira architecturalis	Diatom cetae	Costopyxis trochlea	Coscinodiscus oligocenicus	Chasea spp.	Chaetoceros spp.	Cestodiscus sp. A	Actinoptychus undulatus	Actinoptychus irregularis	Thalassiosira media/convexa	Stictodiscus kittonianus	Sceptroneis pesplanus	Rhizosolenia spp.	Rhaphoneis sp.	Odontotropis carinata	Mastogloia sp.	Cymatosira sp. A	Cocconeis spp.	Clavicula polymorpha	Cestodiscus sp. B	Actinoptychus spp.	Actinoptychus senarius	"Rhizosolenia" spp.	Monobrachia unicornitis	Grammatophora spp.	Praecymatosira sp.	Azpeitia tuberculata var. atlantica	Asterolampra spp.	Asterolampra aff. vulgaris	Pseudostictodiscus picus	Porotheca danica	Hemiaulus incisus	Hemiaulus elegans	Hemiaulus dissimilis	Glyphodiscus spp.	Endictya spp.	Drepanotheca bivittata	Arachnoidiscus spp.	"Detonia?" sp. B	Thalassiosira spp.	Riedelia claviger	Hyalodiscus sp.	Grunowiella gemmata	Diploneis spp.	Cestodiscus sp. C	Asterolampra insignis	Actinoptychus hexagonus var.tenella	Coscinodiscus aff. tenerrimus	Sceptroneis aff. tenue	Rhizosolenia palleola	Rhaphoneis amphiceros	Odontella sp.	Neosynedra sp.	Neodelphineis sp.	Gephyria spp.	Eunotogramma spp.	Asterolampra punctifera	Asterolampra affinis	Comment



  SR	Late Eocene      	Early Oligocene  	A. irregularis    	              	151	 913	B	 24	R	 3	  65.00	    465.6500	Scherer  	Diatoms                                      	F              	P                 	F                          	R                 	                 	                	                                       	                        	F                   	R              	                	                            	R                 	F              	R             	                  	                	                       	                 	F                	C                       	R                  	R                    	F                   	                    	R                   	R            	F              	                     	               	F                  	R                	F                    	R               	                     	R                       	                  	R                             	F           	F                  	R                         	F          	F               	R                	                       	R                        	                           	                        	                     	                 	              	                     	              	                	              	                    	                 	                  	                      	F                  	R                      	                  	                  	                                   	                 	                          	                        	                	                 	                 	                    	                 	F            	                      	                   	                	R                 	R                	               	R                  	              	R                	                     	                                   	                             	                      	                     	                     	             	              	                 	             	                 	                       	                    	from Leg 151; Ch 5; Fig. 2; Tables 4&5; pp. 77-85,,,,,

  SR	Late Eocene      	Early Oligocene  	A. irregularis    	              	151	 913	B	 24	R	CC	   0.00	    469.0800	Scherer  	Diatoms                                      	A              	G                 	F                          	F                 	                 	                	                                       	                        	C                   	F              	                	R                           	F                 	F              	F             	F                 	                	                       	                 	F                	C                       	R                  	R                    	C                   	R                   	R                   	R            	F              	F                    	F              	F                  	F                	F                    	R               	R                    	F                       	R                 	F                             	C           	F                  	F                         	F          	F               	C                	R                      	C                        	                           	R                       	                     	R                	R             	                     	              	F               	R             	R                   	R                	R                 	                      	R                  	                       	                  	                  	F                                  	R                	                          	                        	R               	R                	                 	F                   	                 	R            	                      	                   	                	                  	R                	R              	                   	              	                 	R                    	                                   	F                            	R                     	R                    	R                    	R            	R             	R                	R            	R                	R                      	R                   	from Leg 151; Ch 5; Fig. 2; Tables 4&5; pp. 77-85,,,,,

  SR	Late Eocene      	Early Oligocene  	A. irregularis    	              	151	 913	B	 25	R	 3	  43.00	    475.0300	Scherer  	Diatoms                                      	C              	G                 	F                          	F                 	                 	                	                                       	                        	C                   	F              	                	                            	                  	F              	F             	F                 	                	                       	                 	F                	F                       	R                  	R                    	A                   	R                   	F                   	R            	F              	R                    	R              	R                  	F                	F                    	                	F                    	F                       	R                 	F                             	A           	F                  	F                         	F          	F               	C                	R                      	F                        	                           	                        	R                    	                 	R             	                     	              	R               	              	                    	F                	                  	R                     	R                  	                       	R                 	                  	R                                  	R                	                          	                        	R               	                 	R                	                    	                 	R            	                      	                   	                	                  	F                	R              	                   	R             	                 	R                    	                                   	R                            	                      	                     	                     	             	              	                 	             	                 	                       	                    	from Leg 151; Ch 5; Fig. 2; Tables 4&5; pp. 77-85,,,,,

  SR	Late Eocene      	Early Oligocene  	A. irregularis    	              	151	 913	B	 25	R	 5	  49.00	    478.0900	Scherer  	Diatoms                                      	C              	G                 	F                          	F                 	                 	                	                                       	                        	C                   	F              	                	                            	R                 	F              	F             	F                 	                	                       	                 	F                	F                       	R                  	R                    	A                   	F                   	C                   	R            	F              	R                    	F              	R                  	C                	C                    	R               	F                    	F                       	R                 	C                             	A           	C                  	F                         	C          	F               	F                	R                      	F                        	                           	                        	R                    	                 	R             	                     	              	                	              	R                   	F                	                  	R                     	R                  	R                      	                  	                  	R                                  	R                	R                         	R                       	F               	R                	                 	                    	                 	             	R                     	                   	R               	R                 	F                	R              	R                  	R             	R                	R                    	R                                  	                             	                      	                     	                     	             	              	                 	             	                 	                       	                    	from Leg 151; Ch 5; Fig. 2; Tables 4&5; pp. 77-85,,,,,
