Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylosphaera angelina	Stichocorys sp. P	Stichocorys delmontensis	Lipmanella redondoensis	Axoprunum acquilonius	Sphaeropyle robusta	Diplocyclas cornutoides	Cornutella profunda	Sphaeropyle langii	Eucyrtidium cienkowskii	Botryostrobus aquilonaris	Androcyclas neoheteroporos	Lithocarpium titan	Lithocarpium polyacantha	Eucyrtidium calvertense	Botryostrobus auritus/australis	Diplocyclas davisiana	Comment



  SR	Late Pliocene    	                 	D. cornutoides    	              	145	 883	C	  9	H	CC	  20.00	     79.3400	Shilov   	Radiolarians                                 	A              	G                 	F                    	                 	                        	                       	C                    	                   	A                      	F                  	R                 	                       	R                        	                          	                  	                        	                       	                               	C                    	D. davisiana is recorded as F-C; from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Late Pliocene    	                 	D. cornutoides    	              	145	 883	C	 10	H	CC	   6.00	     88.8700	Shilov   	Radiolarians                                 	C              	G                 	R                    	                 	                        	                       	R                    	                   	R                      	                   	                  	                       	R                        	                          	                  	                        	                       	                               	C                    	from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Late Pliocene    	                 	D. cornutoides    	              	145	 883	C	 11	H	CC	  20.00	     98.5600	Shilov   	Radiolarians                                 	R              	G                 	                     	                 	                        	                       	R                    	R                  	F                      	R                  	                  	                       	R                        	                          	                  	                        	                       	                               	F                    	D. cornutoides and D. davisiana are recorded as R-F;  from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Late Pliocene    	                 	D. cornutoides    	              	145	 883	C	 12	H	CC	   6.00	    107.6200	Shilov   	Radiolarians                                 	R              	M                 	                     	                 	                        	                       	F                    	                   	                       	                   	                  	                       	                         	                          	                  	                        	                       	                               	R                    	A. acquilonius is recorded as R-F;  from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Late Pliocene    	                 	D. cornutoides    	              	145	 883	C	 13	H	CC	   8.00	    117.5500	Shilov   	Radiolarians                                 	R              	M                 	                     	                 	                        	                       	F                    	                   	                       	R                  	                  	                       	                         	                          	                  	                        	                       	                               	R                    	from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Late Pliocene    	                 	A. acquilonius    	              	145	 883	C	 14	H	CC	   7.00	    126.4100	Shilov   	Radiolarians                                 	R              	M                 	C                    	                 	                        	                       	C                    	                   	F                      	R                  	                  	                       	                         	                          	                  	                        	                       	                               	                     	from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Late Pliocene    	                 	A. acquilonius    	              	145	 883	C	 15	H	CC	   7.00	    136.3700	Shilov   	Radiolarians                                 	R              	M                 	R                    	                 	                        	                       	F                    	                   	R                      	R                  	                  	                       	R                        	                          	                  	                        	                       	                               	                     	from Leg 145 SR; Ch 5; Table 4; p 101

