Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Pseudoemiliania lacunosa,Helicosphaera sellii,Helicosphaera carteri,Gephyrocapsa spp. (small),Pontosphaera spp.,Gephyrocapsa caribbeanica,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Reticulofenestra minutula,Reticulofenestra asanoi,Braarudosphaera bigelowii,Syracosphaera pulchra,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C,  1,R, 1,  30.00,     84.9000,Su       ,Nannofossils                                 ,T              ,M                 ,F                    ,                      ,                      ,                        ,                    ,                     ,C                        ,                 ,                         ,C                     ,                     ,                         ,                       ,                         ,                     ,C                ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C,  1,R,CC,   5.00,     85.2100,Su       ,Nannofossils                                 ,               ,M-G               ,R                    ,                      ,                      ,                        ,                    ,                     ,A                        ,                 ,                         ,F                     ,                     ,                         ,                       ,                         ,                     ,C                ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C,  2,R,CC,  10.00,     94.3000,Su       ,Nannofossils                                 ,T              ,M-G               ,F                    ,                      ,                      ,                        ,                    ,                     ,C                        ,                 ,                         ,F                     ,                     ,                         ,                       ,                         ,                     ,F                ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C,  3,R,CC,  20.00,    104.2800,Su       ,Nannofossils                                 ,T              ,G                 ,F                    ,                      ,+                     ,                        ,                    ,                     ,F                        ,                 ,                         ,                      ,                     ,                         ,                       ,                         ,                     ,D                ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Cenozoic         ,                 ,                  ,              ,168,1026,C,  4,R, 1,  34.00,    113.8400,Su       ,Nannofossils                                 ,P              ,M                 ,                     ,                      ,                      ,                        ,                    ,                     ,A                        ,                 ,T                        ,T                     ,                     ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C,  5,R, 1,  21.00,    123.3100,Su       ,Nannofossils                                 ,R              ,M-G               ,R                    ,                      ,                      ,                        ,                    ,                     ,D                        ,                 ,C                        ,R                     ,                     ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
