Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra pseudoumbilicus	Pseudoemiliania lacunosa	Discoaster surculus	Discoaster pentaradiatus	Calcidiscus macintyrei (>11 um)	Discoaster triradiatus	Ceratolithus spp.	Calcidiscus leptoporus	Ceratolithus rugosus	Helicosphaera carteri	Coccolithus pelagicus	Helicosphaera sellii	Discoaster brouweri	Gephyrocapsa (small)	Ceratolithus telesmus	Gephyrocapsa oceanica s.l.	Gephyrocapsa large	Sphenolithus spp.	Sphenolithus heteromorphus	Gephyrocapsa sp. 3	Cyclicargolithus floridanus	Emiliania huxleyi	Comment



  IR	                 	                 	CN15              	              	167	1014	B	  1	H	CC	  20.00	      3.1100	Fornaciari	Nannofossils                                 	A              	G                 	                                	                        	                   	                        	                               	                      	                 	                      	                    	                     	C                    	                    	                   	C                   	                     	C                         	                  	                 	                          	                  	                           	+                	from IR. Ch 8. Table 5.

  IR	                 	                 	CN14b             	CN15          	167	1014	B	  2	H	CC	  21.00	     13.0700	Fornaciari	Nannofossils                                 	A              	M/G               	                                	RR                      	                   	                        	                               	                      	+                	F                     	                    	R                    	                     	                    	                   	                    	                     	C                         	R                 	                 	                          	+                 	                           	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	                  	              	167	1014	B	  3	H	CC	  34.00	     22.4000	Fornaciari	Nannofossils                                 	F              	P                 	                                	R                       	                   	                        	                               	                      	                 	                      	                    	F                    	A                    	                    	                   	+                   	                     	+                         	                  	R                	                          	                  	                           	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN14b             	CN15          	167	1014	B	  4	H	CC	  33.00	     32.0000	Fornaciari	Nannofossils                                 	A              	G                 	                                	                        	                   	                        	                               	                      	R                	R                     	                    	F/C                  	C                    	                    	                   	A                   	                     	C                         	                  	                 	                          	R                 	                           	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN14a             	              	167	1014	B	  5	H	CC	  27.00	     41.5100	Fornaciari	Nannofossils                                 	A              	G                 	                                	C                       	                   	                        	                               	                      	                 	F                     	                    	R                    	                     	                    	                   	A                   	                     	R/F                       	                  	                 	                          	                  	                           	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN14a             	              	167	1014	B	  6	H	CC	  34.00	     51.3300	Fornaciari	Nannofossils                                 	A              	G                 	+                               	+                       	                   	                        	                               	                      	                 	R                     	                    	R                    	C                    	                    	                   	A                   	                     	R                         	                  	+                	+                         	RR                	+                          	                 	few to common reworked taxa.from IR. Ch 8. Table 5.

  IR	                 	                 	CN13b             	              	167	1014	B	  7	H	CC	  18.00	     60.7000	Fornaciari	Nannofossils                                 	F              	P                 	                                	+                       	                   	                        	                               	                      	                 	                      	                    	                     	                     	                    	                   	+                   	                     	                          	                  	                 	                          	                  	                           	                 	from IR. Ch 8. Table 5.

