Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra sp.,Cyclicargolithus floridanus,Coccolithus pelagicus,Cyclicargolithus abisectus,Comment
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,Early Miocene    ,                  ,              ,133, 825,B,  5,R,CC,   8.00,    408.4800,Wei      ,Nannofossils                                 ,R              ,P                 ,                    ,F                          ,F                    ,R                         ,from ODP 133 SR Chapter 2 Figure 10 p 31
,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,Early Miocene    ,                  ,              ,133, 825,B,  7,R, 1,  72.00,    428.4200,Wei      ,Nannofossils                                 ,R              ,P                 ,                    ,R                          ,F                    ,                          ,from ODP 133 SR Chapter 2 Figure 10 p 31
,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,Early Miocene    ,                  ,              ,133, 825,B,  8,R, 1,  35.00,    437.7500,Wei      ,Nannofossils                                 ,R              ,P                 ,                    ,R                          ,                     ,                          ,from ODP 133 SR Chapter 2 Figure 10 p 31
,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,Early Miocene    ,                  ,              ,133, 825,B,  9,R, 1,   1.00,    447.0100,Wei      ,Nannofossils                                 ,R              ,P                 ,R                   ,R                          ,R                    ,                          ,from ODP 133 SR Chapter 2 Figure 10 p 31
,,,,,,,,,,,,,,,,,,,,,
