Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus verensis	Sphenolithus moriformis	Sphenolithus heteromorphus	Reticulofenestra "small"	Helicosphaera carteri	Helicosphaera ampliaperta	Discoaster deflandrei	Cyclicargolithus floridanus	Coccolithus miopelagicus	Calcidiscus leptoporus	Reticulofenestra pseudoumbilicus	Coronocyclus nitescens	Pontosphaera discopora	Calcidiscus macintyrei	Discoaster variabilis	Discoaster exilis	Discoaster kugleri	Discoaster berggrenii	Triquetrorhabdulus farnsworthii	Helicosphaera sellii	Discoaster surculus	Sphenolithus abies	Discoaster quinqueramus	Pseudoemiliania lacunosa	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Ceratolithus telesmus	Gephyrocapsa sinuosa	Coccolithus pelagicus	Discoaster intercalaris	Gephyrocapsa aperta	Discoaster pentaradiatus	Helicosphaera scissura	Comment



  IR	                 	                 	                  	              	170	1040	C	  1	R	CC	  14.00	    166.9400	Muza     	Nannofossils                                 	F              	M                 	                     	                       	                          	F                       	F                    	                         	                     	                           	                        	                      	                                	                      	                      	                      	                     	                 	                  	                     	                               	rR                  	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	R                     	x

  IR	                 	                 	                  	              	170	1040	C	  2	R	CC	  17.00	    175.2400	Muza     	Nannofossils                                 	F              	P                 	                     	                       	                          	F                       	                     	                         	                     	                           	                        	R                     	                                	                      	                      	                      	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	R                    	                       	                   	                        	                      	x

  IR	                 	                 	                  	              	170	1040	C	  3	R	CC	  14.00	    184.9900	Muza     	Nannofossils                                 	F              	                  	                     	F                      	                          	F                       	                     	                         	                     	                           	rR                      	R                     	                                	                      	                      	                      	                     	                 	                  	                     	                               	rR                  	                   	rR                	                       	                        	R                    	                         	                     	                    	                     	                       	                   	                        	                      	x

  IR	                 	                 	                  	              	170	1040	C	  6	R	CC	  34.00	    215.1400	Muza     	Nannofossils                                 	F              	P                 	                     	                       	                          	F                       	                     	                         	                     	                           	                        	                      	                                	                      	                      	                      	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	F                        	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	                 	                  	              	170	1040	C	  7	R	CC	  22.00	    222.3600	Muza     	Nannofossils                                 	R              	P                 	                     	                       	                          	R                       	                     	                         	                     	                           	                        	                      	                                	                      	                      	                      	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	R                   	                     	                       	                   	R                       	                      	       

  IR	                 	                 	                  	              	170	1040	C	  8	R	CC	   0.00	    233.2100	Muza     	Nannofossils                                 	R              	P                 	                     	                       	                          	                        	R                    	                         	                     	                           	                        	                      	                                	                      	                      	                      	                     	                 	                  	                     	                               	rR                  	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	R                  	                        	                      	       

