Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Neogloboquadrina continuosa,Neogloboquadrina atlantica (dextral),Globigerina bulloides,Neogloboquadrina atlantica (sinistral),Neogloboquadrina acostaensis,Globigerinita glutinata,Globigerina falconensis,Globigerina quinqueloba,Orbulina universa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 642,C,  1,H, 2,  82.00,      2.3200,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,A                                      ,                                     ,                           ,                                    ,                     ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 642,C,  1,H,CC,   7.00,      3.2600,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,F                                      ,R                                    ,                           ,                                    ,                     ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 642,C,  2,H, 2,  28.00,      5.1800,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,A                                      ,                                     ,                           ,                                    ,                     ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 642,C,  2,H, 4,  28.00,      8.1800,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,C                                      ,                                     ,                           ,                                    ,                     ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 642,C,  2,H, 6,  28.00,     11.1800,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,C                                      ,                                     ,                           ,                                    ,                     ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 642,C,  2,H,CC,   7.00,     13.0200,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,F                                      ,                                     ,                           ,                                    ,                     ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 642,C,  3,H, 2,  28.00,     14.9800,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,A                                      ,                                     ,                           ,                                    ,                     ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
