Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Bolboforma reticulata,Bolboforma spinosa,Bolboforma pseudohystrix,Bolboforma laevis,Bolboforma compressispinosa,Bolboforma badenensis,Bolboforma voeringensis,Bolboforma compressibadenensis,Bolboforma aculeata,Bolboforma subfragori,Bolboforma fragori,Bolboforma clodiusi,Bolboforma metzmacheri,Bolboforma c. costairregularis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. costairregularis,              ,104, 642,C, 11,H, 4,  74.00,     78.2400,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,                        ,                 ,                           ,                     ,                       ,                              ,                   ,                     ,                  ,                   ,                      ,C                             ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. costairregularis,              ,104, 642,C, 11,H, 5,  74.00,     79.7400,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,                        ,                 ,                           ,                     ,                       ,                              ,                   ,                     ,                  ,                   ,                      ,C                             ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. costairregularis,              ,104, 642,C, 11,H, 6,  74.00,     81.2400,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,                        ,                 ,                           ,                     ,                       ,                              ,                   ,                     ,                  ,                   ,                      ,A                             ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,C, 14,H, 3,  73.00,    105.2300,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,                        ,                 ,                           ,                     ,                       ,                              ,                   ,                     ,                  ,                   ,                      ,R                             ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,C, 16,H, 2,  74.00,    122.7400,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,                        ,R                ,                           ,                     ,                       ,                              ,                   ,                     ,                  ,                   ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. metzmacheri    ,              ,104, 642,C, 16,H, 3,  74.00,    124.2400,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,                        ,                 ,                           ,                     ,                       ,                              ,                   ,                     ,                  ,                   ,C                     ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
