Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Krithe cf. glacialis,Rabilimis mirabilis,Pterygocythereis mucronata,Hendryhowella asperrima,Comment
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,C,  4,H, 4,  32.00,     27.9200,Malz     ,Ostracodes                                   ,               ,                  ,+                   ,                   ,                          ,                       ,Total specimens = 1; from ODP 104 SR  Chapter 38  Table 3 p 771
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,C,  9,H, 1, 116.00,     61.8600,Malz     ,Ostracodes                                   ,               ,                  ,                    ,                   ,                          ,+                      ,Total specimens = 2; from ODP 104 SR  Chapter 38  Table 3 p 771
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,C, 10,H, 4, 113.00,     69.1300,Malz     ,Ostracodes                                   ,               ,                  ,                    ,                   ,                          ,+                      ,Total specimens = 1; from ODP 104 SR  Chapter 38  Table 3 p 771
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,C, 10,H, 6, 113.00,     72.1300,Malz     ,Ostracodes                                   ,               ,                  ,+                   ,                   ,                          ,                       ,Total specimens = 1; from ODP 104 SR  Chapter 38  Table 3 p 771
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,C, 11,H, 1, 114.00,     74.1400,Malz     ,Ostracodes                                   ,               ,                  ,                    ,+                  ,+                         ,                       ,Total specimens = 3; from ODP 104 SR  Chapter 38  Table 3 p 771
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,C, 11,H, 6, 114.00,     81.6400,Malz     ,Ostracodes                                   ,               ,                  ,+                   ,                   ,                          ,                       ,Total specimens = 2; from ODP 104 SR  Chapter 38  Table 3 p 771
,,,,,,,,,,,,,,,,,,,,,
