Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Concavatotruncana canaliculata	Concavatotruncana algeriana/imbricata	Rugoglobigerina sp.	Heterohelix reussi	Hedbergella aff. monmouthensis	Globotruncana sp.	Globigerinelloides sp. 1	Globigerinelloides impensus	Heterohelix globulosa	Hedbergella sliteri	Archaeoglobigerina australis	Heterohelix planata	Globigerinelloides multispinus	Subbotina triloculinoides	Subbotina pseudobulloides	Eoglobigerina trivialis	Chiloguembelina midwayensis	Globoconusa daubjergensis	Globanomalina compressa	Eoglobigerina eobulloides	Eoglobigerina edita	Subbotina patagonica	Planorotalites australiformis	Morozovella subbotinae	Morozovella marginodentata	Chiloguembelina wilcoxensis	Acarinina wilcoxensis	Acarinina soldadoensis	Morozovella aequa	Subbotina frontosa	Morozovella lensiformis	Globigerinatheka senni	Subbotina inaequispira	Morozovella formosa	Acarinina angulosa	Acarinina pseudotopilensis	Acarinina pentacamerata	Acarinina appressocamerata	Globigerinatheka index	Acarinina matthewsae	Tenuitellinata insolita	Subbotina linaperta	Subbotina angiporoides	Pseudohastigerina micra	Globorotaloides suteri	Chiloguembelina cubensis	Catapsydrax unicavus	Acarinina spp.	Acarinina primitiva	Subbotina eocaena	Subbotina brevis	Tenuitella gemma	Catapsydrax dissimilis	Acarinina bullbrooki	Tenuitella munda	Globigerina labiacrassata	Globigerinita juvenilis	Globigerina euapertura	Comment



  SR	Late Oligocene   	                 	AP15              	              	120	 747	C	  1	R	 1	  41.00	    159.4100	Berggren 	Planktonic Foraminifers                      	A              	M                 	                              	                                     	                   	                  	                              	                 	                        	                           	                     	                   	                            	                   	                              	                         	                         	                       	                           	                         	                       	                         	                   	                    	                             	                      	                          	                           	                     	                      	                 	                  	                       	                      	                      	                   	                  	                          	                       	                          	R                     	                    	                       	                   	rF                    	                       	R                     	                        	R                   	              	F                  	                 	                	R               	F                     	R                   	R               	R                        	R                      	R                     	from ODP Leg 120 SR Vol 2 Chapter 31 Appendix B back pocket microfiche

  SR	Early Oligocene  	                 	AP14(Berggren92)  	              	120	 747	C	  1	R	 2	  41.00	    160.9100	Berggren 	Planktonic Foraminifers                      	A              	M                 	                              	                                     	                   	                  	                              	                 	                        	                           	                     	                   	                            	                   	                              	                         	                         	                       	                           	                         	                       	                         	                   	                    	                             	                      	                          	                           	                     	                      	                 	                  	                       	                      	                      	                   	                  	                          	                       	                          	R                     	                    	                       	                   	R                     	                       	R                     	R                       	F                   	              	F                  	                 	                	R               	F                     	R                   	R               	R                        	R                      	R                     	from ODP Leg 120 SR Vol 2 Chapter 31 Appendix B back pocket microfiche

  SR	Early Oligocene  	                 	AP14(Berggren92)  	              	120	 747	C	  1	R	 3	  41.00	    162.4100	Berggren 	Planktonic Foraminifers                      	A              	M                 	                              	                                     	                   	                  	                              	                 	                        	                           	                     	                   	                            	                   	                              	                         	                         	                       	                           	                         	                       	                         	                   	                    	                             	                      	                          	                           	                     	                      	                 	                  	                       	                      	                      	                   	                  	                          	                       	                          	R                     	                    	                       	                   	                      	                       	R                     	C                       	R                   	              	F                  	                 	                	F               	F                     	R                   	F               	C                        	R                      	R                     	from ODP Leg 120 SR Vol 2 Chapter 31 Appendix B back pocket microfiche

  SR	Early Oligocene  	                 	AP14(Berggren92)  	              	120	 747	C	  1	R	 4	  41.00	    163.9100	Berggren 	Planktonic Foraminifers                      	A              	M                 	                              	                                     	                   	                  	                              	                 	                        	                           	                     	                   	                            	                   	                              	                         	                         	                       	                           	                         	                       	                         	                   	                    	                             	                      	                          	                           	                     	                      	                 	                  	                       	                      	                      	                   	                  	                          	                       	                          	R                     	                    	                       	                   	                      	                       	R                     	C                       	R                   	              	F                  	                 	                	F               	F                     	R                   	F               	C                        	R                      	R                     	from ODP Leg 120 SR Vol 2 Chapter 31 Appendix B back pocket microfiche
