Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylatractus universus	Spongotrochus glacialis	Sphaeropyle langii	Lychnocanoma nipponica sakaii	Lamprocyrtis nigriniae	Lamprocyrtis neoheteroporos	Dictyophimus crisiae	Cycladophora davisiana davisiana	Cycladophora craspedota	Cycladophora bicincta	Clathrocyclas bicornis	Ceratospyris hyperborea	Botryostrobus tumidulus	Stylacontarium acquilonium	Pterocanium korotnevi	Siphostichartus scalaris	Botryostrobus aquilonaris	Actinomma popofskii	Stylochlamidium  venustum	Amphimelissa setosa	Comment



  IR	                 	                 	B. aquilonaris    	              	167	1019	C	  1	H	CC	  25.00	      8.2800	Caulet   	Radiolarians                                 	R              	G                 	                      	                       	+                 	                             	                      	                           	                    	+                               	+                      	+                    	                      	+                      	                       	                          	+                    	                        	                         	                   	+                        	                   	from IR. Ch 13. Table 7.

  IR	                 	                 	B. aquilonaris    	              	167	1019	C	  2	H	CC	  20.00	     18.3100	Caulet   	Radiolarians                                 	C              	G                 	                      	+                      	+                 	+                            	+                     	                           	+                   	+                               	                       	+                    	                      	+                      	                       	                          	+                    	+                       	+                        	+                  	                         	+                  	from IR. Ch 13. Table 7.

  IR	                 	                 	B. aquilonaris    	              	167	1019	C	  3	H	CC	  26.00	     27.9900	Caulet   	Radiolarians                                 	R              	M                 	                      	+                      	                  	+                            	                      	                           	                    	                                	                       	                     	                      	                       	                       	+                         	                     	                        	                         	                   	                         	                   	from IR. Ch 13. Table 7.

  IR	                 	                 	S. universus      	              	167	1019	C	  5	H	CC	  33.00	     47.0700	Caulet   	Radiolarians                                 	R              	G                 	+                     	+                      	                  	                             	+                     	                           	                    	+                               	                       	                     	                      	                       	                       	+                         	                     	                        	+                        	                   	                         	                   	from IR. Ch 13. Table 7.

  IR	                 	                 	S. universus      	              	167	1019	C	  6	H	CC	  68.00	     55.9100	Caulet   	Radiolarians                                 	C              	G                 	+                     	+                      	+                 	+                            	+                     	                           	+                   	+                               	                       	                     	                      	+                      	                       	+                         	+                    	+                       	+                        	+                  	                         	+                  	from IR. Ch 13. Table 7.

  IR	                 	                 	S. universus      	              	167	1019	C	  7	H	CC	  38.00	     66.5800	Caulet   	Radiolarians                                 	F              	M                 	+                     	+                      	+                 	+                            	+                     	                           	                    	+                               	                       	+                    	                      	                       	                       	                          	                     	                        	                         	                   	                         	+                  	from IR. Ch 13. Table 7.

  IR	                 	                 	S. universus      	              	167	1019	C	  8	H	CC	  36.00	     75.8700	Caulet   	Radiolarians                                 	A              	G                 	                      	+                      	+                 	+                            	+                     	                           	                    	+                               	                       	+                    	+                     	                       	                       	                          	+                    	                        	                         	+                  	+                        	                   	from IR. Ch 13. Table 7.

  IR	                 	                 	S. universus      	              	167	1019	C	  9	X	CC	  26.00	     82.4000	Caulet   	Radiolarians                                 	R              	M                 	                      	                       	                  	                             	                      	                           	                    	+                               	                       	                     	                      	                       	                       	                          	                     	                        	                         	+                  	                         	                   	from IR. Ch 13. Table 7.

