Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorythium vetulum,Stylatractus universus,Stichocorys peregrina,Pterocanium prismatium,Phormostichoartus fistula,Phormostichoartus doliolum,Lychnodictyum audax,Didymocyrtis penultima,Anthocyrtidium pliocenica,Anthocyrtidium jenghisi,Spongaster tetras,Amphirhopalum ypsilon,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Theocalyptra davisiana,Pterocorys minythorax,Anthocyrtidium angulare,Theocorythium trachelium trachelium,Lamprocyrtis nigriniae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. ypsilon        ,              ,138, 847,C,  3,H,CC,  19.00,     31.0400,Moore    ,Radiolarians                                 ,A              ,G                 ,                     ,R                     ,                     ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,R                ,R                    ,                        ,R                          ,R                     ,R                    ,-                      ,R                                  ,R                     ,from ODP Leg 138 Chapter 11 Fig 4 p 204-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 847,C,  5,H,CC,  24.00,     50.0600,Moore    ,Radiolarians                                 ,A              ,G                 ,C                    ,R                     ,                     ,-                     ,                         ,                          ,                   ,                      ,                         ,                       ,R                ,R                    ,                        ,R                          ,R                     ,-                    ,R                      ,                                   ,                      ,from ODP Leg 138 Chapter 11 Fig 4 p 204-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 847,C,  9,H,CC,  24.00,     88.0500,Moore    ,Radiolarians                                 ,A              ,M                 ,R                    ,R                     ,F                    ,R                     ,                         ,                          ,                   ,                      ,                         ,R                      ,-                ,-                    ,R                       ,R                          ,                      ,                     ,                       ,                                   ,                      ,from ODP Leg 138 Chapter 11 Fig 4 p 204-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 847,C, 10,H,CC,  24.00,     97.5700,Moore    ,Radiolarians                                 ,A              ,M                 ,-                    ,R                     ,C                    ,R                     ,                         ,                          ,                   ,                      ,R                        ,R                      ,R                ,R                    ,R                       ,                           ,                      ,                     ,                       ,                                   ,                      ,from ODP Leg 138 Chapter 11 Fig 4 p 204-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 847,C, 12,H,CC,  26.00,    116.4100,Moore    ,Radiolarians                                 ,A              ,G                 ,F                    ,R                     ,C                    ,-                     ,-                        ,-                         ,-                  ,                      ,R                        ,R                      ,-                ,-                    ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,from ODP Leg 138 Chapter 11 Fig 4 p 204-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S peregrina(RN9)M95,              ,138, 847,C, 14,X,CC,  19.00,    134.9600,Moore    ,Radiolarians                                 ,A              ,G                 ,-                    ,R                     ,C                    ,R                     ,-                        ,R                         ,-                  ,R                     ,R                        ,R                      ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,from ODP Leg 138 Chapter 11 Fig 4 p 204-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
