Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia inflata,Globoconella cf. inflata,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globorotalia scitula,Globigerina quinqueloba,Globigerina bulloides,Globigerina cf. bulloides,Globorotalia crassaformis,Globigerinita glutinata,Globorotalia crassula,Truncorotalia truncatulinoides,Orbulina universa,Neogloboquadrina dutertrei,Globigerina apertura,Globorotalia hexagonus,Globigerina aequilateralis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  1,H, 1,  18.00,      0.1800,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,F                   ,                        ,F                                      ,C                                    ,                    ,R                      ,                     ,R                        ,F                        ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,different colors; from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  1,H, 1,  64.00,      0.6400,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,R                   ,                        ,R                                      ,R                                    ,                    ,C                      ,R                    ,R                        ,                         ,                       ,                     ,                              ,                 ,                          ,R                   ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  1,H, 2, 129.00,      2.7900,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,C                   ,                        ,C                                      ,                                     ,                    ,R                      ,F                    ,C                        ,R                        ,                       ,                     ,                              ,                 ,                          ,R                   ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  1,H, 3,  37.00,      3.3700,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                   ,                        ,R                                      ,R                                    ,                    ,R                      ,F                    ,                         ,R                        ,                       ,                     ,                              ,                 ,                          ,R                   ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  1,H, 3,  66.00,      3.6600,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                   ,                        ,F                                      ,R                                    ,                    ,R                      ,F                    ,R                        ,R                        ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,different colors; from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
