Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tristix spp.,Tristix excavata,Spiroplectinella excolata,Rhizammina spp.,Ramulina spp.,Protosangularia albiana,Praedorothia praehauteriviana,Pleurostomella spp.,Nodosaria spp.,Marssonella oxycona,Marginulina inaequalis,Lenticulina spp.,Hanzawaia sp.,Gyroidinoides infracretaceus,Gyroidinoides globosa,Gaudryina spp.,Dorothia spp.,Dentalina spp.,Conorotalites aptiensis,Astacolus spp.,Tritaxia gaultina,Tritaxa spp.,Protosangularia cenomaniana,Osangularia sp.,Tritaxia rugolosa,Tritaxia globulifera,Osangularia plummerae,Oridorsalis umbonatus,Nuttallides truempyi,Hanzawaia compressa,Gyroidinoides spp.,Gavelinella sp.,Aragonia velascoensis,Anomalinoides spp.,Quadrimorphina allomorphinoides,Pullenia jarvisi,Nuttallinella florealis,Marssonella trochoides,Conorbinoides hillebrandti,Bulimina spp.,Aragonia ouezzanensis,Spiroplectammina sp.,Spiroplectammina jarvisi,Sliterella lobulata,Gaudryina pyramidata,Spiroplectammina spectabilis,Pyramidina szajnochae,Pullenia cretacea,Buliminella grata,Pseudoclavulina rugolosa,Stilostomella spp.,Bulimina velascoensis,Bulimina trinitatensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1212,B, 10,H,CC,  11.00,     92.4500,benthics ,Benthic Foraminifers                         ,F              ,G                 ,            ,                ,                         ,               ,             ,                       ,                             ,                   ,              ,                   ,                      ,T               ,             ,                            ,                     ,              ,             ,T             ,                       ,              ,                 ,F           ,                           ,               ,T                ,R                   ,                     ,F                    ,R                   ,                   ,                  ,               ,                     ,                  ,                               ,                ,                       ,                      ,C                         ,             ,R                    ,                    ,                        ,                   ,                    ,                            ,                     ,                 ,T                ,                        ,T                 ,R                    ,R                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1212,B, 12,H,CC,  12.00,    111.4600,benthics ,Benthic Foraminifers                         ,F              ,M                 ,            ,                ,                         ,               ,             ,                       ,                             ,                   ,R             ,                   ,                      ,R               ,             ,                            ,R                    ,              ,             ,R             ,                       ,              ,                 ,R           ,                           ,               ,                 ,                    ,R                    ,C                    ,                    ,                   ,T                 ,               ,                     ,                  ,                               ,                ,T                      ,T                     ,                          ,             ,F                    ,                    ,                        ,                   ,F                   ,                            ,F                    ,                 ,                 ,R                       ,                  ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1212,B, 13,H,CC,  11.00,    120.8800,benthics ,Benthic Foraminifers                         ,F              ,G                 ,            ,                ,                         ,               ,             ,                       ,                             ,                   ,              ,                   ,                      ,R               ,             ,                            ,R                    ,              ,             ,F             ,                       ,              ,                 ,            ,                           ,               ,                 ,                    ,                     ,F                    ,R                   ,                   ,F                 ,               ,C                    ,                  ,                               ,                ,                       ,                      ,                          ,             ,R                    ,                    ,T                       ,                   ,R                   ,                            ,                     ,                 ,T                ,                        ,                  ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1212,B, 15,H,CC,   7.00,    128.5700,benthics ,Benthic Foraminifers                         ,R              ,M                 ,            ,                ,                         ,               ,             ,                       ,                             ,                   ,              ,                   ,                      ,R               ,             ,                            ,                     ,              ,             ,F             ,                       ,              ,                 ,R           ,                           ,               ,                 ,                    ,T                    ,C                    ,                    ,                   ,T                 ,               ,                     ,                  ,                               ,                ,T                      ,R                     ,                          ,             ,R                    ,                    ,R                       ,                   ,                    ,                            ,R                    ,T                ,                 ,                        ,                  ,                     ,                      ,       
