Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (sinistral)	Globigerinita glutinata	Globorotalia crassaformis	Neogloboquadrina pachyderma (dextral)	Globorotalia crassula	Globorotalia inflata	Globigerina aff. bulloides	Globigerinoides ruber	Globorotalia puncticulata	Globigerina quinqueloba	Globorotalia scitula	Comment



  SR	                 	                 	N. pachyderma (sin.)	              	141	 859	B	  1	R	 2	  66.00	     54.1600	Spiegler 	Planktonic Foraminifers                      	               	G                 	C                                      	R                      	R                        	                                     	                     	                    	R                         	                     	                         	                       	R                   	from Leg 141 SR; Ch 14; Table 3; p 198-199

  SR	                 	                 	N. pachyderma (sin.)	              	141	 859	B	  1	R	 3	  63.00	     55.6300	Spiegler 	Planktonic Foraminifers                      	               	G                 	F                                      	R                      	R                        	                                     	R                    	                    	R                         	                     	                         	                       	                    	from Leg 141 SR; Ch 14; Table 3; p 198-199

  SR	                 	                 	N. pachyderma (sin.)	              	141	 859	B	  2	R	 1	  38.00	     61.9800	Spiegler 	Planktonic Foraminifers                      	               	M                 	R                                      	                       	                         	                                     	R                    	                    	                          	                     	                         	                       	                    	from Leg 141 SR; Ch 14; Table 3; p 198-199

  SR	                 	                 	N. pachyderma (sin.)	              	141	 859	B	  2	R	 2	  70.00	     63.8000	Spiegler 	Planktonic Foraminifers                      	               	M                 	R                                      	                       	                         	                                     	                     	                    	R                         	                     	                         	                       	                    	from Leg 141 SR; Ch 14; Table 3; p 198-199

  SR	                 	                 	N. pachyderma (sin.)	              	141	 859	B	  2	R	CC	  16.00	     67.3900	Spiegler 	Planktonic Foraminifers                      	               	M                 	R                                      	R                      	                         	                                     	                     	                    	                          	                     	                         	                       	                    	from Leg 141 SR; Ch 14; Table 3; p 198-199

  SR	                 	                 	N. pachyderma (sin.)	              	141	 859	B	  3	R	 2	  66.00	     73.4600	Spiegler 	Planktonic Foraminifers                      	               	M                 	F                                      	                       	                         	R                                    	                     	                    	                          	                     	                         	                       	                    	Different colors; from Leg 141 SR; Ch 14; Table 3; p 198-199

  SR	                 	                 	N. pachyderma (sin.)	              	141	 859	B	  3	R	 4	  77.00	     75.2900	Spiegler 	Planktonic Foraminifers                      	               	M                 	F                                      	                       	R                        	R                                    	                     	                    	                          	                     	                         	                       	                    	Different colors; from Leg 141 SR; Ch 14; Table 3; p 198-199

  SR	                 	                 	N. pachyderma (sin.)	              	141	 859	B	  3	R	 6	  68.00	     77.9800	Spiegler 	Planktonic Foraminifers                      	               	M                 	F                                      	                       	R                        	R                                    	                     	                    	R                         	                     	                         	                       	                    	from Leg 141 SR; Ch 14; Table 3; p 198-199

  SR	                 	                 	N. pachyderma (sin.)	              	141	 859	B	  3	R	CC	  11.00	     80.9400	Spiegler 	Planktonic Foraminifers                      	               	M                 	R                                      	                       	R                        	R                                    	                     	                    	R                         	                     	R                        	R                      	                    	from Leg 141 SR; Ch 14; Table 3; p 198-199

