Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Theocyrtis sp.	Stylacontarium bispiculum	Peripyramis sp.	Lychnocanoma babylonis	Lychnocanoma amphitrite	Lophocyrtis dumitricai	Eucyrtidium sp.  A	Druppatractus sp.	Dorcadospyris triceros	Cornutella profunda	Stylodictya sp.	Prunopyle tetrapila	Lychnocanoma sp.	Lophocyrtis longiventer	Lamprocyclas sp.	Eusyringium lagena	Eucyrtidium spinosum	Calocyclas? nakasekoi	Thecosphaera sp.	Spongodiscus sp.	Spongodiscus osculosus	Siphocampe sp.	Periphaena heliasteriscus	Lophophaena sp.	Lophocyrtis aspera	Larcopyle sp.	Eucyrtidium antiquum	Dicolocapsa microcephala	Corythomelissa horrida	Axoprunum pierinae	Albatrossium sp.	Actinomma sp.	Prunopyle hayesi	Larcospira sp.	Hexacontium sp.	Aphetocyrtis gnomabax	Prunopyle sp.	Amphistylus? sp.	Cyrtocapsella japonica	Stichocorys delmontensis	Phormocyrtis alexandrae	Liriospyris sp.	Dorcadospyris mahurangi	Cyrtocapsella tetrapera	Carpocanistrum sp.	Anthocyrtidium marieae	Stylosphaera timmsi	Lychnocanoma elongata	Lamprocyclas maritalis maritalis	Cyrtocapsella cornuta	Theocorys spongoconus	Phormocyrtis striata striata	Lophoconus biaurita (Form C)	Dorcadospyris alata	Solenosphaera sp.	Stichocorys wolffii	Stichocorys armata	Eucyrtidium sp.	Eucyrtidium punctatum	Carpocanopsis cingulata	Carpocanopsis bramlettei	Anthocyrtidium ehrenbergi	Periphaena decora	Eucyrtidium cienkowskii	Collosphaera sp.	Botryostrobus miralestensis	Comment



  IR	                 	                 	                  	              	181	1123	C	 18	X	CC	  35.00	    488.8500	rads     	Radiolarians                                 	R              	G                 	              	R                        	               	                      	                       	                      	                  	R                	                      	                   	R              	                   	                	                       	                	                  	                    	                     	R               	R               	                      	              	                         	               	                  	R            	                    	                        	                      	                  	                	F            	                	T             	               	                     	             	                	R                     	T                       	                       	R              	                       	C                      	R                 	                      	                   	                     	T                               	R                    	                     	                            	                            	                   	                 	                   	                  	R              	                     	R                      	                        	                         	T                	R                      	T               	R                          	       

  IR	                 	                 	                  	              	181	1123	C	 19	X	CC	  25.00	    498.1000	rads     	Radiolarians                                 	C              	G                 	              	F                        	               	                      	                       	                      	                  	                 	                      	                   	R              	                   	                	                       	                	                  	                    	                     	F               	R               	                      	              	                         	               	                  	             	                    	                        	                      	                  	                	             	                	              	               	                     	             	                	C                     	                        	F                      	R              	                       	C                      	F                 	                      	                   	                     	R                               	R                    	R                    	R                           	                            	R                  	                 	R                  	T                 	R              	F                    	T                      	R                       	T                        	                 	                       	                	                           	       

  IR	                 	                 	                  	              	181	1123	C	 20	X	CC	   0.00	    506.3900	rads     	Radiolarians                                 	T              	G                 	              	                         	               	                      	                       	                      	                  	R                	                      	                   	               	                   	                	                       	                	                  	                    	                     	                	                	                      	              	                         	               	                  	             	                    	                        	                      	                  	                	             	                	              	               	                     	             	                	                      	                        	                       	T              	                       	                       	                  	                      	                   	                     	                                	                     	                     	                            	                            	                   	F                	                   	                  	               	                     	                       	                        	                         	                 	                       	                	                           	       

  IR	                 	                 	                  	              	181	1123	C	 21	X	CC	   0.00	    516.9600	rads     	Radiolarians                                 	T              	M                 	              	                         	               	                      	                       	                      	                  	                 	                      	                   	               	                   	                	                       	                	                  	                    	                     	                	                	                      	              	                         	               	                  	             	                    	                        	                      	                  	                	             	                	              	               	                     	             	                	                      	                        	                       	               	                       	T                      	                  	                      	                   	                     	                                	                     	                     	                            	                            	                   	T                	                   	                  	               	                     	                       	                        	                         	                 	                       	                	                           	       
